inspect_model_name,epoch_model_name,Organization,Publication date,accuracy,stderr
openai/gpt-3.5-turbo,GPT-3.5 Turbo,OpenAI,2022-11-30,0.2727272727272727,0.0787295821622217
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,2024-07-23,0.5151515151515151,0.08834775598250455
anthropic/claude-2.0,Claude 2,Anthropic,2023-07-11,0.3939393939393939,0.0863769261438741
openai/gpt-4,GPT-4,OpenAI,2023-03-15,0.2727272727272727,0.0787295821622217
openai/gpt-4o,GPT-4o,OpenAI,2024-05-13,0.3333333333333333,0.08333333333333333
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,2024-06-20,0.36363636363636365,0.08503766788122595
google/gemini-1.0-pro,Gemini 1.0 Pro,Google DeepMind,2023-12-06,0.24242424242424243,0.07575757575757575
openai/gpt-4-turbo,GPT-4 Turbo,OpenAI,2023-11-06,0.3333333333333333,0.08333333333333333
mistral/mistral-large-2407,Mistral Large 2,Mistral AI,2024-07-24,0.30303030303030304,0.08124094920275461
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,2024-02-15,0.5151515151515151,0.08834775598250455
anthropic/claude-3-opus-20240229,Claude 3 Opus,Anthropic,2024-03-04,0.2727272727272727,0.0787295821622217
