inspect_model_name,epoch_model_name,Organization,accuracy,stderr,cot
openai/gpt-4o,GPT-4o,OpenAI,0.6923076923076923,0.05259718913521751,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.6666666666666666,0.05372153093502534,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.6794871794871795,0.05318240510717429,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.6410256410256411,0.05466685034759241,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.6666666666666666,0.053721530935025345,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.717948717948718,0.051282051282051266,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.6666666666666666,0.05372153093502534,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.7435897435897436,0.0497609919747403,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.717948717948718,0.051282051282051266,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.7307692307692307,0.05054836466713621,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5384615384615384,0.05681145737507664,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.6025641025641025,0.055768608782381685,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5384615384615384,0.05681145737507664,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5384615384615384,0.05681145737507664,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5256410256410257,0.056905314133886616,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5897435897435898,0.05605494615384831,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5897435897435898,0.05605494615384831,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5897435897435898,0.05605494615384831,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5897435897435898,0.05605494615384831,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.5641025641025641,0.056510068207111776,No CoT
