inspect_model_name,epoch_model_name,Organization,Publication date,accuracy,stderr
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,Llama 3-70B,Meta AI,2024-04-18,0.3768844221105528,0.03443941793177597
anthropic/claude-3-sonnet-20240229,Claude 3 Sonnet,Anthropic,2024-03-04,0.40703517587939697,0.03491385802519048
anthropic/claude-3-opus-20240229,Claude 3 Opus,Anthropic,2024-03-04,0.40703517587939697,0.03491385802519048
anthropic/claude-2.0,Claude 2,Anthropic,2023-07-11,0.37185929648241206,0.034346714081437364
together/meta-llama/Llama-2-13b-chat-hf,Llama 2-13B,Meta AI,2023-07-18,0.3165829145728643,0.033056286002970385
mistral/open-mistral-7b,Mistral 7B,Mistral AI,2023-10-10,0.21105527638190955,0.028999385807956583
anthropic/claude-2.1,Claude 2.1,Anthropic,2023-11-21,0.3768844221105528,0.03443941793177597
openai/gpt-4o-mini,GPT-4o mini,OpenAI,2024-07-18,0.3768844221105528,0.03443941793177597
anthropic/claude-3-haiku-20240307,Claude 3 Haiku,Anthropic,2024-03-04,0.32663316582914576,0.033329086154389904
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,2024-07-23,0.38190954773869346,0.034528179465409925
together/meta-llama/Meta-Llama-3-8B-Instruct-Turbo,Llama 3-8B,Meta AI,2024-04-18,0.3316582914572864,0.033458935268740664
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,2024-06-20,0.4371859296482412,0.03525193544123143
mistral/open-mixtral-8x7b,Mixtral 8x7B,Mistral AI,2023-12-11,0.27638190954773867,0.031781685026817885
openai/gpt-4-turbo,GPT-4 Turbo,OpenAI,2023-11-06,0.4271356783919598,0.03515411887563423
google/gemini-1.0-pro,Gemini 1.0 Pro,Google DeepMind,2023-12-06,0.23115577889447236,0.029959803439140415
openai/gpt-3.5-turbo,GPT-3.5 Turbo,OpenAI,2022-11-30,0.2613065326633166,0.031223002774824933
mistral/mistral-large-2407,Mistral Large 2,Mistral AI,2024-07-24,0.40703517587939697,0.03491385802519048
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,2024-02-15,0.35175879396984927,0.03393580874720538
google/gemini-1.5-flash,,,,0.37185929648241206,0.034346714081437364
anthropic/claude-instant-1.2,Claude Instant,Anthropic,2023-08-09,0.3316582914572864,0.03345893526874067
openai/gpt-4,GPT-4,OpenAI,2023-03-15,0.31155778894472363,0.032913226371242305
openai/gpt-4o,GPT-4o,OpenAI,2024-05-13,0.4271356783919598,0.03515411887563423
