inspect_model_name,epoch_model_name,Organization,Publication date,accuracy,stderr
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,2024-07-23,0.5555555555555556,0.04803752235190188
mistral/mistral-large-2407,Mistral Large 2,Mistral AI,2024-07-24,0.5740740740740741,0.04780343626936791
openai/gpt-4,GPT-4,OpenAI,2023-03-15,0.46296296296296297,0.04820403072760628
anthropic/claude-2.0,Claude 2,Anthropic,2023-07-11,0.4074074074074074,0.04750077341199984
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,Llama 3-70B,Meta AI,2024-04-18,0.4722222222222222,0.04826217294139892
google/gemini-1.0-pro,Gemini 1.0 Pro,Google DeepMind,2023-12-06,0.4351851851851852,0.04792898170907059
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,2024-02-15,0.5185185185185185,0.04830366024635331
openai/gpt-4o,GPT-4o,OpenAI,2024-05-13,0.5648148148148148,0.04792898170907059
openai/gpt-3.5-turbo,GPT-3.5 Turbo,OpenAI,2022-11-30,0.3425925925925926,0.04587904741301815
anthropic/claude-3-opus-20240229,Claude 3 Opus,Anthropic,2024-03-04,0.5925925925925926,0.04750077341199985
mistral/open-mixtral-8x7b,Mixtral 8x7B,Mistral AI,2023-12-11,0.25,0.04186091791394607
openai/gpt-4-turbo,GPT-4 Turbo,OpenAI,2023-11-06,0.5462962962962963,0.04812917324536823
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,2024-06-20,0.5925925925925926,0.04750077341199985
