inspect_model_name,epoch_model_name,Organization,accuracy,stderr,cot
openai/gpt-4o,GPT-4o,OpenAI,0.734,0.019780559675655396,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.724,0.020011219298073545,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.716,0.020186703693570774,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.72,0.020099950647503192,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.718,0.020143572847290726,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.724,0.020011219298073545,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.734,0.019780559675655396,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.754,0.019279819056352458,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.732,0.019827714859587477,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.728,0.019920483209566107,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.68,0.02088234048876172,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.674,0.020984009562393675,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.672,0.021017027165175464,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.672,0.021017027165175464,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.664,0.021144791425048808,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.668,0.0210817665712228,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.666,0.021113492347743807,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.666,0.021113492347743807,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.664,0.021144791425048808,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.662,0.021175665695209452,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.72,0.020099950647503192,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.718,0.020143572847290726,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.714,0.02022934632917761,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.71,0.020313179231745138,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.714,0.02022934632917761,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.718,0.020143572847290726,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.714,0.02022934632917761,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.72,0.020099950647503192,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.72,0.020099950647503192,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.708,0.020354375480530096,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.808,0.017632180454361008,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.81,0.01756180041075899,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.81,0.01756180041075899,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.808,0.017632180454361008,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.81,0.01756180041075899,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.81,0.01756180041075899,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.81,0.01756180041075899,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.808,0.017632180454361008,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.81,0.01756180041075899,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.81,0.01756180041075899,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.748,0.019416281827373642,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.764,0.018989681408596616,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.758,0.019153902996517445,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.766,0.01893377933746984,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.758,0.019153902996517445,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.766,0.01893377933746984,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.758,0.019153902996517445,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.756,0.019207498535728174,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.764,0.018989681408596616,CoT
openai/gpt-4o,GPT-4o,OpenAI,0.748,0.019416281827373642,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.67,0.02102855201862458,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.68,0.020861447696648473,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.678,0.020895741192884256,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.656,0.02124448163641561,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.684,0.020791536739741004,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.654,0.021273645667821018,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.686,0.020755914819636352,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.662,0.02115447943108031,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.672,0.02099599961897504,CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.692,0.020646355610615643,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.608,0.021832819332372078,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.608,0.021832819332372078,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.616,0.02175058619899703,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.616,0.02175058619899703,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.604,0.02187162545399861,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.614,0.0217717247823869,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.614,0.0217717247823869,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.604,0.02187162545399861,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.592,0.021978898971513564,CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.6,0.021908902300206645,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.808,0.017614539448989292,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.794,0.01808668018183547,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.794,0.01808668018183547,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8,0.017888543819998316,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.794,0.01808668018183547,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.792,0.018151363585141474,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.796,0.018021320706318945,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.788,0.018278730809331373,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.796,0.018021320706318945,CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.794,0.01808668018183547,CoT
