inspect_model_name,epoch_model_name,Organization,accuracy,stderr,cot
openai/gpt-4o,GPT-4o,OpenAI,0.8436763550667714,0.010182553945306212,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.8413197172034564,0.010244681495157714,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.8546739984289081,0.009881624632424603,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.8507462686567164,0.009991232596230241,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.842890809112333,0.010203352707184477,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.8499607227022781,0.010012864860212738,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.8476040848389631,0.010077194199135824,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.8476040848389631,0.010077194199135824,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.8507462686567164,0.009991232596230241,No CoT
openai/gpt-4o,GPT-4o,OpenAI,0.845247446975648,0.010140684929852551,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.798114689709348,0.011254895223560143,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.7949725058915946,0.011319794705564528,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.7996857816182247,0.011222045362561925,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.805184603299293,0.011104929705539739,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.7949725058915946,0.011319794705564526,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.8012568735271013,0.011188925628665244,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.7996857816182247,0.011222045362561927,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.7965435978004713,0.011287477567887344,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.795758051846033,0.011303669144952577,No CoT
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,0.7941869599371564,0.011335854531453794,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8491751767478397,0.010034402143146017,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8507462686567164,0.009991232596230241,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8483896307934015,0.010055845055312087,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8483896307934015,0.010055845055312086,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8483896307934015,0.010055845055312087,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.852317360565593,0.009947680643843453,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8444619010212098,0.010161664872230063,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8531029065200314,0.009925759694286936,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8491751767478397,0.010034402143146017,No CoT
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,0.8476040848389631,0.010077194199135824,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8507462686567164,0.009991232596230241,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8515318146111548,0.009969504732916539,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8476040848389631,0.010077194199135824,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8491751767478397,0.010034402143146017,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.845247446975648,0.01014068492985255,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8531029065200314,0.009925759694286936,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8491751767478397,0.010034402143146017,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8476040848389631,0.010077194199135824,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8491751767478397,0.010034402143146015,No CoT
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,0.8483896307934015,0.010055845055312086,No CoT
