inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6794871794871795,0.05318240510717429,153278,152493,785,4Abjnn7FX9HyVLrjy3ocSP,2024-11-05T11:15:41-05:00,2024-11-05T11:15:41-05:00,2025-01-28T12:15:30,2024-11-05T11-14-52-05-00_gpqa_M5H85bR6fyUnLxrpemZjmq.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6794871794871795,0.05318240510717429,146814,145890,924,VexmZsLWwdh8bxzjjYjaLY,2024-11-05T11:14:50-05:00,2024-11-05T11:14:50-05:00,2025-01-28T12:15:30,2024-11-05T11-14-04-05-00_gpqa_WvVqMaADe5mCXARXUGeYjS.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.717948717948718,0.05128205128205127,147406,146544,862,UY2bg45U5Pit26es5juuy7,2024-11-05T11:11:03-05:00,2024-11-05T11:11:03-05:00,2025-01-28T12:15:30,2024-11-05T11-10-22-05-00_gpqa_EqyBrCXKU7V7hKtoPKpRDY.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6794871794871795,0.05318240510717429,134052,133210,842,EnjoRfhUwvRb4ms3859DuM,2024-11-05T11:12:36-05:00,2024-11-05T11:12:36-05:00,2025-01-28T12:15:30,2024-11-05T11-11-49-05-00_gpqa_fUYtrvoVitUxdkznEDREov.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6794871794871795,0.053182405107174285,138067,137222,845,GigGT8SQd9DkUf7U7TS2mU,2024-11-05T11:11:48-05:00,2024-11-05T11:11:48-05:00,2025-01-28T12:15:30,2024-11-05T11-11-04-05-00_gpqa_oJ4zW55oCGMKj3HtSCQPxu.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6538461538461539,0.05421594160377286,146131,145307,824,gNwBBH4VFSAJ6RtsK6nk7p,2024-11-05T11:10:21-05:00,2024-11-05T11:10:21-05:00,2025-01-28T12:15:30,2024-11-05T11-09-36-05-00_gpqa_P9nSSsJKAzWWWJmZPNTKbC.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6538461538461539,0.05421594160377286,143744,142881,863,fqaNCWWSBr2tVrY3ZegoJK,2024-11-05T11:14:03-05:00,2024-11-05T11:14:03-05:00,2025-01-28T12:15:30,2024-11-05T11-13-22-05-00_gpqa_DcWbVSWWnBM3cLjcR2e8RD.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6410256410256411,0.05466685034759241,141611,140789,822,dNH9rcrdEvfYsGhc4uAEQz,2024-11-05T11:16:26-05:00,2024-11-05T11:16:26-05:00,2025-01-28T12:15:30,2024-11-05T11-15-41-05-00_gpqa_RKphKGXpz8gYEednqwnxGB.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6410256410256411,0.054666850347592416,136302,135454,848,fKeY3HMiiZPC74bXxrCYbC,2024-11-05T11:13:22-05:00,2024-11-05T11:13:22-05:00,2025-01-28T12:15:30,2024-11-05T11-12-37-05-00_gpqa_CXxTJhPGRSb7wjVZetz8Cy.json,False
anthropic/claude-3-5-sonnet-20241022,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train', 'n_shot': 5}",five_shot,78,0.6794871794871795,0.05318240510717429,138301,137549,752,AUqBFJBpCGWLUofcDP8yfE,2024-11-05T11:17:09-05:00,2024-11-05T11:17:09-05:00,2025-01-28T12:15:30,2024-11-05T11-16-27-05-00_gpqa_SjZbRatL7URKTDwpcBYtvT.json,False
