inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.08333333333333333,1180378,1180213,165,ZttoSd39UEawjfVwTQp4Ee,2024-11-06T14:05:42-05:00,2024-11-06T14:05:42-05:00,2025-01-28T12:15:12,2024-11-06T13-48-13-05-00_lab-bench_aPDyKiNKes3uz8ZEqp9Kfa.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.08637692614387409,1167098,1166933,165,9iqdPNhu9o9XacrRD4bxJv,2024-11-06T14:10:57-05:00,2024-11-06T14:10:57-05:00,2025-01-28T12:15:13,2024-11-06T14-05-44-05-00_lab-bench_DFScTHss6GXCBn7tzMJi2P.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.08637692614387409,1219520,1219355,165,KjxiNKXpvmNy97Q5XepBM5,2024-11-06T14:18:22-05:00,2024-11-06T14:18:22-05:00,2025-01-28T12:15:13,2024-11-06T14-10-58-05-00_lab-bench_6P3tQquNfmYMFzDwxR4uco.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.48484848484848486,0.08834775598250455,1188876,1188711,165,m3S8VigtUDNLPv8Xx7ELHs,2024-11-06T13:40:59-05:00,2024-11-06T13:40:59-05:00,2025-01-28T12:15:13,2024-11-06T13-36-09-05-00_lab-bench_6FZ6fBsnStLxqPDuT7ogBY.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.08333333333333333,1280105,1279940,165,7oUrJFC8LG22RvtYg62Vsc,2024-11-06T14:22:19-05:00,2024-11-06T14:22:19-05:00,2025-01-28T12:15:13,2024-11-06T14-18-23-05-00_lab-bench_CUP7FygbsijJfZh7ph3xcw.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.08834775598250455,1207521,1207356,165,8K2AVmRdVfRbfXSqaQ3oXn,2024-11-06T14:35:20-05:00,2024-11-06T14:35:20-05:00,2025-01-28T12:15:13,2024-11-06T14-32-01-05-00_lab-bench_hycktRrj6cz2Vigi6CYZ7Z.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.2727272727272727,0.0787295821622217,1194017,1193852,165,TnYnJkaSYKgiMLyUJwVBaE,2024-11-06T14:28:11-05:00,2024-11-06T14:28:11-05:00,2025-01-28T12:15:13,2024-11-06T14-24-30-05-00_lab-bench_A4vktquXoUkjLymd4ddZiU.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.36363636363636365,0.08503766788122595,1195447,1195282,165,nRTLv2kQHWGub2xPoE5F7a,2024-11-06T14:24:29-05:00,2024-11-06T14:24:29-05:00,2025-01-28T12:15:13,2024-11-06T14-22-20-05-00_lab-bench_MzLSCPDiQph7qkj9yVUKUz.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.08834775598250455,1110645,1110480,165,hhzWKc8p8De5zMK5uFdvmG,2024-11-06T14:32:00-05:00,2024-11-06T14:32:00-05:00,2025-01-28T12:15:13,2024-11-06T14-28-12-05-00_lab-bench_2m69yn8xmbAsZ2uiUXXzWJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.08333333333333333,1167692,1167527,165,GMnzG5hgCJAgS2hGLchKRs,2024-11-06T15:09:37-05:00,2024-11-06T15:09:37-05:00,2025-01-28T12:15:13,2024-11-06T15-03-03-05-00_lab-bench_V2Efgg7xe77uDYRqdx4hwW.json,False
