inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7222222222222222,0.043300437496507437,1398336,1379752,18584,hPbbu5DCudTKQBFUY67VWm,2024-11-06T10:03:34-05:00,2024-11-06T10:03:34-05:00,2025-01-28T12:15:23,2024-11-06T09-51-35-05-00_lab-bench_hdBUVhy6RoTMzh6FrcAvwK.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6759259259259259,0.045245960070300524,1431790,1399614,32176,mNjQMaZNcEGPs24hDworoB,2024-11-06T10:16:31-05:00,2024-11-06T10:16:31-05:00,2025-01-28T12:15:23,2024-11-06T10-09-01-05-00_lab-bench_HnW9AQVu5cch28gq6BhvnD.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7314814814814815,0.042844679680521934,1357199,1341035,16164,2t2gq6Z6KKpbkFYUp6mk4b,2024-11-06T10:25:47-05:00,2024-11-06T10:25:47-05:00,2025-01-28T12:15:23,2024-11-06T10-20-28-05-00_lab-bench_g3zCaasErhZjBz2zwq2xM3.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7222222222222222,0.043300437496507437,1362957,1350977,11980,U4VKms3eFhvFNFnPdPDhud,2024-11-06T09:51:34-05:00,2024-11-06T09:51:34-05:00,2025-01-28T12:15:23,2024-11-06T09-46-38-05-00_lab-bench_MRp4pZ3xHCckfNSYmWQPX3.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7407407407407407,0.04236511258094633,1388739,1364739,24000,jTADo6vww8RcPexnUwyT6m,2024-11-06T09:40:45-05:00,2024-11-06T09:40:45-05:00,2025-01-28T12:15:23,2024-11-06T09-35-23-05-00_lab-bench_EYn49q5pd8NCYvSSXwLSdV.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6944444444444444,0.044531975073749855,1358566,1347208,11358,JsL9S7NDT9RdALXJcJngGF,2024-11-06T09:35:22-05:00,2024-11-06T09:35:22-05:00,2025-01-28T12:15:23,2024-11-06T09-31-34-05-00_lab-bench_mPBykwjZrhth32n89CD9by.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7037037037037037,0.04414343666854928,1397534,1370463,27071,7vMGs7XrpNUUGZ2FQVSV3F,2024-11-06T10:09:00-05:00,2024-11-06T10:09:00-05:00,2025-01-28T12:15:24,2024-11-06T10-03-36-05-00_lab-bench_2JNryCeUJzuCJ6SNUvZmJV.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7314814814814815,0.04284467968052193,1418143,1397191,20952,Ww2C7GRmCMXVwJ2V9jjeaE,2024-11-06T10:30:51-05:00,2024-11-06T10:30:51-05:00,2025-01-28T12:15:24,2024-11-06T10-25-48-05-00_lab-bench_WZXN5HUbUKtF43xBiW7Mop.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7592592592592593,0.041331194402438355,1401689,1387820,13869,Lw2pG6kQbZhRdEA6qKMYNq,2024-11-06T10:20:27-05:00,2024-11-06T10:20:27-05:00,2025-01-28T12:15:24,2024-11-06T10-16-32-05-00_lab-bench_MrZKp3muF5B5rpQhtcdv8Q.json,False
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.6944444444444444,0.044531975073749855,1360050,1339373,20677,gkAZGvJidURPDBtdqJu4ZP,2024-11-06T09:46:37-05:00,2024-11-06T09:46:37-05:00,2025-01-28T12:15:24,2024-11-06T09-40-46-05-00_lab-bench_25YF6MpUxSWeDA5M8RifrE.json,False
