inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8638461538461538,0.009515433609431027,887441,872890,14551,LHw924dHe6pmMCi6s4gLod,2024-11-05T15:38:50-05:00,2024-11-05T15:38:50-05:00,2025-01-28T12:15:25,2024-11-05T15-35-49-05-00_mmlu_HwPm2HEfS6radYorPnMyhB.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.86,0.009627392277409573,878971,866297,12674,eN7DTJMxWpm9EHW5DiqjQt,2024-11-05T15:52:31-05:00,2024-11-05T15:52:31-05:00,2025-01-28T12:15:26,2024-11-05T15-49-18-05-00_mmlu_DpzAETzvj9mMCivFwMriCq.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8653846153846154,0.009469942841906364,882671,869766,12905,BJSrYPARRS5GLnAh6Nx2yi,2024-11-05T15:42:11-05:00,2024-11-05T15:42:11-05:00,2025-01-28T12:15:26,2024-11-05T15-39-02-05-00_mmlu_UMTFdU7DzdqEv5z9RGLdBd.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8646153846153846,0.009492739468602547,882021,870852,11169,A32vv3HEtN3dXRDS3q2ejY,2024-11-05T16:04:30-05:00,2024-11-05T16:04:30-05:00,2025-01-28T12:15:26,2024-11-05T15-58-27-05-00_mmlu_R9PEAZiREiF7rfdzwU9DVJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8623076923076923,0.009560517349481762,877749,866293,11456,c4Gbmnw4nJxYYLLoZT3mdc,2024-11-05T15:45:15-05:00,2024-11-05T15:45:15-05:00,2025-01-28T12:15:26,2024-11-05T15-42-21-05-00_mmlu_bW9AtemRkkaYbbTtco75rP.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8615384615384616,0.009582908381450223,884657,873230,11427,HeDYi94xeGnozBombKS3vR,2024-11-05T16:07:53-05:00,2024-11-05T16:07:53-05:00,2025-01-28T12:15:26,2024-11-05T16-05-12-05-00_mmlu_fP7quxgKFVH6yWDXXG77xi.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8607692307692307,0.009605199793431171,874875,862635,12240,7sCUzRPUJqCGnfHDHiQiod,2024-11-05T15:49:07-05:00,2024-11-05T15:49:07-05:00,2025-01-28T12:15:26,2024-11-05T15-45-30-05-00_mmlu_Da7JkWsg8rS3gWSbJ4SpfN.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8546153846153847,0.009780025873025393,886895,874303,12592,YWv2U4cyDFgj9VKf2sTPMA,2024-11-05T15:55:29-05:00,2024-11-05T15:55:29-05:00,2025-01-28T12:15:26,2024-11-05T15-52-43-05-00_mmlu_U5debemfVqis6pGyYEdnRv.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8561538461538462,0.009736894346972898,885476,873766,11710,MBjMqkTq7PBZMq6rpNN3xZ,2024-11-05T15:58:13-05:00,2024-11-05T15:58:13-05:00,2025-01-28T12:15:26,2024-11-05T15-55-43-05-00_mmlu_P7YPx674BKVCgmwDjA7Y33.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8607692307692307,0.00960519979343117,891629,878043,13586,hNw56FuLLBiykvizLNeDXa,2024-11-05T16:10:51-05:00,2024-11-05T16:10:51-05:00,2025-01-28T12:15:26,2024-11-05T16-08-02-05-00_mmlu_AHaEZtcP4uEciiXmvvk6Ns.json,False
