inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.776,0.01866399446471086,1178887,1163544,15343,UAULBs9zCHJXiT9fevfMCh,2024-11-05T22:24:37-05:00,2024-11-05T22:24:37-05:00,2025-01-28T12:15:34,2024-11-05T22-18-57-05-00_pubmedqa_TdusVzzg8D9Nh3RbipGacX.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.79,0.01823362086530592,1170222,1161293,8929,XPqseaA9KCuSSwkocLp6mH,2024-11-05T22:08:35-05:00,2024-11-05T22:08:35-05:00,2025-01-28T12:15:34,2024-11-05T22-03-57-05-00_pubmedqa_hBmPkTMMuCshKUdT84Wkos.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.786,0.018359797502387035,1164462,1155726,8736,8MksjASuTh7qm6ShrVKvsJ,2024-11-05T22:18:56-05:00,2024-11-05T22:18:56-05:00,2025-01-28T12:15:34,2024-11-05T22-14-06-05-00_pubmedqa_9JZvkVEUbqeakUZZhretou.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.788,0.01829703700401386,1175281,1164446,10835,AhmdGh3VEkEjFAvJKofrpC,2024-11-05T22:34:59-05:00,2024-11-05T22:34:59-05:00,2025-01-28T12:15:34,2024-11-05T22-29-43-05-00_pubmedqa_hfBTnN8s7ZPkP43fb4aFoo.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.778,0.018604414758250094,1166933,1155633,11300,f7uN8mypwpUCTww8Lj6h5V,2024-11-05T22:55:44-05:00,2024-11-05T22:55:44-05:00,2025-01-28T12:15:34,2024-11-05T22-50-23-05-00_pubmedqa_QzXMWVYc5dUaxfx4hdyekj.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.786,0.01835979750238704,1170179,1158154,12025,e8ocu9djLWtc7bVpBh5NhR,2024-11-05T22:45:33-05:00,2024-11-05T22:45:33-05:00,2025-01-28T12:15:34,2024-11-05T22-40-10-05-00_pubmedqa_NtgzMdgAxv8ag5pQWqKEFN.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.796,0.01803936910413861,1176773,1165388,11385,a29PHBscRJbqFjpWAGSEMN,2024-11-05T22:29:41-05:00,2024-11-05T22:29:41-05:00,2025-01-28T12:15:34,2024-11-05T22-24-38-05-00_pubmedqa_Bv9Rw3gpRCjYJRM9ML9Atm.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.762,0.019064072958198387,1177298,1163858,13440,jRhvqJsQ6vU6s9dAZpJHRk,2024-11-05T22:14:05-05:00,2024-11-05T22:14:05-05:00,2025-01-28T12:15:34,2024-11-05T22-08-36-05-00_pubmedqa_CokGGVSeLbKqe2Wj8hFV56.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.774,0.01872295644913999,1162062,1152696,9366,EQjF4MooHP6ENvMgb8KmK6,2024-11-05T22:50:21-05:00,2024-11-05T22:50:21-05:00,2025-01-28T12:15:34,2024-11-05T22-45-34-05-00_pubmedqa_8NyGQfkUTaZmbeFHyXRTgy.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.776,0.01866399446471086,1176798,1166338,10460,Q28f729PEhdjfg6x5JoaFj,2024-11-05T22:40:09-05:00,2024-11-05T22:40:09-05:00,2025-01-28T12:15:34,2024-11-05T22-35-01-05-00_pubmedqa_gCR9yo9cRcvCHp2avLEoWW.json,False
