inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.814,0.01741880678058399,1064045,1061545,2500,VGXS5bX42MNedebezkQsVt,2024-11-05T23:01:10-05:00,2024-11-05T23:01:10-05:00,2025-01-28T12:15:32,2024-11-05T23-00-13-05-00_pubmedqa_cSvLSzovQip6PZyssDcPso.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.804,0.017770751227744897,1061648,1059148,2500,6SzFZ4YkhrphJMJqVpeMoZ,2024-11-05T23:06:56-05:00,2024-11-05T23:06:56-05:00,2025-01-28T12:15:32,2024-11-05T23-05-51-05-00_pubmedqa_RpDbP8ERcZeoGgpJAPxgNR.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.804,0.017770751227744897,1059783,1057283,2500,SgNxSkMUobegbjw44Hy6gg,2024-11-05T22:59:08-05:00,2024-11-05T22:59:08-05:00,2025-01-28T12:15:32,2024-11-05T22-58-03-05-00_pubmedqa_KCPpYCJqFVw54jjeoGind9.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.804,0.017770751227744897,1065664,1063164,2500,AwuGAThTkV5Pk4VdUB6NPz,2024-11-05T22:58:01-05:00,2024-11-05T22:58:01-05:00,2025-01-28T12:15:32,2024-11-05T22-56-51-05-00_pubmedqa_N9JbX2RNpXZS546PsusQYW.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.81,0.01756180041075899,1065093,1062593,2500,S8MR2ATjrCnTrfdSnKDL9G,2024-11-05T23:00:12-05:00,2024-11-05T23:00:12-05:00,2025-01-28T12:15:32,2024-11-05T22-59-09-05-00_pubmedqa_bTeijwFGDykodJGsEKeUCL.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.816,0.017346174781752842,1055397,1052897,2500,2QcfFkZuaYpjVH9nd6xbJt,2024-11-05T23:04:51-05:00,2024-11-05T23:04:51-05:00,2025-01-28T12:15:32,2024-11-05T23-03-34-05-00_pubmedqa_LksfQkbN8RRUNPAcmEc4Pa.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.81,0.01756180041075899,1054371,1051871,2500,PfWC3VfxcVvYTzmP4wWsyG,2024-11-05T23:02:19-05:00,2024-11-05T23:02:19-05:00,2025-01-28T12:15:32,2024-11-05T23-01-11-05-00_pubmedqa_WEY9ptgjuBZPJ2aqxSfha4.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.812,0.01749067888034626,1047848,1045348,2500,hEE5fKViGukNsstF7F6kNL,2024-11-05T22:56:50-05:00,2024-11-05T22:56:50-05:00,2025-01-28T12:15:32,2024-11-05T22-55-45-05-00_pubmedqa_eXUeDyeLM5vQE3tWQahcgW.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.81,0.01756180041075899,1063984,1061484,2500,Ee7kbkXdLdRTwNxs2AnX6k,2024-11-05T23:05:49-05:00,2024-11-05T23:05:49-05:00,2025-01-28T12:15:32,2024-11-05T23-04-52-05-00_pubmedqa_aVyXbVmidbzuPs7ye43X2w.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'n_shot': 5}",five_shot,500,0.806,0.017701827855304598,1065999,1063499,2500,iqVHDtepYFku3fSpcnpecv,2024-11-05T23:03:33-05:00,2024-11-05T23:03:33-05:00,2025-01-28T12:15:32,2024-11-05T23-02-20-05-00_pubmedqa_dsZac5LtA6buXALa2XHtbk.json,False
