inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.31683168316831684,0.04652411930483457,192173,190746,1427,kTfaDgA59nwm8LUNFWBw73,2025-02-08T18:17:58-05:00,2025-02-08T18:17:58-05:00,2025-02-09T16:09:33,2025-02-08T18-17-39-05-00_vct_fX7LZoKqhChGvq3zUJrp2q.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.297029702970297,0.0456949733038191,190662,189401,1261,9EGg7M54waYy6wEdCzJwL3,2025-02-08T18:16:00-05:00,2025-02-08T18:16:00-05:00,2025-02-09T16:09:33,2025-02-08T18-15-47-05-00_vct_3MhDDvKbmYKCsLawBjYQ9X.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.36633663366336633,0.04818029726968887,191989,190579,1410,Vq7dchNcz2upVDucusiHc3,2025-02-08T18:17:38-05:00,2025-02-08T18:17:38-05:00,2025-02-09T16:09:33,2025-02-08T18-17-21-05-00_vct_ayZomrvGeR5mRj8k2s8s8Y.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.3069306930693069,0.0461220384112955,195183,193505,1678,7DbBySbVHTubDdbjYoW3AR,2025-02-08T18:15:13-05:00,2025-02-08T18:15:13-05:00,2025-02-09T16:09:33,2025-02-08T18-14-56-05-00_vct_LSyqzC8bGZLmogcZDZP6PZ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.31683168316831684,0.04652411930483457,192323,190763,1560,KMhyjqEw8G5YPgmEKc5VF5,2025-02-08T18:16:55-05:00,2025-02-08T18:16:55-05:00,2025-02-09T16:09:33,2025-02-08T18-16-40-05-00_vct_RDTtzr9SMwLgFNdbWNpygh.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.297029702970297,0.0456949733038191,194303,192700,1603,27ZfwEuyZVpXnwJUiAoZ5D,2025-02-08T18:15:28-05:00,2025-02-08T18:15:28-05:00,2025-02-09T16:09:33,2025-02-08T18-15-13-05-00_vct_Y7b5NBSvJKkizprQ9GVUyH.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.31683168316831684,0.04652411930483458,193305,191484,1821,hq7K97ns3JU7x8tUWWjqcK,2025-02-08T18:16:16-05:00,2025-02-08T18:16:16-05:00,2025-02-09T16:09:33,2025-02-08T18-16-00-05-00_vct_TDxCXcJHBWdS35mtjcrE2s.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.31683168316831684,0.04652411930483458,192164,190467,1697,5koAkRiyh5XXaxCAzAhbPu,2025-02-08T18:15:47-05:00,2025-02-08T18:15:47-05:00,2025-02-09T16:09:33,2025-02-08T18-15-28-05-00_vct_UEjbz33nG5YDSkWBMdSFN4.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.32673267326732675,0.04690185854386936,193646,191684,1962,Wfjw5N5T8UiTrakwQwyGdX,2025-02-08T18:17:20-05:00,2025-02-08T18:17:20-05:00,2025-02-09T16:09:33,2025-02-08T18-16-55-05-00_vct_dVfgyaqbc3drp5jQvr6spP.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'n_shot': 5}",five_shot,101,0.297029702970297,0.04569497330381911,191920,190309,1611,iekPFHoS7c3f8ugkV3kfoH,2025-02-08T18:16:40-05:00,2025-02-08T18:16:40-05:00,2025-02-09T16:09:33,2025-02-08T18-16-17-05-00_vct_iLKMFzsvWjuyJLgbnQWoLD.json,False
