inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,27909,27271,638,W4QDtPAyRGZYn5N8PRGFp7,2024-11-07T18:54:43-05:00,2024-11-07T18:54:43-05:00,2025-01-28T12:07:22,2024-11-07T18-53-34-05-00_gpqa_QNRWq2gVZTbbnXEr6WmKrF.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5256410256410257,0.056905314133886616,27922,27271,651,44NBRmG8Q4adRGJQR9vwvU,2024-11-07T18:53:33-05:00,2024-11-07T18:53:33-05:00,2025-01-28T12:07:22,2024-11-07T18-52-18-05-00_gpqa_8Ws2ndRisgbH7w6X3p3dKy.json,False
anthropic/claude-3-opus-20240229,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6153846153846154,0.055442305396649766,27785,27271,514,AdUzcMdtcXFpPeohhMoNZB,2024-09-10T11:30:58-04:00,2024-09-10T11:30:58-04:00,2025-01-28T12:07:22,2024-09-10T11-30-06-04-00_benchmarks-run_e2cByFvJRgKcQiYZdipTFh.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,27913,27271,642,AX4rRjdK43aigefcM9H7D2,2024-11-07T18:59:53-05:00,2024-11-07T18:59:53-05:00,2025-01-28T12:07:22,2024-11-07T18-58-32-05-00_gpqa_oDfTUybiQniS9jRkwpFzZw.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,27933,27271,662,4jnprwQbjQi2iesBGLrvCC,2024-11-07T18:52:18-05:00,2024-11-07T18:52:18-05:00,2025-01-28T12:07:22,2024-11-07T18-51-03-05-00_gpqa_TMPq8ugZJSJP82sSgtK8Xf.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5384615384615384,0.05681145737507664,27917,27271,646,BGErTGiwnqmAWDvg5EhGFz,2024-11-07T18:51:02-05:00,2024-11-07T18:51:02-05:00,2025-01-28T12:07:22,2024-11-07T18-49-44-05-00_gpqa_BP4Q8bTQGg2SsrihQV5u87.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5128205128205128,0.056961553957331726,27906,27271,635,2E35d5E72AqaSi4DFQoXHg,2024-11-07T18:58:32-05:00,2024-11-07T18:58:32-05:00,2025-01-28T12:07:22,2024-11-07T18-57-21-05-00_gpqa_gis8thW7fzaUjdSYaGabqM.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.05576860878238168,27901,27271,630,mXyC9C5RdDGVnHgoaXTZxU,2024-11-07T18:57:20-05:00,2024-11-07T18:57:20-05:00,2025-01-28T12:07:22,2024-11-07T18-56-04-05-00_gpqa_Abs8DxZtfpkC4NDMuWwvqr.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6153846153846154,0.05544230539664977,27903,27271,632,PYVre23Axx57zzDWkpGhp8,2024-11-07T18:56:03-05:00,2024-11-07T18:56:03-05:00,2025-01-28T12:07:22,2024-11-07T18-54-43-05-00_gpqa_mrCDpSnz9xEBtdQjfHoLth.json,False
anthropic/claude-3-opus-20240229,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,27899,27271,628,FhnGRDBNa5mEB3ZDkeiDtw,2024-11-07T18:49:43-05:00,2024-11-07T18:49:43-05:00,2025-01-28T12:07:22,2024-11-07T18-48-18-05-00_gpqa_5Y7tiLeaTfMETMG4Cthpsa.json,False
