inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,28819,22541,6278,jQdsciA9gxyyM4z76kZToR,2025-02-01T15:39:38-05:00,2025-02-01T15:39:38-05:00,2025-02-09T16:08:53,2025-02-01T15-37-50-05-00_gpqa_E2bzt7KUPzeNask8QNHAt4.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6538461538461539,0.054215941603772855,26590,22535,4055,eASf99zuEpWLLE79VZxYuD,2025-02-01T15:47:15-05:00,2025-02-01T15:47:15-05:00,2025-02-09T16:08:53,2025-02-01T15-46-34-05-00_gpqa_gP7hqdFZjxqcUHaYUKmUMX.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6666666666666666,0.053721530935025345,29515,22533,6982,Rmw9R73En4zXqZQDrmAdwX,2025-02-01T15:36:41-05:00,2025-02-01T15:36:41-05:00,2025-02-09T16:08:53,2025-02-01T15-34-38-05-00_gpqa_4crQBmL5V7xx5shAGxzcWf.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6410256410256411,0.054666850347592416,27923,22540,5383,Yk5ypWaLAq5EqbwksqV4zU,2025-02-01T15:41:09-05:00,2025-02-01T15:41:09-05:00,2025-02-09T16:08:53,2025-02-01T15-39-39-05-00_gpqa_GxCdsECU6SMEV3sEzuffhk.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6153846153846154,0.05544230539664977,28032,22537,5495,HZ9qKCzPhMkAuUQieV7Mow,2025-02-01T15:43:06-05:00,2025-02-01T15:43:06-05:00,2025-02-09T16:08:53,2025-02-01T15-41-10-05-00_gpqa_Y4fJrdwbf8EVUTx5RPd97k.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6153846153846154,0.055442305396649766,28031,22542,5489,da87t4xr8gVWwEfrSMiZHZ,2025-02-01T15:46:33-05:00,2025-02-01T15:46:33-05:00,2025-02-09T16:08:53,2025-02-01T15-45-39-05-00_gpqa_M5RYKKtrmphgQMDjBwCt8e.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6538461538461539,0.05421594160377286,27684,22540,5144,QaxjSkynvFRkNUeRFvqxka,2025-02-01T15:44:05-05:00,2025-02-01T15:44:05-05:00,2025-02-09T16:08:53,2025-02-01T15-43-07-05-00_gpqa_Yz7PJPcPDrQxvfhogR3AKz.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6666666666666666,0.053721530935025345,27404,22540,4864,5wvjVHBvkLoeW5p6FQU7L6,2025-02-01T15:45:38-05:00,2025-02-01T15:45:38-05:00,2025-02-09T16:08:53,2025-02-01T15-44-56-05-00_gpqa_DSBKxaGcq6dHBbSw7pHx27.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6410256410256411,0.054666850347592416,28734,22539,6195,FRLJzannHokjCLhxCCYSos,2025-02-01T15:49:00-05:00,2025-02-01T15:49:00-05:00,2025-02-09T16:08:53,2025-02-01T15-47-15-05-00_gpqa_YQnERPzmi6QxHQ6ZHVSmHa.json,False
together/deepseek-ai/DeepSeek-V3,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,26392,22537,3855,SGo2sknTv4dTYK4KMSstNe,2025-02-01T15:44:42-05:00,2025-02-01T15:44:42-05:00,2025-02-09T16:08:53,2025-02-01T15-44-06-05-00_gpqa_ND8aWaaofFucKQ4XWB2EM5.json,False
