inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5384615384615384,0.05681145737507664,22969,22735,234,NBmz5eC7sAbMScaNWHWN9J,2024-10-01T21:22:27-04:00,2024-10-01T21:22:27-04:00,2025-01-28T12:07:22,2024-10-01T21-22-22-04-00_benchmarks-gpqa_YQS9NK7v8QLAtGzorEpAAN.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,22970,22736,234,HueLpZYumUbNDhq7GQnCUA,2024-10-01T21:22:40-04:00,2024-10-01T21:22:40-04:00,2025-01-28T12:07:22,2024-10-01T21-22-35-04-00_benchmarks-gpqa_N7i9MMmNXaqwHPcWZyoq8A.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5384615384615384,0.05681145737507664,22969,22735,234,9Xg6eWnK2RvUuUzmzUEUqV,2024-10-01T21:23:14-04:00,2024-10-01T21:23:14-04:00,2025-01-28T12:07:22,2024-10-01T21-23-08-04-00_benchmarks-gpqa_NjpMLe8S2kX2CQPyvc7ebZ.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5384615384615384,0.05681145737507664,22972,22738,234,5EtEvdHrjcWqNPt4tKpgWZ,2024-10-01T21:23:07-04:00,2024-10-01T21:23:07-04:00,2025-01-28T12:07:22,2024-10-01T21-23-03-04-00_benchmarks-gpqa_jUf6ZCfFuNNJCXaUHQ6Cyb.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5256410256410257,0.056905314133886616,22970,22736,234,CcefQMfqrNARpfPmEEufqL,2024-10-01T21:22:34-04:00,2024-10-01T21:22:34-04:00,2025-01-28T12:07:22,2024-10-01T21-22-29-04-00_benchmarks-gpqa_SuiHRYgUmfxWUuQ3h6oraw.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,22970,22736,234,WTucCmLrwxQZwgGkUcLEkK,2024-10-01T21:22:47-04:00,2024-10-01T21:22:47-04:00,2025-01-28T12:07:22,2024-10-01T21-22-42-04-00_benchmarks-gpqa_NbgtV7rgTxrRbzTZACsoq7.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,22972,22738,234,EYAvLMpawvoRsEEfZFfxNH,2024-10-01T21:22:55-04:00,2024-10-01T21:22:55-04:00,2025-01-28T12:07:22,2024-10-01T21-22-50-04-00_benchmarks-gpqa_co7BUfZZKcUf73BJ8RgGCn.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,22970,22736,234,L7t6e5V9WghAPrzb3iqeMs,2024-10-01T21:23:02-04:00,2024-10-01T21:23:02-04:00,2025-01-28T12:07:22,2024-10-01T21-22-56-04-00_benchmarks-gpqa_gnWjtBVYb3k79ubQUAB2f5.json,False
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,22969,22735,234,7tTnwfeBMeAMN9wh5ztG3d,2024-10-01T21:23:22-04:00,2024-10-01T21:23:22-04:00,2025-01-28T12:07:22,2024-10-01T21-23-15-04-00_benchmarks-gpqa_NQFCA3p5wD6YX9bHzANdBG.json,False
google/gemini-1.5-pro,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.5641025641025641,0.056510068207111776,22971,22737,234,FdnMznhzLJYPjXFdPhNsV3,2024-09-10T11:27:42-04:00,2024-09-10T11:27:42-04:00,2025-01-28T12:07:22,2024-09-10T11-27-34-04-00_benchmarks-run_iWaJaAyfWjcJScMfVNXNku.json,False
