inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5769230769230769,0.05630192728549229,24785,24395,390,EUETeRFvoM9DAvaxHU5Fxj,2024-11-07T19:38:17-05:00,2024-11-07T19:38:17-05:00,2025-01-28T12:07:21,2024-11-07T19-38-12-05-00_gpqa_eow52Uw457BaVpRaqn2jdE.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,24786,24396,390,RqG7JKtVBfdtWJn8BiyEPQ,2024-11-07T19:37:38-05:00,2024-11-07T19:37:38-05:00,2025-01-28T12:07:21,2024-11-07T19-37-33-05-00_gpqa_Vo2V5jvNwNkUgmqsE9t4Re.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6025641025641025,0.055768608782381685,24786,24396,390,2samFc6DcUz9XhugYQ4mnR,2024-11-07T19:38:06-05:00,2024-11-07T19:38:06-05:00,2025-01-28T12:07:21,2024-11-07T19-38-00-05-00_gpqa_2rNhhzdrD4kFxoHxAovYuP.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6282051282051282,0.05507532564433873,24788,24398,390,BnmMBLRZjqnGvjCZzAZBrH,2024-09-10T13:35:19-04:00,2024-09-10T13:35:19-04:00,2025-01-28T12:07:21,2024-09-10T13-33-42-04-00_benchmarks-run_fXnKEZnCveAcysPbDF5jGm.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5769230769230769,0.05630192728549229,24781,24391,390,6WHCSBxiTH9dbJcYb23xEr,2024-11-07T19:37:54-05:00,2024-11-07T19:37:54-05:00,2025-01-28T12:07:21,2024-11-07T19-37-49-05-00_gpqa_bPBDqgdv8UfxZP82GthB3m.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6153846153846154,0.05544230539664977,24785,24395,390,dFSSHgwVM2BPbAoQGYrscf,2024-11-07T19:38:23-05:00,2024-11-07T19:38:23-05:00,2025-01-28T12:07:21,2024-11-07T19-38-18-05-00_gpqa_PLov4rVKnFRy7cqTXBbNHu.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,24786,24396,390,9mGuPoYkjDChaGKsKcHpst,2024-11-07T19:38:11-05:00,2024-11-07T19:38:11-05:00,2025-01-28T12:07:21,2024-11-07T19-38-07-05-00_gpqa_dn5aGGwQVzAGvdS6iMZAto.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,24783,24393,390,AXnyde4v464AjDSJeerTKz,2024-11-07T19:38:00-05:00,2024-11-07T19:38:00-05:00,2025-01-28T12:07:21,2024-11-07T19-37-55-05-00_gpqa_E9mA8h6JJYJFfQaqUebQyt.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5897435897435898,0.05605494615384831,24785,24395,390,CcerwqLKNxTtQZwdfq6reW,2024-11-07T19:37:49-05:00,2024-11-07T19:37:49-05:00,2025-01-28T12:07:21,2024-11-07T19-37-44-05-00_gpqa_JX39AgKrHLqgtsjAe9dvGp.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5384615384615384,0.05681145737507664,24793,24403,390,CdSojdk5tKftk5LVdeeoWm,2024-11-07T19:37:44-05:00,2024-11-07T19:37:44-05:00,2025-01-28T12:07:21,2024-11-07T19-37-39-05-00_gpqa_EZ7QvH3kQunnnj9c4HUKgU.json,False
