inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6410256410256411,0.054666850347592416,32822,26347,6475,6ffq3S4McZbnDRdwDhqHgQ,2024-09-10T13:30:18-04:00,2024-09-10T13:30:18-04:00,2025-01-28T12:07:22,2024-09-10T12-49-32-04-00_benchmarks-run_ndP7MFnYoL6KXdZpp5ty6q.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6282051282051282,0.05507532564433873,32213,26343,5870,9HhPrsRgKdFDZ4FS5aKwFU,2024-09-26T21:48:46-04:00,2024-09-26T21:48:46-04:00,2025-01-28T12:07:22,2024-09-26T21-48-13-04-00_benchmarks-gpqa_NFHPerwzanPVgidcMm7taC.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6666666666666666,0.05372153093502534,31866,26345,5521,Ec8hCaptvqe2cHYdZfUR62,2024-09-26T21:50:05-04:00,2024-09-26T21:50:05-04:00,2025-01-28T12:07:22,2024-09-26T21-49-25-04-00_benchmarks-gpqa_kL3xhch6GTkwW7KcaN9btH.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6794871794871795,0.053182405107174285,31746,26344,5402,TbwKPx2yfHZZ74czsAX6oX,2024-09-26T21:47:03-04:00,2024-09-26T21:47:03-04:00,2025-01-28T12:07:22,2024-09-26T21-46-31-04-00_benchmarks-gpqa_GwrYipu2zEo34v5gxYCPwz.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.717948717948718,0.05128205128205127,33144,26342,6802,g7rhWJK5ZzdRWfLu9NJ52W,2024-09-26T21:49:24-04:00,2024-09-26T21:49:24-04:00,2025-01-28T12:07:22,2024-09-26T21-48-47-04-00_benchmarks-gpqa_DQYLZh8eUcbZ9yeBDVDjQe.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6794871794871795,0.05318240510717429,32572,26345,6227,YKCSQLBKqntYJvrrnGb9ZW,2024-09-26T21:46:01-04:00,2024-09-26T21:46:01-04:00,2025-01-28T12:07:22,2024-09-26T21-45-27-04-00_benchmarks-gpqa_YTBXJfvDNgJRZqdAj92AzD.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.7051282051282052,0.051964325857549835,31603,26343,5260,UzbJHqgosPkAhG3kDJrEeB,2024-09-26T21:46:31-04:00,2024-09-26T21:46:31-04:00,2025-01-28T12:07:22,2024-09-26T21-46-02-04-00_benchmarks-gpqa_ZGmFuwccGrW76U7pcGKv8u.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6538461538461539,0.05421594160377286,32542,26343,6199,a5My2y75zM4NS6dueCWiHb,2024-09-26T21:47:43-04:00,2024-09-26T21:47:43-04:00,2025-01-28T12:07:22,2024-09-26T21-47-03-04-00_benchmarks-gpqa_G3Dz3DnBApuypVYNv6pVZV.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6666666666666666,0.053721530935025345,31670,26344,5326,LFe7x8nEHu7jSTQgtpqFQh,2024-09-26T21:45:26-04:00,2024-09-26T21:45:26-04:00,2025-01-28T12:07:22,2024-09-26T21-44-56-04-00_benchmarks-gpqa_nt6uasq8xCg9HS26w4dX6g.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.6153846153846154,0.05544230539664977,31516,26345,5171,EzxBbPs5PXi8fX3aNoiBfZ,2024-09-26T21:48:13-04:00,2024-09-26T21:48:13-04:00,2025-01-28T12:07:22,2024-09-26T21-47-43-04-00_benchmarks-gpqa_JTKPSgttv5tVBtpX5ubbEv.json,False
