inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.4358974358974359,0.056510068207111776,43850,27928,15922,HmhUBzncp8fXwLByDoCrvX,2025-01-21T15:27:40-05:00,2025-01-21T15:27:40-05:00,2025-01-28T12:07:20,2025-01-21T15-26-09-05-00_gpqa_2gDSgW6uiuZppdJpqvHZTe.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.41025641025641024,0.05605494615384831,43782,27918,15864,S8ogUr2pUivyuqisE8LnU3,2025-01-21T15:29:54-05:00,2025-01-21T15:29:54-05:00,2025-01-28T12:07:20,2025-01-21T15-28-32-05-00_gpqa_nmxgZY2a5fCtWypBeU2ixt.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.4230769230769231,0.05630192728549229,43027,27921,15106,ND7EEHBxgFT7TMh5WSshUW,2025-01-21T15:32:43-05:00,2025-01-21T15:32:43-05:00,2025-01-28T12:07:20,2025-01-21T15-31-07-05-00_gpqa_J5jJb6MVC5JYR9esgAUTpD.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.2948717948717949,0.051964325857549835,42067,27919,14148,eR7ncB2Ke5NH4FYT4mjRB4,2025-01-21T15:33:42-05:00,2025-01-21T15:33:42-05:00,2025-01-28T12:07:20,2025-01-21T15-32-44-05-00_gpqa_hwBYkU9dKfo4hZAywmDwA8.json,False
mistral/open-mixtral-8x7b,benchmarks/run,"{'cls': 'GPQABenchmark', 'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'split': 'train'}",zero_shot,78,0.3717948717948718,0.05507532564433873,42924,28027,14897,DHDDJv7g7wNE6QZT7UgW63,2024-09-10T12:49:29-04:00,2024-09-10T12:49:29-04:00,2025-01-28T12:07:20,2024-09-10T12-31-15-04-00_benchmarks-run_jsKM2iccaupCtGjbg6UorH.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.5128205128205128,0.056961553957331726,42939,27926,15013,FvXwL6L6Sbv8AvwZwGT636,2025-01-21T15:31:06-05:00,2025-01-21T15:31:06-05:00,2025-01-28T12:07:20,2025-01-21T15-29-55-05-00_gpqa_ceMofT3QZsS43pWFDWQy4w.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.3974358974358974,0.055768608782381685,42975,27928,15047,7HEpHg2DKFrQ4setkW27ei,2025-01-21T15:36:44-05:00,2025-01-21T15:36:44-05:00,2025-01-28T12:07:20,2025-01-21T15-35-17-05-00_gpqa_jo7FmMccC8z8pj8W7nWVwD.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.3974358974358974,0.055768608782381685,42264,27929,14335,ApAQMR2JP4VnUyM3cA4oRv,2025-01-21T15:37:47-05:00,2025-01-21T15:37:47-05:00,2025-01-28T12:07:20,2025-01-21T15-36-45-05-00_gpqa_nDonAAHAW74KT3sJnVAM4w.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.3974358974358974,0.055768608782381685,43045,27919,15126,V5YCf5Xwm6WWkFPwqz4gqT,2025-01-21T15:35:16-05:00,2025-01-21T15:35:16-05:00,2025-01-28T12:07:20,2025-01-21T15-33-43-05-00_gpqa_SoYsvnHcjVhpcm849nHMFZ.json,False
mistral/open-mixtral-8x7b,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.3717948717948718,0.05507532564433873,42018,27925,14093,87V8MUqGSNL4WQbHF7d6Y9,2025-01-21T15:28:31-05:00,2025-01-21T15:28:31-05:00,2025-01-28T12:07:20,2025-01-21T15-27-41-05-00_gpqa_8PRXHX6ohZjAFgr27CM7x8.json,False
