inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7051282051282052,0.051964325857549835,158605,23623,134982,o8yUNjcdAHkpgwqSorEzWW,2025-02-02T15:48:26-05:00,2025-02-02T15:48:26-05:00,2025-02-09T16:08:55,2025-02-02T15-46-17-05-00_gpqa_o5h2Jbyx4KAvFYbsV735hj.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7692307692307693,0.04801444491787379,154701,23622,131079,SaFbGbMYb353HxL3kDC2fC,2025-02-02T15:53:37-05:00,2025-02-02T15:53:37-05:00,2025-02-09T16:08:55,2025-02-02T15-51-21-05-00_gpqa_55Cnc56aYCSUrZRs9uhSqn.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7307692307692307,0.05054836466713621,161469,23625,137844,QGJjntciYhihHYFbw39GNH,2025-02-02T15:40:30-05:00,2025-02-02T15:40:30-05:00,2025-02-09T16:08:55,2025-02-02T15-37-32-05-00_gpqa_b3W89fGsSAnGNGgcJkF9Em.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.717948717948718,0.05128205128205127,158881,23628,135253,JMAauV3tFAuA6eUHgtvZUM,2025-02-02T15:46:16-05:00,2025-02-02T15:46:16-05:00,2025-02-09T16:08:55,2025-02-02T15-43-22-05-00_gpqa_oFNZgMKzXasG6hXYG7yVzA.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.717948717948718,0.05128205128205127,148985,23623,125362,FmNsiqpysJAJkTNjfhkgAK,2025-02-02T15:35:25-05:00,2025-02-02T15:35:25-05:00,2025-02-09T16:08:55,2025-02-02T15-32-45-05-00_gpqa_5JvmaeRwjSdJx4mUs2RURE.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.717948717948718,0.05128205128205127,159444,23628,135816,7Hz9H2pnErtznRHjVJbX9v,2025-02-02T15:56:15-05:00,2025-02-02T15:56:15-05:00,2025-02-09T16:08:55,2025-02-02T15-53-39-05-00_gpqa_QZxDUHZr7eUNTAmwvAEEu9.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7564102564102564,0.04891734088296383,154230,23625,130605,dAAPFucHJmkLPWTHuDTSnA,2025-02-02T15:37:32-05:00,2025-02-02T15:37:32-05:00,2025-02-09T16:08:55,2025-02-02T15-35-26-05-00_gpqa_G4AdZXzU4iYa4k2isD8HH8.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.717948717948718,0.05128205128205127,165287,23622,141665,EHv87guPJi9GnAer3Cmid6,2025-02-02T15:43:21-05:00,2025-02-02T15:43:21-05:00,2025-02-09T16:08:55,2025-02-02T15-40-31-05-00_gpqa_kfuHiaoNxxNnPogHNCPMwZ.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7307692307692307,0.05054836466713621,165083,23622,141461,7peejfY6XG9zoicMfbr3gT,2025-02-02T15:51:21-05:00,2025-02-02T15:51:21-05:00,2025-02-09T16:08:55,2025-02-02T15-48-27-05-00_gpqa_TZqcSL6JHEqsksxaF6yMjP.json,False
openai/o1-2024-12-17,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7564102564102564,0.04891734088296383,170831,23623,147208,Dco2x8mF9KekrdSFaFprtx,2025-01-31T16:02:10-05:00,2025-01-31T16:02:10-05:00,2025-02-09T16:08:55,2025-01-31T15-58-59-05-00_gpqa_HbH88GAgZrUo2FEfcKP6Pa.json,False
