inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7307692307692307,0.05054836466713621,137090,23622,113468,Zuj6ahWLP5fQWotcrQMcK4,2025-01-31T16:17:26-05:00,2025-01-31T16:17:26-05:00,2025-02-09T16:08:52,2025-01-31T16-12-47-05-00_gpqa_f9cJreKmhADuJRUa9gyCo7.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.782051282051282,0.04704889337109345,140290,23622,116668,gtDuUZEUBhrAbAZY55dmBR,2025-01-31T16:25:43-05:00,2025-01-31T16:25:43-05:00,2025-02-09T16:08:52,2025-01-31T16-21-20-05-00_gpqa_YRfPhLPj8BgpLsk2BHJsWj.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7435897435897436,0.0497609919747403,111226,23622,87604,XPDZC9PEBCmbsva3gQMP36,2025-01-31T16:51:43-05:00,2025-01-31T16:51:43-05:00,2025-02-09T16:08:52,2025-01-31T16-43-11-05-00_gpqa_bLKUDgDt9gQugi9JsdpxdU.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7051282051282052,0.051964325857549835,118455,23627,94828,MDZzvR3jtFuSR4N85ZJAxk,2025-01-31T18:09:26-05:00,2025-01-31T18:09:26-05:00,2025-02-09T16:08:52,2025-01-31T16-51-43-05-00_gpqa_CtAyqVD26QrWwja2bUxeAC.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7051282051282052,0.051964325857549835,119307,23623,95684,JhhVW4QRdNxStsBEQY5pS5,2025-01-31T16:08:56-05:00,2025-01-31T16:08:56-05:00,2025-02-09T16:08:52,2025-01-31T16-04-52-05-00_gpqa_EB2HBANbQmjeAYwARDCfXd.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7307692307692307,0.05054836466713621,121668,23623,98045,AMcfvM5BLCyQ793gPnPnLR,2025-01-31T16:21:18-05:00,2025-01-31T16:21:18-05:00,2025-02-09T16:08:52,2025-01-31T16-17-28-05-00_gpqa_RjAGRBSaiEad3RVXNLjEei.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7564102564102564,0.04891734088296383,132351,23624,108727,k6dNz2AqtJrUJxouPVnupm,2025-01-31T16:30:35-05:00,2025-01-31T16:30:35-05:00,2025-02-09T16:08:52,2025-01-31T16-25-44-05-00_gpqa_Lz3Ep8xm4fnk8vmQ9Lo4Lt.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.717948717948718,0.05128205128205127,135643,23625,112018,d9ovDwEBGfQ8ySmZAR8b79,2025-01-31T16:43:10-05:00,2025-01-31T16:43:10-05:00,2025-02-09T16:08:52,2025-01-31T16-30-36-05-00_gpqa_9qVnwz88A2YTzW8GXaFHoz.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.6794871794871795,0.053182405107174285,128242,23624,104618,GmtphkUVo3xBNuDRPAGAma,2025-01-31T19:32:58-05:00,2025-01-31T19:32:58-05:00,2025-02-09T16:08:52,2025-01-31T19-20-49-05-00_gpqa_AyHAFKE8hyQM5YC8hMbhJo.json,False
openai/o3-mini-2025-01-31,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'split': 'train'}",zero_shot,78,0.7307692307692307,0.05054836466713621,128382,23626,104756,Pu72wKQCLKpT6b8puHvguw,2025-01-31T19:20:48-05:00,2025-01-31T19:20:48-05:00,2025-02-09T16:08:52,2025-01-31T18-09-27-05-00_gpqa_fHreW6BxaFxJWXUVJ4KTQu.json,False
