inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.24242424242424243,0.07575757575757576,163972,162038,1934,JNBrJk7oTCVYeyhdnpUHXT,2024-10-31T16:18:52-04:00,2024-10-31T16:18:52-04:00,2025-01-28T12:06:42,2024-10-31T16-17-23-04-00_lab-bench_V36B9SDVNv2CXA3t99jsAr.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,164399,162038,2361,7hPWjq7VjhzW8bkNDGHxpk,2024-10-31T16:25:37-04:00,2024-10-31T16:25:37-04:00,2025-01-28T12:06:42,2024-10-31T16-24-02-04-00_lab-bench_BQaah2ccpjs7UxeXyq4AqL.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.18181818181818182,0.06818181818181818,165542,162038,3504,8qK26udnibcnugrnoS2X3x,2024-10-31T16:24:01-04:00,2024-10-31T16:24:01-04:00,2025-01-28T12:06:42,2024-10-31T16-22-09-04-00_lab-bench_BcE4FFNwjinEYpRigJsSPo.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.0863769261438741,167497,162038,5459,KuS9FkEwPUprGktEgtLQgx,2024-10-31T16:22:08-04:00,2024-10-31T16:22:08-04:00,2025-01-28T12:06:42,2024-10-31T16-18-53-04-00_lab-bench_adW8XyWrC7ycbChj8YhDgM.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,164594,162038,2556,23tYHYYqJxfDrfPH9M7Mnb,2024-10-31T16:14:32-04:00,2024-10-31T16:14:32-04:00,2025-01-28T12:06:42,2024-10-31T16-12-59-04-00_lab-bench_exByrZZkHfgtukAhoX3nwX.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.21212121212121213,0.07226812131946558,166633,162038,4595,Dyiz9oJPcnXBNAmPGCvKap,2024-10-31T16:31:06-04:00,2024-10-31T16:31:06-04:00,2025-01-28T12:06:42,2024-10-31T16-27-45-04-00_lab-bench_KqypkEtK6DxwC5CNd43w9L.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,164242,162038,2204,4wZzFu7vXHj3Bok45JjPHK,2024-10-31T16:17:22-04:00,2024-10-31T16:17:22-04:00,2025-01-28T12:06:42,2024-10-31T16-15-57-04-00_lab-bench_N6p3QebL9uwRurTx6rG45q.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.21212121212121213,0.07226812131946558,165010,162038,2972,3aHMkpqPy6x2nWxis4ieDz,2024-10-31T16:27:44-04:00,2024-10-31T16:27:44-04:00,2025-01-28T12:06:42,2024-10-31T16-25-38-04-00_lab-bench_dR9cca5et4d6pgndbR5ZJb.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,163855,162038,1817,2ierAWfLLbALtWcFnRV4Jr,2024-10-31T16:15:56-04:00,2024-10-31T16:15:56-04:00,2025-01-28T12:06:42,2024-10-31T16-14-33-04-00_lab-bench_MuZZR9vKHypfvjJCpyYcpE.json,False
anthropic/claude-2.0,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,167584,162038,5546,2fJAZwFEriN9PVyBLAEuNB,2024-10-31T16:12:57-04:00,2024-10-31T16:12:57-04:00,2025-01-28T12:06:42,2024-10-31T16-08-55-04-00_lab-bench_SndJxW5VKnE9HVYWLBqHKx.json,False
