inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.42424242424242425,0.08736789844447572,196889,196757,132,STPumVtu2AHdNtjELkFMv7,2024-11-07T19:43:52-05:00,2024-11-07T19:43:52-05:00,2025-01-28T12:06:45,2024-11-07T19-43-19-05-00_lab-bench_TZhc57NJRt629foKHsTKcJ.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.36363636363636365,0.08503766788122595,196889,196757,132,fNmkyyPL4DKme5RvEJY2DF,2024-11-07T19:41:58-05:00,2024-11-07T19:41:58-05:00,2025-01-28T12:06:45,2024-11-07T19-41-51-05-00_lab-bench_M7mQDewEjDAj3xa6untziu.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.2727272727272727,0.0787295821622217,196890,196758,132,9hc7Wu7QWWgFJkBe7YGEjo,2024-11-07T19:44:19-05:00,2024-11-07T19:44:19-05:00,2025-01-28T12:06:45,2024-11-07T19-43-53-05-00_lab-bench_6vSb2AU7pTQtnzyQWJNxbt.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3939393939393939,0.08637692614387409,196891,196759,132,6i8qFvz6YzmCzioDxxQ73P,2024-11-07T19:42:52-05:00,2024-11-07T19:42:52-05:00,2025-01-28T12:06:45,2024-11-07T19-42-17-05-00_lab-bench_JesBuoAz8yLQhYHBwepBx3.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.36363636363636365,0.08503766788122595,196890,196758,132,7vtHRZeumgVA5d2gFLuPip,2024-11-07T19:44:48-05:00,2024-11-07T19:44:48-05:00,2025-01-28T12:06:45,2024-11-07T19-44-20-05-00_lab-bench_WNJmPoftntHdTheWGCHxFX.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.2727272727272727,0.0787295821622217,196890,196758,132,3t2vUMEaP3pefo4BUueZri,2024-11-07T19:45:25-05:00,2024-11-07T19:45:25-05:00,2025-01-28T12:06:45,2024-11-07T19-44-49-05-00_lab-bench_SBnBfyte2KawRHn44WwmyL.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333334,196890,196758,132,jEdg9QLMYeLSYVNbgpELFh,2024-11-07T19:43:18-05:00,2024-11-07T19:43:18-05:00,2025-01-28T12:06:45,2024-11-07T19-42-53-05-00_lab-bench_FHehHTkyUX5LfEaFX7zdhi.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,196889,196757,132,j6wDTkvWaxXmUmHFUHH4Eq,2024-11-07T19:45:53-05:00,2024-11-07T19:45:53-05:00,2025-01-28T12:06:45,2024-11-07T19-45-26-05-00_lab-bench_9Lk8DiMMBMCSNPTZ9tAUs8.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.24242424242424243,0.07575757575757576,196890,196758,132,2PjD23NDE84LgSqtP36zp4,2024-11-07T19:42:17-05:00,2024-11-07T19:42:17-05:00,2025-01-28T12:06:45,2024-11-07T19-41-59-05-00_lab-bench_LWCp5ZxYDCRds6tPUyuQNv.json,False
openai/gpt-4-turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.3333333333333333,0.08333333333333333,196891,196759,132,UgzHSYPn9mj6CDLPhrcW8i,2024-09-20T12:27:57-04:00,2024-09-20T12:27:57-04:00,2025-01-28T12:06:45,2024-09-20T12-27-49-04-00_benchmarks-lab-bench_2h7N4P8im2UUC9cPbdPLnC.json,False
