inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.21212121212121213,0.07226812131946558,135717,135523,194,dy9355RzgJdsZmNj2dfbGk,2024-11-07T19:39:25-05:00,2024-11-07T19:39:25-05:00,2025-01-28T12:06:45,2024-11-07T19-39-06-05-00_lab-bench_gEaoRF63b3Vb8SHinoBSn5.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.15151515151515152,0.06338333534349057,135729,135523,206,3KwKwLYavDcqugHfQzY2Ae,2024-11-07T19:39:05-05:00,2024-11-07T19:39:05-05:00,2025-01-28T12:06:45,2024-11-07T19-39-01-05-00_lab-bench_MqcFkoKWrTbimeniAPKmMP.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,135747,135523,224,iUwHjba6hjqx6S8cvPBjGg,2024-11-07T19:39:50-05:00,2024-11-07T19:39:50-05:00,2025-01-28T12:06:45,2024-11-07T19-39-26-05-00_lab-bench_XJsQQ5BukW8F5iaqdX3gjM.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,135736,135524,212,9z2eca59WXAgcvq4k42a5H,2024-11-07T19:41:25-05:00,2024-11-07T19:41:25-05:00,2025-01-28T12:06:45,2024-11-07T19-41-07-05-00_lab-bench_2wt9452RLmjs4YeDXi9HsN.json,False
openai/gpt-4,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.2727272727272727,0.0787295821622217,135727,135524,203,RmoeSSRLBMmm9UKMdaiJwz,2024-09-20T12:27:48-04:00,2024-09-20T12:27:48-04:00,2025-01-28T12:06:45,2024-09-20T12-26-06-04-00_benchmarks-lab-bench_9JP5tryPTicS4T4Y5CSsB9.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.21212121212121213,0.07226812131946558,135781,135523,258,3R8zXXLCQBVaxvgoiKdSki,2024-11-07T19:41:06-05:00,2024-11-07T19:41:06-05:00,2025-01-28T12:06:45,2024-11-07T19-40-42-05-00_lab-bench_SeAV9RcxgkehtYezfZzLb7.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,135719,135524,195,RCMQThTsRLBdJNa2UYa9wi,2024-11-07T19:40:42-05:00,2024-11-07T19:40:42-05:00,2025-01-28T12:06:45,2024-11-07T19-40-17-05-00_lab-bench_6fEaXWMPgJqAJxTbmZp3z2.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.2727272727272727,0.0787295821622217,135731,135524,207,LT8n38iUBRzTJQ749nmFKQ,2024-11-07T19:39:00-05:00,2024-11-07T19:39:00-05:00,2025-01-28T12:06:45,2024-11-07T19-38-55-05-00_lab-bench_b8Kk9izaeBsrXtTbhuy8Bt.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.3333333333333333,0.08333333333333333,135729,135523,206,5JPPiMJwpHgyaccehJR3WT,2024-11-07T19:40:16-05:00,2024-11-07T19:40:16-05:00,2025-01-28T12:06:45,2024-11-07T19-39-51-05-00_lab-bench_6ijTnL5ZGPJjmrdtPDESha.json,False
openai/gpt-4,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,135744,135524,220,2kjyiSHP7s4SiMAVhgwwtp,2024-11-07T19:41:50-05:00,2024-11-07T19:41:50-05:00,2025-01-28T12:06:45,2024-11-07T19-41-26-05-00_lab-bench_XnerUUqg5eHXUXNCG33Kx7.json,False
