inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.18181818181818182,0.06818181818181818,209412,209217,195,Ayj3n53KthKirqte2tG4gR,2024-11-07T20:04:54-05:00,2024-11-07T20:04:54-05:00,2025-01-28T12:06:44,2024-11-07T20-04-44-05-00_lab-bench_6dM9WYadjuuia3vX3PWS5e.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.2727272727272727,0.0787295821622217,209524,209217,307,ZaLKG6bpMQ3qxgdppsCRUb,2024-11-07T20:08:26-05:00,2024-11-07T20:08:26-05:00,2025-01-28T12:06:44,2024-11-07T20-07-28-05-00_lab-bench_gBEjV5Fr5dkjFbULbgfqMy.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,209730,209217,513,k2QeDp3fHsdirrnRpdaNqu,2024-11-07T20:12:45-05:00,2024-11-07T20:12:45-05:00,2025-01-28T12:06:44,2024-11-07T20-12-32-05-00_lab-bench_kaeGWCc8NoKiUs2WLheJpv.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,209504,209217,287,PkMYyvD6FZhgnte49Yz8hZ,2024-11-07T20:08:45-05:00,2024-11-07T20:08:45-05:00,2025-01-28T12:06:44,2024-11-07T20-08-27-05-00_lab-bench_TwErX4ZwAEDhCW6vY5Krxa.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.36363636363636365,0.08503766788122595,209605,209217,388,aXfonLTGZExwNjyMAg5fwg,2024-11-07T20:07:27-05:00,2024-11-07T20:07:27-05:00,2025-01-28T12:06:44,2024-11-07T20-07-15-05-00_lab-bench_CY4EFTHdLamLLD5aVQYpAM.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.36363636363636365,0.08503766788122595,209417,209217,200,6wN4gHyW6LkR2KUp3Uj6Gh,2025-01-27T14:00:27-05:00,2025-01-27T14:00:27-05:00,2025-01-28T12:06:44,2025-01-27T14-00-18-05-00_lab-bench_fq6xM428xbC6jJasQdtJH7.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.30303030303030304,0.08124094920275461,209557,209217,340,HQPWiNKDvFreTsftMPf3Ca,2024-11-07T20:10:02-05:00,2024-11-07T20:10:02-05:00,2025-01-28T12:06:44,2024-11-07T20-09-21-05-00_lab-bench_aJXS2RfqjnnWPPPtXtr8PU.json,False
mistral/mistral-large-2407,benchmarks/lab_bench,"{'split': 'train', 'subset': 'CloningScenarios'}",zero_shot,33,0.30303030303030304,0.08124094920275461,209625,209217,408,MHgUJB6ERU5VMn3xk4vufx,2024-09-20T12:31:20-04:00,2024-09-20T12:31:20-04:00,2025-01-28T12:06:44,2024-09-20T12-31-09-04-00_benchmarks-lab-bench_FXFp93mC5GzZVi94YYLras.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.21212121212121213,0.07226812131946558,209455,209217,238,DfVS6gjsgbMDKMswXJ4pAC,2025-01-23T11:32:05-05:00,2025-01-23T11:32:05-05:00,2025-01-28T12:06:44,2025-01-23T11-31-55-05-00_lab-bench_U2QtZmmLxqTsdu5gko8rCK.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.2727272727272727,0.0787295821622217,209690,209217,473,PKgSFYwSJ7KMSdC6jtJi8S,2024-11-07T20:09:20-05:00,2024-11-07T20:09:20-05:00,2025-01-28T12:06:44,2024-11-07T20-08-46-05-00_lab-bench_dxeHhcnvWpSArjDymyvsQQ.json,False
