inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.41708542713567837,0.035041474244182316,21922,21126,796,QBajpyg8nFDRHro7d9k8UF,2025-02-01T21:02:28-05:00,2025-02-01T21:02:28-05:00,2025-02-09T16:08:06,2025-02-01T20-43-41-05-00_lab-bench_W54GcTEARQfPM5KThQLd6f.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,21922,21126,796,FfBwhDxEbeLH4R8H9uhz3b,2025-02-01T18:04:12-05:00,2025-02-01T18:04:12-05:00,2025-02-09T16:08:06,2025-02-01T17-44-07-05-00_lab-bench_NujPrAzBLd3nDSZXRGD3UP.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.41708542713567837,0.035041474244182316,21922,21126,796,KsMksmSgSP7gVvvKa9Xgcu,2025-02-01T18:50:18-05:00,2025-02-01T18:50:18-05:00,2025-02-09T16:08:06,2025-02-01T18-04-14-05-00_lab-bench_8duMVGBDD6WpCEvrcgewVA.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.40703517587939697,0.03491385802519048,21922,21126,796,gN6bvkhZd68Lnvg3MoztsG,2025-02-01T20:07:11-05:00,2025-02-01T20:07:11-05:00,2025-02-09T16:08:06,2025-02-01T19-26-56-05-00_lab-bench_XqwkkryTNHDbwWZxWvQSYs.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4271356783919598,0.03515411887563423,21922,21126,796,B37ssMRTtSmguzNnmhSSV8,2025-02-01T21:20:47-05:00,2025-02-01T21:20:47-05:00,2025-02-09T16:08:06,2025-02-01T21-02-30-05-00_lab-bench_PpWxjSDQzq4oQRbMyyPvQx.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.35175879396984927,0.03393580874720538,21922,21126,796,fpXt3giznox2qidUpBD3vY,2025-02-01T20:43:39-05:00,2025-02-01T20:43:39-05:00,2025-02-09T16:08:06,2025-02-01T20-26-02-05-00_lab-bench_HURXgrYGA8cDWAR4kUz9RE.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4120603015075377,0.034979547374003786,21922,21126,796,7g7qHkEDeUQTcCFD8cYswg,2025-02-01T19:26:54-05:00,2025-02-01T19:26:54-05:00,2025-02-09T16:08:06,2025-02-01T18-50-19-05-00_lab-bench_bojy4eN6VWvAJi9ibk6Yfv.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4472361809045226,0.03533504708497317,21922,21126,796,oCr2q5N978TDeoxmKYLFGm,2025-02-01T17:24:28-05:00,2025-02-01T17:24:28-05:00,2025-02-09T16:08:06,2025-02-01T17-03-58-05-00_lab-bench_TmiXTsK9xQpbiDwvs59oMz.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.39195979899497485,0.03469399527170516,21922,21126,796,67S4pYNeiKZmhjeVJoQQRb,2025-02-01T20:26:01-05:00,2025-02-01T20:26:01-05:00,2025-02-09T16:08:06,2025-02-01T20-07-12-05-00_lab-bench_VC48BVmAbYvoacUnkeZZ8E.json,False
google/gemini-2.0-flash-exp,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,21922,21126,796,AYKDQvQgtNPEfSxtTZGCfT,2025-02-01T17:44:05-05:00,2025-02-01T17:44:05-05:00,2025-02-09T16:08:06,2025-02-01T17-24-30-05-00_lab-bench_Kn5BEGxhBQpT6Qe9K5fjVa.json,False
