inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.39195979899497485,0.03469399527170516,22330,21534,796,f874kfefRWX54yMnAnzmWg,2024-11-07T21:00:07-05:00,2024-11-07T21:00:07-05:00,2025-01-28T12:06:50,2024-11-07T20-59-57-05-00_lab-bench_PgSxgMgb5gLVYFoxi2sakx.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.37185929648241206,0.03434671408143737,22329,21533,796,R45LBp6esRhB4f6jww6ZTr,2024-11-07T21:00:42-05:00,2024-11-07T21:00:42-05:00,2025-01-28T12:06:50,2024-11-07T21-00-31-05-00_lab-bench_HiU3a8GiAKfBenDZsHHFpA.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.38190954773869346,0.034528179465409925,22330,21534,796,9bGhFySZD3DpsN6tahMHDZ,2024-11-07T21:00:30-05:00,2024-11-07T21:00:30-05:00,2025-01-28T12:06:50,2024-11-07T21-00-20-05-00_lab-bench_mS7ait2SkM6wSaLH7mADCo.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.41708542713567837,0.035041474244182316,22330,21534,796,6i2XUukwsiVViU98rFu8hk,2024-11-07T20:59:23-05:00,2024-11-07T20:59:23-05:00,2025-01-28T12:06:50,2024-11-07T20-59-13-05-00_lab-bench_XRvMFSVTHJe37DrVXWA8Xm.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.35678391959798994,0.034044619734995264,22330,21534,796,L7yNu4aQ4Ry3ZrCEgz8e9o,2024-11-07T21:00:19-05:00,2024-11-07T21:00:19-05:00,2025-01-28T12:06:50,2024-11-07T21-00-08-05-00_lab-bench_WygiGCxNbLHZFSfWFqx2rn.json,False
openai/gpt-4-turbo,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.4271356783919598,0.03515411887563423,22329,21533,796,347NvktkbnTsh2Rs7VdmmE,2024-09-11T21:15:46-04:00,2024-09-11T21:15:46-04:00,2025-01-28T12:06:50,2024-09-11T21-15-32-04-00_benchmarks-run_FwrsrDKdC2n5d9UGayhfFX.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.37185929648241206,0.034346714081437364,22332,21536,796,oNpNnZUayXsMz5cx9vLk5w,2024-11-07T20:59:56-05:00,2024-11-07T20:59:56-05:00,2025-01-28T12:06:50,2024-11-07T20-59-46-05-00_lab-bench_fmDYiYANue9nCrYEmH9tb8.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,22329,21533,796,hWk5CtCW7fYnaqFnDvTRQe,2024-11-07T20:59:45-05:00,2024-11-07T20:59:45-05:00,2025-01-28T12:06:50,2024-11-07T20-59-35-05-00_lab-bench_ALTFe5U8PpQ6oFbEVTMCTq.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,22331,21535,796,ktrfvPeqnmgESo7FqB3iyV,2024-11-07T20:59:12-05:00,2024-11-07T20:59:12-05:00,2025-01-28T12:06:50,2024-11-07T20-59-02-05-00_lab-bench_QTmJ2fhNJqBKubkKLgJTFY.json,False
openai/gpt-4-turbo,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.36180904522613067,0.03414934964098813,22331,21535,796,FAG5VdEkjEmSs5wVGPTiAx,2024-11-07T20:59:34-05:00,2024-11-07T20:59:34-05:00,2025-01-28T12:06:50,2024-11-07T20-59-24-05-00_lab-bench_aDfCkMhJHesoXsFybGTvUL.json,False
