inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.4371859296482412,0.03525193544123143,21580,20947,633,cYQVpH85kDTb4RfVchihFV,2024-10-03T10:52:52-04:00,2024-10-03T10:52:52-04:00,2025-01-28T12:06:47,2024-10-03T10-52-43-04-00_benchmarks-lab-bench_i6SgDkhUFCNbFA8KNXCzyF.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.40703517587939697,0.03491385802519048,21603,20948,655,J2BR9X6gwQmBMi4p9rZyAu,2024-10-03T10:54:35-04:00,2024-10-03T10:54:35-04:00,2025-01-28T12:06:47,2024-10-03T10-54-25-04-00_benchmarks-lab-bench_JvCAn4HkvNSAYqRMaAqoGx.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.38190954773869346,0.034528179465409925,21615,20948,667,iLfJsR542puAEtLwidSMPA,2024-10-03T10:53:16-04:00,2024-10-03T10:53:16-04:00,2025-01-28T12:06:47,2024-10-03T10-53-04-04-00_benchmarks-lab-bench_aDRvES3MC7zDDsNi7f5Vn3.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.41708542713567837,0.035041474244182316,21637,20950,687,XuYmDvTwY7sQTqSgMRBLBz,2024-10-03T10:53:43-04:00,2024-10-03T10:53:43-04:00,2025-01-28T12:06:47,2024-10-03T10-53-30-04-00_benchmarks-lab-bench_8P4RpbuJBhd9rzehyvuRfM.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.40703517587939697,0.03491385802519048,21608,20950,658,TiLjdH3ZR4uaZNNCSQiGqU,2024-10-03T10:53:26-04:00,2024-10-03T10:53:26-04:00,2025-01-28T12:06:47,2024-10-03T10-53-17-04-00_benchmarks-lab-bench_gVySKS5Mp2NzrRDJtqoZtN.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.41708542713567837,0.035041474244182316,21609,20948,661,YdFPtGFkaCJgRC6UyVbUFm,2024-10-03T10:54:14-04:00,2024-10-03T10:54:14-04:00,2025-01-28T12:06:47,2024-10-03T10-54-03-04-00_benchmarks-lab-bench_duPNNBkuR83Z2jRFEETT2J.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.4271356783919598,0.03515411887563423,21593,20949,644,Tnw4hqHwdFb4PuP6prxVuy,2024-10-03T10:53:03-04:00,2024-10-03T10:53:03-04:00,2025-01-28T12:06:47,2024-10-03T10-52-53-04-00_benchmarks-lab-bench_AkFxt9KSjCLWGPpJikP6bt.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.4120603015075377,0.034979547374003786,21611,20950,661,fcXRQj9hf5XBKBhBAqoNwT,2024-10-03T10:53:59-04:00,2024-10-03T10:53:59-04:00,2025-01-28T12:06:47,2024-10-03T10-53-47-04-00_benchmarks-lab-bench_KPjjdHyKahuEgcMX93d2Vs.json,False
openai/gpt-4o,benchmarks/lab_bench,{'subset': 'LitQA2'},zero_shot,199,0.3768844221105528,0.03443941793177597,21621,20948,673,cSXjF5Ty9gFpLaaxttZLF2,2024-10-03T10:54:24-04:00,2024-10-03T10:54:24-04:00,2025-01-28T12:06:47,2024-10-03T10-54-14-04-00_benchmarks-lab-bench_bH8uKQgHfrntAvXijjdgYe.json,False
openai/gpt-4o,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.4271356783919598,0.03515411887563423,21546,20949,597,HXYuRU3JsL4ziUvCXaZYU4,2024-09-11T21:15:55-04:00,2024-09-11T21:15:55-04:00,2025-01-28T12:06:47,2024-09-11T21-15-47-04-00_benchmarks-run_HNgfQgTzwxvP5FsomuwUFS.json,False
