inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3969849246231156,0.03477110537378155,25596,24601,995,fKAVaNCzmYytpjtvcEu4LK,2024-11-07T21:42:21-05:00,2024-11-07T21:42:21-05:00,2025-01-28T12:06:48,2024-11-07T21-37-13-05-00_lab-bench_JELAr6V9iwUqujFgtVCxV4.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4120603015075377,0.034979547374003786,25596,24601,995,GmfrRwZrPmyYQypTDKYR5i,2024-11-07T22:04:11-05:00,2024-11-07T22:04:11-05:00,2025-01-28T12:06:48,2024-11-07T21-59-31-05-00_lab-bench_JMnMZiEYkgp5k9acTdF3TH.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4271356783919598,0.03515411887563423,25596,24601,995,ao2LJ26H7tDgXtoHYmmXn3,2024-11-07T21:29:14-05:00,2024-11-07T21:29:14-05:00,2025-01-28T12:06:48,2024-11-07T21-25-06-05-00_lab-bench_ifASDubkrUAXv2Swq3iekg.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.38190954773869346,0.034528179465409925,25596,24601,995,dhCQQtF2C5wRtGBEhgEmqK,2024-11-07T21:37:12-05:00,2024-11-07T21:37:12-05:00,2025-01-28T12:06:48,2024-11-07T21-33-53-05-00_lab-bench_SCGvJMYn3robHqQ8JaKoUz.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.46733668341708545,0.03545755092964409,25596,24601,995,US9rPdwt7XsdGJw2jAhn7J,2024-11-07T21:51:54-05:00,2024-11-07T21:51:54-05:00,2025-01-28T12:06:48,2024-11-07T21-47-11-05-00_lab-bench_XeZtBSV5evAYTznPYtPxCn.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3768844221105528,0.03443941793177597,25598,24601,997,bRBTMG3JAVxd9JRhhYaQhp,2024-11-07T21:33:51-05:00,2024-11-07T21:33:51-05:00,2025-01-28T12:06:48,2024-11-07T21-29-16-05-00_lab-bench_CRNuRRYN2mSjMVcuv944Vq.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.36180904522613067,0.03414934964098813,25596,24601,995,U4Vaa4DRYXwU8yMPgsRrJT,2024-11-07T21:55:48-05:00,2024-11-07T21:55:48-05:00,2025-01-28T12:06:48,2024-11-07T21-51-56-05-00_lab-bench_abPyKnPoaNDa496GY4uXiu.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.41708542713567837,0.035041474244182316,25596,24601,995,L5Basan7tP2HiKcFDxarPD,2024-11-07T21:47:09-05:00,2024-11-07T21:47:09-05:00,2025-01-28T12:06:48,2024-11-07T21-42-23-05-00_lab-bench_iDUSsRogwKrUzCwZYvuNz8.json,False
mistral/mistral-large-2407,benchmarks/run,"{'cls': 'LABBenchBenchmark', 'subset': 'LitQA2'}",zero_shot,199,0.40703517587939697,0.03491385802519048,25795,24800,995,YYsLGfUpYRK9F39n4rerb8,2024-09-11T22:00:41-04:00,2024-09-11T22:00:41-04:00,2025-01-28T12:06:48,2024-09-11T21-26-01-04-00_benchmarks-run_i43BQ7cMomQxbrjUky8KhL.json,False
mistral/mistral-large-2407,lab_bench,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.4020100502512563,0.03484438491844332,25596,24601,995,3urPfmvuetA4dp5bybborX,2024-11-07T21:59:29-05:00,2024-11-07T21:59:29-05:00,2025-01-28T12:06:48,2024-11-07T21-55-50-05-00_lab-bench_eXExbX879GhJFyjtmsfvPr.json,False
