inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6481481481481481,0.04616631111801715,234972,234097,875,kr8nbGixAYcKek58m7zDbA,2024-11-07T23:32:30-05:00,2024-11-07T23:32:30-05:00,2025-01-28T12:07:04,2024-11-07T23-29-05-05-00_lab-bench_aqkiHfCHUzD2EsuR4RA4XY.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6759259259259259,0.045245960070300524,234972,234097,875,4rTAZDreWpeif9N9Eq2E7X,2024-11-07T23:22:09-05:00,2024-11-07T23:22:09-05:00,2025-01-28T12:07:04,2024-11-07T23-18-53-05-00_lab-bench_3bKkLdeTtGD6pwobPcj4y9.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5925925925925926,0.04750077341199985,234971,234097,874,NaZLq2MstUQYhhsN4KwNpB,2024-11-07T23:25:38-05:00,2024-11-07T23:25:38-05:00,2025-01-28T12:07:04,2024-11-07T23-22-10-05-00_lab-bench_5hQ7ghdso54G5WXmzHbqvv.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6203703703703703,0.04691521224077745,234974,234097,877,YFWBC6WKzAQ7rtkTdEotZz,2024-11-07T23:29:04-05:00,2024-11-07T23:29:04-05:00,2025-01-28T12:07:04,2024-11-07T23-25-39-05-00_lab-bench_krZppc4v8zih5hMEhLgxGy.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6203703703703703,0.04691521224077745,234978,234097,881,mv4MTtAXfxF8u2ES7AcDLa,2024-11-07T23:12:26-05:00,2024-11-07T23:12:26-05:00,2025-01-28T12:07:04,2024-11-07T23-09-24-05-00_lab-bench_PBiiHfygkw6xHrLau3FQka.json,False
anthropic/claude-3-opus-20240229,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5925925925925926,0.04750077341199985,234749,234097,652,KdtWMpyctgQ3PJix7boWVJ,2024-09-20T13:21:53-04:00,2024-09-20T13:21:53-04:00,2025-01-28T12:07:04,2024-09-20T13-19-36-04-00_benchmarks-lab-bench_H7mhESEschzPDeZHLswPn8.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6203703703703703,0.04691521224077745,234993,234097,896,VdnzAtUawYXnK93ggVshBZ,2024-11-07T23:09:23-05:00,2024-11-07T23:09:23-05:00,2025-01-28T12:07:04,2024-11-07T23-06-01-05-00_lab-bench_mWYnnPscyEUhZAZDMsBtqR.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5740740740740741,0.04780343626936791,234968,234097,871,mJUvsTBoRkdGKZtrvRKcGZ,2024-11-07T23:15:29-05:00,2024-11-07T23:15:29-05:00,2025-01-28T12:07:04,2024-11-07T23-12-28-05-00_lab-bench_Mu3hJaEXBWKTTTg8UjpgJQ.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.5925925925925926,0.04750077341199985,234975,234097,878,mWX2dPNCUb8a7KVd7fFANG,2024-11-07T23:36:00-05:00,2024-11-07T23:36:00-05:00,2025-01-28T12:07:04,2024-11-07T23-32-33-05-00_lab-bench_htxs63AqkPCQh7EVkPH7vk.json,False
anthropic/claude-3-opus-20240229,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.6388888888888888,0.0464345460890627,234973,234097,876,EMNPZABEEHBKiPuXAoevuz,2024-11-07T23:18:51-05:00,2024-11-07T23:18:51-05:00,2025-01-28T12:07:04,2024-11-07T23-15-30-05-00_lab-bench_amkRzGEJE2sqjyTAKiP6XZ.json,False
