inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5555555555555556,0.04803752235190188,202202,201662,540,BoqKmH7ee7MDttscy5KtFe,2024-09-20T13:33:38-04:00,2024-09-20T13:33:38-04:00,2025-01-28T12:07:04,2024-09-20T13-33-23-04-00_benchmarks-lab-bench_c3FB7TqkC3ySSAJMAGS2zv.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5740740740740741,0.04780343626936791,202189,201649,540,g57pFjPTb7AyueDX47AuN3,2024-09-26T22:10:40-04:00,2024-09-26T22:10:40-04:00,2025-01-28T12:07:04,2024-09-26T22-10-27-04-00_benchmarks-lab-bench_WCrN8nRLnABhyrd5EtNQ4R.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5833333333333334,0.04766075165356461,202186,201646,540,HWf6mdzTR5SB7XE5EEqy23,2024-09-26T22:11:55-04:00,2024-09-26T22:11:55-04:00,2025-01-28T12:07:04,2024-09-26T22-11-40-04-00_benchmarks-lab-bench_Tw3BNHKv5g4GousLDMzDoq.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5833333333333334,0.04766075165356461,202180,201640,540,6FbYmtfEJrUVDDdntGUqYp,2024-09-26T22:11:09-04:00,2024-09-26T22:11:09-04:00,2025-01-28T12:07:04,2024-09-26T22-10-54-04-00_benchmarks-lab-bench_jE7fMQJouSjm6387bgfMuz.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.6203703703703703,0.04691521224077745,202186,201646,540,QDCSynGezEv9HF5n7KkZKe,2024-09-26T22:09:53-04:00,2024-09-26T22:09:53-04:00,2025-01-28T12:07:04,2024-09-26T22-09-39-04-00_benchmarks-lab-bench_TTHjbbPFnekNGPDuukKP4t.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5740740740740741,0.04780343626936791,202189,201649,540,DzPxVEQhG9gn4PYdUxj5WY,2024-09-26T22:11:39-04:00,2024-09-26T22:11:39-04:00,2025-01-28T12:07:04,2024-09-26T22-11-26-04-00_benchmarks-lab-bench_hjBX6nwA9YKdCLgBqqvBdU.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5740740740740741,0.04780343626936791,202184,201644,540,Z4D7mGo3VEVTQpwKaW49KL,2024-09-26T22:11:25-04:00,2024-09-26T22:11:25-04:00,2025-01-28T12:07:04,2024-09-26T22-11-10-04-00_benchmarks-lab-bench_HmbFSLc7Tym5ETE9ggAPib.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5833333333333334,0.04766075165356461,202185,201645,540,7ptodRpEHz4TryK5xHHLjq,2024-09-26T22:10:09-04:00,2024-09-26T22:10:09-04:00,2025-01-28T12:07:04,2024-09-26T22-09-54-04-00_benchmarks-lab-bench_J43tURpUzkWrVRQhSo7arQ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5648148148148148,0.04792898170907059,202186,201646,540,RwmtPvkssZXZwpDpeqNSY3,2024-09-26T22:10:53-04:00,2024-09-26T22:10:53-04:00,2025-01-28T12:07:04,2024-09-26T22-10-40-04-00_benchmarks-lab-bench_Z3hPAMVNPYLykcefXVVPUj.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.5277777777777778,0.04826217294139892,202185,201645,540,EEfKXsY5zqdMMGoVP9H7iH,2024-09-26T22:10:26-04:00,2024-09-26T22:10:26-04:00,2025-01-28T12:07:04,2024-09-26T22-10-10-04-00_benchmarks-lab-bench_Zgjm5QA7zizvFjvixLf7pW.json,False
