inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.24074074074074073,0.041331194402438355,254786,243844,10942,GBC9zv3zJV3gsC9tcq5Nrv,2025-01-27T12:11:06-05:00,2025-01-27T12:11:06-05:00,2025-01-28T12:07:02,2025-01-27T12-09-32-05-00_lab-bench_7BPKcFxkLxrokn5RJ7ENoA.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.21296296296296297,0.039578354719809784,254400,243847,10553,7FgiRx2RizkA8AVQhAjtYH,2025-01-27T12:36:55-05:00,2025-01-27T12:36:55-05:00,2025-01-28T12:07:02,2025-01-27T12-35-20-05-00_lab-bench_hgDzeo4FTvmzpfGhCbNBaF.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.25,0.04186091791394607,254923,243848,11075,UQeNfYo7iVbGD7SygvEDA8,2025-01-27T12:05:03-05:00,2025-01-27T12:05:03-05:00,2025-01-28T12:07:02,2025-01-27T12-03-24-05-00_lab-bench_RcXAKrxssHaihHWU2PrCjg.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.2222222222222222,0.040191074725573483,253565,243849,9716,YFrDFdkS4f3tGrMgK5wzbz,2025-01-27T12:13:50-05:00,2025-01-27T12:13:50-05:00,2025-01-28T12:07:02,2025-01-27T12-11-07-05-00_lab-bench_d32mWnKkCpB7pU7cz4eHdo.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.2777777777777778,0.043300437496507437,254932,243850,11082,QQFfv9NPP74odGGK58YiSH,2025-01-27T12:35:19-05:00,2025-01-27T12:35:19-05:00,2025-01-28T12:07:02,2025-01-27T12-28-06-05-00_lab-bench_Ao9qg8DPjapMHUEpLNLmbY.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.2037037037037037,0.03893542518824849,254102,243846,10256,hWR2GDSAxo5NwD3P4d9fnH,2025-01-27T12:57:56-05:00,2025-01-27T12:57:56-05:00,2025-01-28T12:07:02,2025-01-27T12-56-18-05-00_lab-bench_H73qDBRnwmhKgvQWfuhMXs.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.24074074074074073,0.041331194402438355,254091,243845,10246,KjWnpdqDWE57sJY2WWEYdV,2025-01-27T12:09:31-05:00,2025-01-27T12:09:31-05:00,2025-01-28T12:07:02,2025-01-27T12-07-51-05-00_lab-bench_NvZmfLyqCCnq45PPtWjzwc.json,False
mistral/open-mixtral-8x7b,benchmarks/lab_bench,"{'split': 'train', 'subset': 'ProtocolQA'}",zero_shot,108,0.25,0.04186091791394607,254544,243858,10686,GcjsENcpZkhgyv8noZuwQu,2024-09-20T13:28:22-04:00,2024-09-20T13:28:22-04:00,2025-01-28T12:07:02,2024-09-20T13-26-46-04-00_benchmarks-lab-bench_F2mL9bzkDwEqa3RZqkSxTP.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.23148148148148148,0.040774947092526284,254991,243845,11146,gjPZfLtqHpX8YRLpYny7CU,2025-01-27T12:15:25-05:00,2025-01-27T12:15:25-05:00,2025-01-28T12:07:02,2025-01-27T12-13-51-05-00_lab-bench_ca78ndQRNirvTAN7DZ4Bes.json,False
mistral/open-mixtral-8x7b,lab_bench,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.24074074074074073,0.041331194402438355,255272,243850,11422,hfXZMSYoaGUwMSHKrjHCv6,2025-01-27T12:07:50-05:00,2025-01-27T12:07:50-05:00,2025-01-28T12:07:02,2025-01-27T12-05-04-05-00_lab-bench_3hybGytxxK28aMWdyPmogw.json,False
