inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8669230769230769,0.009424039152624198,226099,208228,17871,niGKBGAmgXpnsRVamG6qGK,2024-11-08T11:25:05-05:00,2024-11-08T11:25:05-05:00,2025-01-28T12:07:15,2024-11-08T11-18-24-05-00_mmlu_W9553TydUxhz8EoUMzz93a.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8730769230769231,0.00923617121498064,226854,208228,18626,GVDCNnXL5vXmKCEm9ztDHL,2024-11-08T11:18:12-05:00,2024-11-08T11:18:12-05:00,2025-01-28T12:07:15,2024-11-08T11-11-26-05-00_mmlu_JRv3W9865Trq348KNBz9U9.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8684615384615385,0.009377716477861243,226541,208228,18313,a6akgEmwde57r6DfzGUB9D,2024-11-08T11:11:14-05:00,2024-11-08T11:11:14-05:00,2025-01-28T12:07:15,2024-11-08T11-04-28-05-00_mmlu_2JE6oEMZfE5g3AAAoUfE7y.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8715384615384615,0.009283789028207819,226876,208228,18648,PDmSCxc92NpddwSgqYie2N,2024-11-08T10:56:55-05:00,2024-11-08T10:56:55-05:00,2025-01-28T12:07:15,2024-11-08T10-44-29-05-00_mmlu_LNxANKzYkNky3uKwtT8Yng.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8630769230769231,0.00953802599593588,226921,208228,18693,FcD8B8gKJMDf5CUYwQz6DP,2024-11-08T10:30:51-05:00,2024-11-08T10:30:51-05:00,2025-01-28T12:07:15,2024-11-08T10-24-05-05-00_mmlu_Kxvki9vJLaDahCiQCc9TBx.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8692307692307693,0.009354396077996142,226714,208228,18486,F5LdcYCd3osNgUvmy5YPLV,2024-11-08T10:44:21-05:00,2024-11-08T10:44:21-05:00,2025-01-28T12:07:15,2024-11-08T10-37-51-05-00_mmlu_4LTh5AcPHhgMFwGy8tZRnf.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8692307692307693,0.009354396077996142,226256,208228,18028,FZrAeYw9tD8jHwWvcZnEjV,2024-11-08T11:36:08-05:00,2024-11-08T11:36:08-05:00,2025-01-28T12:07:16,2024-11-08T11-25-24-05-00_mmlu_5jegowjh4ouMfToA2d7twm.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8669230769230769,0.009424039152624198,226559,208228,18331,VqKg8tshAnbXvMUDcUwJHc,2024-11-08T11:53:02-05:00,2024-11-08T11:53:02-05:00,2025-01-28T12:07:16,2024-11-08T11-46-25-05-00_mmlu_9F7bpL97wtXYYt7pKZQaxz.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.87,0.009330968577583088,226793,208228,18565,hBXNb9WDqMBmXLsnHh4vpN,2024-11-08T11:04:19-05:00,2024-11-08T11:04:19-05:00,2025-01-28T12:07:16,2024-11-08T10-57-22-05-00_mmlu_CMzTgsvvxXeyjtpVWRjGy3.json,False
anthropic/claude-3-5-sonnet-20241022,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8707692307692307,0.009307433167882025,226526,208228,18298,C88VRXnUs7N2N8VgTsY7HL,2024-11-08T10:37:38-05:00,2024-11-08T10:37:38-05:00,2025-01-28T12:07:16,2024-11-08T10-31-03-05-00_mmlu_nwssZr4jbn3Ng2wCNSudRG.json,False
