inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8430769230769231,0.010091888252856243,183672,179766,3906,fi4nAb8egR5eqs7oWHrSuW,2024-10-07T14:21:33-04:00,2024-10-07T14:21:33-04:00,2025-01-28T12:07:13,2024-10-07T14-19-11-04-00_benchmarks-mmlu_PDNgJW5irqPcFUGwWMh4Tb.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8453846153846154,0.010031108942540027,183674,179766,3908,LbcDBRZVBTQ5kQ7poySb8K,2024-10-07T21:57:24-04:00,2024-10-07T21:57:24-04:00,2025-01-28T12:07:13,2024-10-07T21-55-49-04-00_benchmarks-mmlu_EnrhuDNivcX8T3cAsFtXgj.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8453846153846154,0.010031108942540027,183670,179766,3904,J7zC97oysJMViJqmDL2FEW,2024-10-07T14:40:46-04:00,2024-10-07T14:40:46-04:00,2025-01-28T12:07:13,2024-10-07T14-38-45-04-00_benchmarks-mmlu_2gcSvxG97XiCTP9Znb9pfV.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8461538461538461,0.010010676163674665,183675,179766,3909,PLGP3wALUbikE7F7XiTEBk,2024-10-07T14:38:37-04:00,2024-10-07T14:38:37-04:00,2025-01-28T12:07:14,2024-10-07T14-36-45-04-00_benchmarks-mmlu_4SpcYBXroh82vVKgVYvHBo.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8492307692307692,0.009928065746696853,183674,179766,3908,FLPSEFRuWqRw8xDwWGbzcs,2024-10-07T14:26:49-04:00,2024-10-07T14:26:49-04:00,2025-01-28T12:07:14,2024-10-07T14-23-20-04-00_benchmarks-mmlu_UfvAwZ6PnQvjzGhuPKLcNs.json,False
google/gemini-1.5-pro,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.8423076923076923,0.010111976747353426,183679,179766,3913,ny7eMRBHaCuYxZQPiTLwXs,2024-09-10T14:07:51-04:00,2024-09-10T14:07:51-04:00,2025-01-28T12:07:14,2024-09-10T14-04-19-04-00_benchmarks-run_XNVNTfvcDJtJbZoVH9BmNd.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8484615384615385,0.009948851339031128,183672,179766,3906,4GUv8fExnbfYyyowK56yRj,2024-10-07T14:36:36-04:00,2024-10-07T14:36:36-04:00,2025-01-28T12:07:14,2024-10-07T14-34-53-04-00_benchmarks-mmlu_CazMk9MKSxrb27FC37gB2W.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8461538461538461,0.010010676163674665,183672,179766,3906,iLFcwKCn3TuXiqt7QdG9eh,2024-10-07T14:32:34-04:00,2024-10-07T14:32:34-04:00,2025-01-28T12:07:14,2024-10-07T14-30-07-04-00_benchmarks-mmlu_Uo8JGqcsrBijwa5T3xzMn9.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8446153846153847,0.010051454867191261,183670,179766,3904,45XvzchhAjPR3cNEXF4bqT,2024-10-07T14:29:58-04:00,2024-10-07T14:29:58-04:00,2025-01-28T12:07:14,2024-10-07T14-27-01-04-00_benchmarks-mmlu_YyLMr6iSu5x6EZdrJGdREF.json,False
google/gemini-1.5-pro,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8453846153846154,0.010031108942540027,183676,179766,3910,RDytKEXWQy6JLvYMPGfCWf,2024-10-07T14:34:43-04:00,2024-10-07T14:34:43-04:00,2025-01-28T12:07:14,2024-10-07T14-32-43-04-00_benchmarks-mmlu_TiuRteYm7RW6Rvzu7tadTW.json,False
