inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6984615384615385,0.012733213760874457,192732,185691,7041,NhXKiq2VANYnAh9X29pp8P,2025-01-21T16:06:31-05:00,2025-01-21T16:06:31-05:00,2025-01-28T12:07:19,2025-01-21T16-05-11-05-00_mmlu_ki8kBgGfdUAmFc85LDjpZi.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7123076923076923,0.012560107792737701,192679,185691,6988,QCwAcwTc9b5BjQANVqwN8m,2025-01-21T15:52:54-05:00,2025-01-21T15:52:54-05:00,2025-01-28T12:07:19,2025-01-21T15-51-38-05-00_mmlu_mejTADAhTR4yc68D77JRBj.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7038461538461539,0.012667560406523037,192621,185691,6930,KbdDWq9BWmMZBnaEbYL3t8,2025-01-21T15:57:06-05:00,2025-01-21T15:57:06-05:00,2025-01-28T12:07:19,2025-01-21T15-55-51-05-00_mmlu_mvsRii2XWeAfjVfLJdLMuC.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7069230769230769,0.012629097487092287,192681,185691,6990,DMDGFwBNrP7qySQNPpUMct,2025-01-21T16:05:02-05:00,2025-01-21T16:05:02-05:00,2025-01-28T12:07:19,2025-01-21T16-03-47-05-00_mmlu_GacxkUtCKCXayaBwFHENFe.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7146153846153847,0.012529879198850683,192627,185691,6936,fpZ5zFGeXHdd2i9PEssMwy,2025-01-21T15:55:41-05:00,2025-01-21T15:55:41-05:00,2025-01-28T12:07:19,2025-01-21T15-54-27-05-00_mmlu_5oCYY5QkTpcUoJq4G3JA2n.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7169230769230769,0.012499249513982756,192637,185691,6946,WVUFCU3QJmfRYcjkLcdnej,2025-01-21T15:54:16-05:00,2025-01-21T15:54:16-05:00,2025-01-28T12:07:19,2025-01-21T15-53-03-05-00_mmlu_iFXbbDyfnKkrLNMYBcZ6LZ.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7046153846153846,0.012658009613438504,192692,185691,7001,b5V498TDPugFJ74VHGrxYf,2025-01-21T15:58:31-05:00,2025-01-21T15:58:31-05:00,2025-01-28T12:07:19,2025-01-21T15-57-15-05-00_mmlu_TvcsNvP2C2RPAcjg9rNwqs.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.7115384615384616,0.012570095360611162,192640,185691,6949,U3Ub7uAjrX39Lng2GG56e8,2025-01-21T16:03:37-05:00,2025-01-21T16:03:37-05:00,2025-01-28T12:07:19,2025-01-21T16-01-07-05-00_mmlu_MouJxsZ6biDSpcuyXkecUb.json,False
openai/gpt-3.5-turbo,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.7107692307692308,0.012580038789743862,191452,185690,5762,4P2nznANFKSycgyRgjbzE7,2024-09-11T09:32:58-04:00,2024-09-11T09:32:58-04:00,2025-01-28T12:07:20,2024-09-11T09-30-52-04-00_benchmarks-run_Cb7YUrUbDfsBThQwFkxLvS.json,False
openai/gpt-3.5-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.6938461538461539,0.01278783067103325,192629,185691,6938,AyFQLM66KDchJeb6gLSYyC,2025-01-21T16:00:58-05:00,2025-01-21T16:00:58-05:00,2025-01-28T12:07:20,2025-01-21T15-58-41-05-00_mmlu_LNiSFySeh3kRG7StExdW6o.json,False
