inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.86,0.009627392277409573,192192,185691,6501,kJTFwVRQgd86wuYRdGQbcY,2025-01-21T16:07:56-05:00,2025-01-21T16:07:56-05:00,2025-01-28T12:07:18,2025-01-21T16-06-05-05-00_mmlu_TFDBXbdMWNBUKbZrXFrCFf.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8646153846153846,0.009492739468602547,192191,185691,6500,YC5RJddXkG9XeAA5cvVtRZ,2025-01-21T16:01:58-05:00,2025-01-21T16:01:58-05:00,2025-01-28T12:07:18,2025-01-21T16-00-14-05-00_mmlu_AX4kVM4QJaGP8jnJcfEuhd.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8561538461538462,0.009736894346972898,192191,185691,6500,WsC7FnJyErvdxawY4CLPdm,2025-01-21T16:09:53-05:00,2025-01-21T16:09:53-05:00,2025-01-28T12:07:18,2025-01-21T16-08-05-05-00_mmlu_fMUd6kYq36hQ52NgKxRGD2.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8607692307692307,0.00960519979343117,192191,185691,6500,FianW8qMyJLkyXiutE7ysh,2025-01-21T16:05:57-05:00,2025-01-21T16:05:57-05:00,2025-01-28T12:07:18,2025-01-21T16-04-01-05-00_mmlu_5YZVKKtXddhnC85G89vKA8.json,False
openai/gpt-4-turbo,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.8630769230769231,0.00953802599593588,191179,185690,5489,8Mmk5Wnmif5kPXYU5BwAY3,2024-09-11T09:28:12-04:00,2024-09-11T09:28:12-04:00,2025-01-28T12:07:18,2024-09-11T09-26-05-04-00_benchmarks-run_Et4yvoG2QLWcRHtUU97qme.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8607692307692307,0.00960519979343117,192191,185691,6500,gTzZkRCFehuSWggyeWG9eE,2025-01-21T16:03:52-05:00,2025-01-21T16:03:52-05:00,2025-01-28T12:07:18,2025-01-21T16-02-06-05-00_mmlu_GLEjnwXTYbnnavz2KGapkE.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8592307692307692,0.009649486515947615,192192,185691,6501,QYBsGcLXi3tJdwdfp67B5U,2025-01-21T15:58:14-05:00,2025-01-21T15:58:14-05:00,2025-01-28T12:07:18,2025-01-21T15-56-28-05-00_mmlu_AtUfnTBp3gjmzSRit6BamA.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8615384615384616,0.009582908381450223,192191,185691,6500,YGy5cSvMmhGeE7DFkKD7bt,2025-01-21T15:56:19-05:00,2025-01-21T15:56:19-05:00,2025-01-28T12:07:19,2025-01-21T15-54-34-05-00_mmlu_Ldh8Sed48mLqfJsWqQH7ew.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8623076923076923,0.009560517349481762,192191,185691,6500,LMExBYyZ2uSR7YQxGhDBY5,2025-01-21T15:54:25-05:00,2025-01-21T15:54:25-05:00,2025-01-28T12:07:19,2025-01-21T15-52-34-05-00_mmlu_n7o9igoY7evrwZjD5dqeie.json,False
openai/gpt-4-turbo,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8615384615384616,0.009582908381450223,192191,185691,6500,3SDdndWgmLBciUavL933uS,2025-01-21T16:00:05-05:00,2025-01-21T16:00:05-05:00,2025-01-28T12:07:19,2025-01-21T15-58-22-05-00_mmlu_oFiwgKyKb67KdtzZJxREoG.json,False
