inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8461538461538461,0.010010676163674665,193364,185691,7673,RLwr3Tmi84GMC2S5RmdzY6,2024-11-08T10:12:22-05:00,2024-11-08T10:12:22-05:00,2025-01-28T12:07:17,2024-11-08T10-10-23-05-00_mmlu_Mfwa3GduGgzdHgRkuVeYsf.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8438461538461538,0.01007171446399238,194996,185691,9305,Cbew2aWpzomXmBakcdCyWQ,2025-01-21T16:16:01-05:00,2025-01-21T16:16:01-05:00,2025-01-28T12:07:17,2025-01-21T16-14-00-05-00_mmlu_NUq6sDhE538Quew7DgXy3h.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8461538461538461,0.010010676163674665,193455,185691,7764,6L9iGZg4TvLJQ9bgQYVEM8,2024-11-08T10:08:04-05:00,2024-11-08T10:08:04-05:00,2025-01-28T12:07:17,2024-11-08T10-06-06-05-00_mmlu_Axesu7WH4qQNAJCJr46vk3.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8446153846153847,0.010051454867191261,194869,185691,9178,3LBm8PWweVfGgfyXN8rZDz,2025-01-21T16:11:31-05:00,2025-01-21T16:11:31-05:00,2025-01-28T12:07:17,2025-01-21T16-09-21-05-00_mmlu_4BhHsRN7HhuuXqTPBAy9gB.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8469230769230769,0.009990155997668696,194966,185691,9275,eguL5Wdi4mWTwg4hm4nJPB,2025-01-21T16:18:19-05:00,2025-01-21T16:18:19-05:00,2025-01-28T12:07:17,2025-01-21T16-16-11-05-00_mmlu_j9EYd5VCSfja67i22Qyp8d.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8415384615384616,0.010131980454818739,194799,185691,9108,awPTB9KFhrgsbgbSTxi9cy,2025-01-21T16:13:50-05:00,2025-01-21T16:13:50-05:00,2025-01-28T12:07:18,2025-01-21T16-11-40-05-00_mmlu_QEjUL8ZhatHbiLYNdBwwGk.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8453846153846154,0.010031108942540027,193466,185691,7775,JSjG8xX8UdyvbjtygX8mdq,2024-11-08T10:05:57-05:00,2024-11-08T10:05:57-05:00,2025-01-28T12:07:18,2024-11-08T10-03-55-05-00_mmlu_cUpYXErcg5fssAT5XDteqX.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.85,0.00990719056757582,193335,185691,7644,ZYa7nDUSubGVy67ij94m3f,2024-11-08T10:14:36-05:00,2024-11-08T10:14:36-05:00,2025-01-28T12:07:18,2024-11-08T10-12-30-05-00_mmlu_mXrxUC9PQn54thm6cyTBVw.json,False
openai/gpt-4,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.8430769230769231,0.010091888252856243,193601,185690,7911,3KSCqjeUduTXQtbTCghnna,2024-09-11T09:25:53-04:00,2024-09-11T09:25:53-04:00,2025-01-28T12:07:18,2024-09-11T09-21-04-04-00_benchmarks-run_62xXKqKcx8wK6Xy7XzTGhc.json,False
openai/gpt-4,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8392307692307692,0.010191487837007468,193285,185691,7594,ZQfa3qDeHajq4W3TNM67dP,2024-11-08T10:10:15-05:00,2024-11-08T10:10:15-05:00,2025-01-28T12:07:18,2024-11-08T10-08-13-05-00_mmlu_i7YnKAcu3eSkmF63vXM75E.json,False
