inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8807692307692307,0.008991262241159793,234617,223328,11289,UhxZ3mxnfqMDAAXvmM5yC7,2024-10-07T16:59:06-04:00,2024-10-07T16:59:06-04:00,2025-01-28T12:07:11,2024-10-07T16-56-37-04-00_benchmarks-mmlu_27t9sZpbuMGC3i8dYg5Euu.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8792307692307693,0.009041177874506154,235416,223328,12088,7vJ3vN38kWh7kThkNySpyp,2024-10-07T17:01:50-04:00,2024-10-07T17:01:50-04:00,2025-01-28T12:07:11,2024-10-07T16-59-13-04-00_benchmarks-mmlu_oPq3HwMQGjJM9uHeMUMjYk.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8792307692307693,0.009041177874506154,235051,223328,11723,53UYKfNTmL3U3rJKt2BMwr,2024-10-07T17:04:39-04:00,2024-10-07T17:04:39-04:00,2025-01-28T12:07:12,2024-10-07T17-01-58-04-00_benchmarks-mmlu_a2w6WVh3Eitmytkgpi9SSK.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8784615384615385,0.009065957265696634,234541,223328,11213,jD7iFAxWUTQWhadk9stX5v,2024-10-07T16:53:50-04:00,2024-10-07T16:53:50-04:00,2025-01-28T12:07:12,2024-10-07T16-51-22-04-00_benchmarks-mmlu_Fq2ANaHkKxitqvsZdKUyTB.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8792307692307693,0.009041177874506154,232494,223328,9166,RAwBjSmi9ZbNN7ivprsBek,2024-10-07T16:51:13-04:00,2024-10-07T16:51:13-04:00,2025-01-28T12:07:12,2024-10-07T16-48-46-04-00_benchmarks-mmlu_k7r6U3jhwcU47TUtPcosat.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8776923076923077,0.009090619005070537,237983,223328,14655,ZZLMf6dP2CARNaaY7C2oGS,2024-10-07T16:48:38-04:00,2024-10-07T16:48:38-04:00,2025-01-28T12:07:12,2024-10-07T16-45-40-04-00_benchmarks-mmlu_L78drrPQuPiFFXdhT8mxwj.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8776923076923077,0.009090619005070535,234927,223328,11599,8sr4vK6iG3M55Qb85Escab,2024-10-07T16:56:28-04:00,2024-10-07T16:56:28-04:00,2025-01-28T12:07:12,2024-10-07T16-53-57-04-00_benchmarks-mmlu_TUZCUDSZmLZdCqRYQkQY49.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8784615384615385,0.009065957265696634,236888,223328,13560,RW9x9RM3VY3yGcfZNTw37d,2024-10-07T16:45:32-04:00,2024-10-07T16:45:32-04:00,2025-01-28T12:07:12,2024-10-07T16-43-01-04-00_benchmarks-mmlu_LoQhLrr9HgDPp8RBRuFVrG.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8784615384615385,0.009065957265696634,236386,223328,13058,BfRVHBEwfQcRuEtPFMrxoQ,2024-10-07T17:07:44-04:00,2024-10-07T17:07:44-04:00,2025-01-28T12:07:12,2024-10-07T17-04-48-04-00_benchmarks-mmlu_65puU7DEbfyseQci7XecN9.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.8784615384615385,0.009065957265696634,233239,223327,9912,9eHhg7aByjG3c27zt64Wcb,2024-09-11T14:47:37-04:00,2024-09-11T14:47:37-04:00,2025-01-28T12:07:12,2024-09-11T00-24-21-04-00_benchmarks-run_jzeZPDCDC5gFMrUVtBGsXR.json,False
