inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8484615384615385,0.009948851339031128,217362,210855,6507,gpz7Rsy54Ns2rVFfWYuGQ8,2025-01-22T11:57:30-05:00,2025-01-22T11:57:30-05:00,2025-01-28T12:07:14,2025-01-22T11-22-55-05-00_mmlu_7EzocLbRb8xohQWoX9ZHk3.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8438461538461538,0.01007171446399238,217359,210855,6504,BUUhrG2CjJqBHkBhHrDT2b,2025-01-21T17:35:38-05:00,2025-01-21T17:35:38-05:00,2025-01-28T12:07:14,2025-01-21T17-13-02-05-00_mmlu_emoL2rzuiWCPpt8z8LYDFh.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8484615384615385,0.009948851339031128,217355,210855,6500,LHLes7a2xtyJ7oZQxmu9Nw,2025-01-22T10:32:57-05:00,2025-01-22T10:32:57-05:00,2025-01-28T12:07:14,2025-01-22T10-10-49-05-00_mmlu_Q8uKW2KoMkMMgLG9D8R8xo.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8415384615384616,0.01013198045481874,217355,210855,6500,egQkMjRBn36KzQt5Mmzh4h,2025-01-22T13:04:26-05:00,2025-01-22T13:04:26-05:00,2025-01-28T12:07:14,2025-01-22T12-24-55-05-00_mmlu_MjBwHWmnLPcEFtA4qaCHUZ.json,False
mistral/mistral-large-2407,benchmarks/run,"{'cls': 'MMLUBenchmark', 'subset': 'all', 'split': 'test'}",zero_shot,1300,0.8369230769230769,0.010250249822776015,218655,212155,6500,5zzFSR2PFfn49WvATjvZ5L,2024-09-10T21:38:38-04:00,2024-09-10T21:38:38-04:00,2025-01-28T12:07:15,2024-09-10T19-08-21-04-00_benchmarks-run_erHBY8LLS6AP7X35YAgMTd.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8492307692307692,0.009928065746696855,217356,210855,6501,BqgunSut3Sn2jiRxWcphcS,2025-01-22T10:10:40-05:00,2025-01-22T10:10:40-05:00,2025-01-28T12:07:15,2025-01-22T09-52-19-05-00_mmlu_PDgWog4BQ9f5N8Ph8Zignm.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8353846153846154,0.010289016684258795,217434,210855,6579,MhEPSPFdQEbihNQ9yYMZxr,2024-11-08T14:21:54-05:00,2024-11-08T14:21:54-05:00,2025-01-28T12:07:15,2024-11-08T13-47-09-05-00_mmlu_MmZjP9KC3RtYvFDwLXEeec.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8515384615384616,0.009865169171692967,217355,210855,6500,NoQHWLaciHUszoKUfsUnZZ,2025-01-22T12:24:45-05:00,2025-01-22T12:24:45-05:00,2025-01-28T12:07:15,2025-01-22T11-57-40-05-00_mmlu_nyPiF6thWpg6MssaHkb2E2.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8453846153846154,0.010031108942540027,217359,210855,6504,UQDmWpGhjbtdTJLzprQ2o3,2025-01-21T17:12:53-05:00,2025-01-21T17:12:53-05:00,2025-01-28T12:07:15,2025-01-21T16-48-38-05-00_mmlu_4X4HELcX7dCqf7P9Z4NW6H.json,False
mistral/mistral-large-2407,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.8507692307692307,0.009886225234169273,217355,210855,6500,dPeh9zbhDond9NVBvSkyDj,2025-01-21T16:48:28-05:00,2025-01-21T16:48:28-05:00,2025-01-28T12:07:15,2025-01-21T16-24-12-05-00_mmlu_ZtdyqHCfDJ7eL2Vn4aChJD.json,False
