inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.762,0.019064072958198387,211419,191875,19544,Q8aXYJL5hi2Q3Cfgw5ysMW,2024-10-31T13:56:36-04:00,2024-10-31T13:56:36-04:00,2025-01-28T12:07:24,2024-10-31T13-49-43-04-00_pubmedqa_XZf5jaYW8YsRxhDSToeYXL.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.772,0.018781306529363172,211429,191875,19554,L5jYgTNyaW7HYuf8vmRcbh,2024-10-31T13:35:54-04:00,2024-10-31T13:35:54-04:00,2025-01-28T12:07:24,2024-10-31T12-50-10-04-00_pubmedqa_fYP4ZLaou9xZNzkmWWBSVd.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.766,0.018952741564893755,212290,191875,20415,42K3jyiQLspshd2awwiC94,2024-10-31T14:10:13-04:00,2024-10-31T14:10:13-04:00,2025-01-28T12:07:24,2024-10-31T14-03-10-04-00_pubmedqa_Qt49wNqAKGCpYVwXXpeqv7.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.77,0.018839050391123182,211894,191875,20019,LFZJbREjPHtpBMBKdCoaLN,2024-10-31T14:17:06-04:00,2024-10-31T14:17:06-04:00,2025-01-28T12:07:24,2024-10-31T14-10-15-04-00_pubmedqa_gwZMvp3788KBXEScxrxH3W.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.76,0.0191188666537598,212596,191875,20721,5qFsgNNsuL9ytquhDZri49,2024-10-31T14:25:22-04:00,2024-10-31T14:25:22-04:00,2025-01-28T12:07:24,2024-10-31T14-17-07-04-00_pubmedqa_VBX2pm4zPvYfUyQXZyYZBG.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.758,0.019173085678337164,212099,191875,20224,Z8ogsBpuFPw6U3F5BHvAZF,2024-10-31T13:49:42-04:00,2024-10-31T13:49:42-04:00,2025-01-28T12:07:24,2024-10-31T13-42-39-04-00_pubmedqa_fVyiJcRJut2ovpWUrmybSh.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.762,0.019064072958198387,211070,191875,19195,N3NMVhUyj4ncYFVieEPBkV,2024-10-31T13:42:38-04:00,2024-10-31T13:42:38-04:00,2025-01-28T12:07:24,2024-10-31T13-35-56-04-00_pubmedqa_iB2ZjcnB3vUTDs8NPr7VPR.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.762,0.019064072958198387,211273,191875,19398,Xo2532GqcnZh6ZfrqitiiX,2024-10-31T14:32:37-04:00,2024-10-31T14:32:37-04:00,2025-01-28T12:07:24,2024-10-31T14-25-24-04-00_pubmedqa_H4U7iUHjZoDA9JnScmfLSt.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.76,0.0191188666537598,209810,191875,17935,CMdWFZTgaHbuR4LxVzmFyi,2024-10-31T14:03:09-04:00,2024-10-31T14:03:09-04:00,2025-01-28T12:07:24,2024-10-31T13-56-37-04-00_pubmedqa_N6ZajBtazqrC3bidYh4Qun.json,False
anthropic/claude-2.0,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.76,0.0191188666537598,211918,191875,20043,7U8ffmRrPpVhMYERno4DYo,2024-10-31T15:18:11-04:00,2024-10-31T15:18:11-04:00,2025-01-28T12:07:24,2024-10-31T14-32-39-04-00_pubmedqa_JznbPjPE5kF8NrnznjngaS.json,False
