inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.772,0.018781306529363172,216836,213336,3500,QRkJ7FvtCi2f3BZVXbaR7v,2025-01-21T16:47:37-05:00,2025-01-21T16:47:37-05:00,2025-01-28T12:07:29,2025-01-21T16-46-20-05-00_pubmedqa_gwrxMcdtQ9uiWTPEXFkjvS.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,216836,213336,3500,iZ2j3xTK3cNyNdh84k9j6L,2025-01-21T16:46:19-05:00,2025-01-21T16:46:19-05:00,2025-01-28T12:07:29,2025-01-21T16-45-10-05-00_pubmedqa_isQ4FYU8cCbUFpmtXkkXLF.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,216836,213336,3500,hFbmy55pchMwMSjuYT8Fzt,2025-01-21T16:38:07-05:00,2025-01-21T16:38:07-05:00,2025-01-28T12:07:30,2025-01-21T16-36-58-05-00_pubmedqa_awviPtoHG9XPb3W5H2Qpw7.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.782,0.01848337822317885,216836,213336,3500,3hDBnFyU5g3vN5odaPm4Uo,2025-01-21T16:43:56-05:00,2025-01-21T16:43:56-05:00,2025-01-28T12:07:30,2025-01-21T16-42-36-05-00_pubmedqa_8Qq7NYxyThisVf5obaBSYu.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,216836,213336,3500,R6wYwLHcAq22tmeeGjpV5z,2025-01-21T16:41:03-05:00,2025-01-21T16:41:03-05:00,2025-01-28T12:07:30,2025-01-21T16-39-27-05-00_pubmedqa_gcBQYE2wC7mrTAFaUxNecp.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.78,0.01854421137582028,216836,213336,3500,C6AzgDr3DcwfeBMBKKP4VY,2025-01-21T16:35:51-05:00,2025-01-21T16:35:51-05:00,2025-01-28T12:07:30,2025-01-21T16-34-40-05-00_pubmedqa_kYU2ovvpbS86c4M3tyuaTh.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.78,0.01854421137582028,216836,213336,3500,McPQHRoSFhUqnivvm38QgA,2025-01-21T16:39:26-05:00,2025-01-21T16:39:26-05:00,2025-01-28T12:07:30,2025-01-21T16-38-08-05-00_pubmedqa_QVXtxHKGjov9nsTmVKyehW.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.786,0.018359797502387035,216836,213336,3500,DUbwi3PLxgiss35Qfv44cx,2025-01-21T16:45:09-05:00,2025-01-21T16:45:09-05:00,2025-01-28T12:07:30,2025-01-21T16-43-58-05-00_pubmedqa_TUmNkqzvEAbsSnkqEhtdMq.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.784,0.01842190906141201,216836,213336,3500,GS2RA4Kom4Zc5hMRbYaqKL,2025-01-21T16:42:34-05:00,2025-01-21T16:42:34-05:00,2025-01-28T12:07:30,2025-01-21T16-41-04-05-00_pubmedqa_92r495qrsSqERonjsRA2eo.json,False
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.764,0.01900869962208476,216836,213336,3500,HXUAxk6pToH9UG28ssGFPB,2025-01-21T16:36:57-05:00,2025-01-21T16:36:57-05:00,2025-01-28T12:07:30,2025-01-21T16-35-52-05-00_pubmedqa_X3zL3DSo889r5xzDSVDdZd.json,False
