inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.68,0.02088234048876172,193597,192097,1500,kr7TUpTE88MLk9i22SaBma,2024-10-02T20:38:22-04:00,2024-10-02T20:38:22-04:00,2025-01-28T12:07:28,2024-10-02T20-37-49-04-00_benchmarks-pubmedqa_27oL7Fxf2Qr4dXsHnyQt95.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.674,0.020984009562393675,193597,192097,1500,UruZNzBWozNqZAKQnywuiK,2024-10-02T20:41:35-04:00,2024-10-02T20:41:35-04:00,2025-01-28T12:07:28,2024-10-02T20-41-03-04-00_benchmarks-pubmedqa_6R3HDQW4pBS2RMrL2dSSNv.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.672,0.021017027165175464,193597,192097,1500,HQWSSpwWTaoxe9zy6LFgjo,2024-10-02T20:39:58-04:00,2024-10-02T20:39:58-04:00,2025-01-28T12:07:28,2024-10-02T20-39-27-04-00_benchmarks-pubmedqa_5FFwjTd8xbVyDK9FBxLg32.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.672,0.021017027165175464,193597,192097,1500,4feL7r8ZmMGviFde7UupYn,2024-10-02T20:42:37-04:00,2024-10-02T20:42:37-04:00,2025-01-28T12:07:28,2024-10-02T20-42-06-04-00_benchmarks-pubmedqa_8ehtx5xgCZYRFtj8hSXdya.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.664,0.021144791425048808,193597,192097,1500,cNdsUSLPnHbptSSeZWfhNa,2024-10-02T20:38:53-04:00,2024-10-02T20:38:53-04:00,2025-01-28T12:07:28,2024-10-02T20-38-23-04-00_benchmarks-pubmedqa_NhJ83S3nfdabwQgEpRH9xa.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.668,0.0210817665712228,193597,192097,1500,72DMVieFRUGL8aC7FBXkqb,2024-10-02T20:39:26-04:00,2024-10-02T20:39:26-04:00,2025-01-28T12:07:28,2024-10-02T20-38-53-04-00_benchmarks-pubmedqa_jVZr2gcLZ4R8YEG7LdqFs8.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.666,0.021113492347743807,193597,192097,1500,P7KUEBcX8T9xQjhHyktGHa,2024-10-02T20:41:02-04:00,2024-10-02T20:41:02-04:00,2025-01-28T12:07:28,2024-10-02T20-40-33-04-00_benchmarks-pubmedqa_5pcpNWSmpXuxwwHbTQUb7Q.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.666,0.021113492347743807,193597,192097,1500,oXY4z84m7xbnyrrwoH9KRW,2024-10-02T20:40:31-04:00,2024-10-02T20:40:31-04:00,2025-01-28T12:07:28,2024-10-02T20-39-59-04-00_benchmarks-pubmedqa_Yt48eMKp3wMM4y2vpNAW3e.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.664,0.021144791425048808,193597,192097,1500,LbNuWDrtoGhXY592PEhXQh,2024-10-02T20:42:05-04:00,2024-10-02T20:42:05-04:00,2025-01-28T12:07:29,2024-10-02T20-41-36-04-00_benchmarks-pubmedqa_4UKvnFqaFwArfYbrvhcdgP.json,False
google/gemini-1.5-pro,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.662,0.021175665695209452,193597,192097,1500,nRkJEFvdEqbcsaLWJHPhBE,2024-09-19T16:57:00-04:00,2024-09-19T16:57:00-04:00,2025-01-28T12:07:29,2024-09-19T16-55-44-04-00_benchmarks-pubmedqa_Kof4YaR2DZ9rZuxXMfonxo.json,False
