inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.784,0.018421909061412008,196316,193816,2500,UL5L6hipQ9zKBJSnaaTzaD,2025-01-21T16:52:10-05:00,2025-01-21T16:52:10-05:00,2025-01-28T12:07:25,2025-01-21T16-51-44-05-00_pubmedqa_8s8nd3F4ASfdVAscx3LMpt.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,196316,193816,2500,6rPfNer2h8tcAVfh2Fd7vF,2025-01-21T16:51:43-05:00,2025-01-21T16:51:43-05:00,2025-01-28T12:07:25,2025-01-21T16-51-17-05-00_pubmedqa_BAWXPz7LUiYAkswie9C3R6.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.78,0.01854421137582028,196316,193816,2500,GWdWGDzrbrynMD8cPzjY94,2025-01-21T16:49:50-05:00,2025-01-21T16:49:50-05:00,2025-01-28T12:07:25,2025-01-21T16-49-23-05-00_pubmedqa_9bbNRERHPop8Wc4LfBqSWy.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.782,0.01848337822317885,196316,193816,2500,SnUh6s86uzHvz32rSX9rB5,2024-09-19T17:27:44-04:00,2024-09-19T17:27:44-04:00,2025-01-28T12:07:25,2024-09-19T17-26-47-04-00_benchmarks-pubmedqa_iu3qvSHDMteGDo9gFB7Fev.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.78,0.01854421137582028,196316,193816,2500,kv8RnEKdEBgtpRauZTswF6,2025-01-21T16:50:16-05:00,2025-01-21T16:50:16-05:00,2025-01-28T12:07:26,2025-01-21T16-49-51-05-00_pubmedqa_8eja72nTTPsuZpaKuxbkqP.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.782,0.01848337822317885,196316,193816,2500,AjKjKo3VJnTcmKZtRFSb9Y,2025-01-21T16:49:21-05:00,2025-01-21T16:49:21-05:00,2025-01-28T12:07:26,2025-01-21T16-48-56-05-00_pubmedqa_BArfsi7f4FnWbK4aAscV2R.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,196316,193816,2500,mvLWMUAsEwMKRV8Bo2X7kd,2025-01-21T16:50:43-05:00,2025-01-21T16:50:43-05:00,2025-01-28T12:07:26,2025-01-21T16-50-17-05-00_pubmedqa_AYGiutwXRUr4dHtPuTRTai.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,196316,193816,2500,2mmiUkU6c4PLbUt3ZufHrG,2025-01-21T16:51:16-05:00,2025-01-21T16:51:16-05:00,2025-01-28T12:07:26,2025-01-21T16-50-44-05-00_pubmedqa_NamnSopXgUPwoRu3j9MtHD.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.782,0.01848337822317885,196316,193816,2500,btp5TDRzvoR387TzeosWbD,2025-01-21T16:48:29-05:00,2025-01-21T16:48:29-05:00,2025-01-28T12:07:26,2025-01-21T16-46-59-05-00_pubmedqa_7shYoY6L7d6e58wCj8ByZF.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.778,0.018604414758250098,196316,193816,2500,eHaj3Cv8x3wLvYkzxJ2bFG,2025-01-21T16:48:54-05:00,2025-01-21T16:48:54-05:00,2025-01-28T12:07:26,2025-01-21T16-48-30-05-00_pubmedqa_YMAmpB6imrHDqo9NQKW9sf.json,False
