inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.752,0.01933234282123912,225464,222962,2502,SoSGkr4y89vw8hwsw9JuCu,2025-01-25T16:17:25-05:00,2025-01-25T16:17:25-05:00,2025-01-28T12:07:29,2025-01-25T16-07-18-05-00_pubmedqa_e2Wfo5zbdxUnjC7VhB5sRT.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.758,0.019173085678337164,225462,222962,2500,VMjh6bvT2aQDKkTR3fuL2Z,2025-01-25T16:29:03-05:00,2025-01-25T16:29:03-05:00,2025-01-28T12:07:29,2025-01-25T16-17-26-05-00_pubmedqa_ajRr5L8Vkz2tDyd4Fqunif.json,False
mistral/mistral-large-2407,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.766,0.018952741564893755,225462,222962,2500,EUb3fnscdWCF7B6sPLLFd6,2024-09-19T20:14:54-04:00,2024-09-19T20:14:54-04:00,2025-01-28T12:07:29,2024-09-19T20-05-41-04-00_benchmarks-pubmedqa_4bioTwxEjnJu7XP7aq3VLi.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.764,0.01900869962208476,225462,222962,2500,brNh42AroLX2YSvyEECotP,2025-01-25T16:51:15-05:00,2025-01-25T16:51:15-05:00,2025-01-28T12:07:29,2025-01-25T16-39-33-05-00_pubmedqa_2QfWmyxRXkmawoYnLT67GX.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.752,0.01933234282123912,225462,222962,2500,iBpL5qVDHRFThKtYawfihV,2025-01-25T16:07:17-05:00,2025-01-25T16:07:17-05:00,2025-01-28T12:07:29,2025-01-25T15-57-25-05-00_pubmedqa_ntfUQfeW7ofBXTPaEJGu7T.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.76,0.0191188666537598,225462,222962,2500,YfUd2vE78nHbQ89Eq5w3py,2025-01-25T17:10:24-05:00,2025-01-25T17:10:24-05:00,2025-01-28T12:07:29,2025-01-25T17-00-19-05-00_pubmedqa_6K7RTTcvp7MQfJrPZkTzn7.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.754,0.019279819056352458,225462,222962,2500,8VsaBMbg2LzAWQvymrQQCs,2025-01-25T16:39:31-05:00,2025-01-25T16:39:31-05:00,2025-01-28T12:07:29,2025-01-25T16-29-05-05-00_pubmedqa_5wbpxQzT8Wx5yZaNoQBZwo.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.758,0.019173085678337164,225462,222962,2500,2XgWXjkJjQ3zsCQdpPi763,2025-01-25T15:57:23-05:00,2025-01-25T15:57:23-05:00,2025-01-28T12:07:29,2025-01-25T15-47-06-05-00_pubmedqa_WWYykr3dZYmK7aMKMJqErN.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.758,0.019173085678337164,225462,222962,2500,AE2pGAVsAgD3kxhfo78Q6B,2025-01-25T17:00:18-05:00,2025-01-25T17:00:18-05:00,2025-01-28T12:07:29,2025-01-25T16-51-16-05-00_pubmedqa_TKP3oSWQHcSyTXiCCAeefM.json,False
mistral/mistral-large-2407,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test'}",zero_shot,500,0.756,0.019226734893614636,225462,222962,2500,8kLj6VvAKAxTGrVwRuozt6,2025-01-25T15:47:05-05:00,2025-01-25T15:47:05-05:00,2025-01-28T12:07:29,2025-01-25T15-38-03-05-00_pubmedqa_ULVNtpos9H57Gug88e2vre.json,False
