inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1782178217821782,0.03826960017839146,38114,36659,1455,8QQQUv5MAqqErLFmgUVYUn,2025-02-08T13:48:07-05:00,2025-02-08T13:48:07-05:00,2025-02-09T16:08:28,2025-02-08T13-47-54-05-00_vct_76JVnPNtTadrQ4zTxq9vRw.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1188118811881188,0.03235670225419444,37880,36659,1221,AfWoFA9ssP3VTfv2c4uBcY,2025-02-08T13:47:54-05:00,2025-02-08T13:47:54-05:00,2025-02-09T16:08:28,2025-02-08T13-47-45-05-00_vct_a2gZSxJhbNW5cWtUTstxDC.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.03556096038825341,38063,36659,1404,kTMaAdjT5bYdJHzQxsANYJ,2025-02-08T13:49:21-05:00,2025-02-08T13:49:21-05:00,2025-02-09T16:08:28,2025-02-08T13-49-07-05-00_vct_eSJ4VoK2PZHBqDsMoocSjn.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.16831683168316833,0.03741473985681423,38159,36659,1500,Ha2PRgkqBmLUXpVufGo7FE,2025-02-08T13:48:31-05:00,2025-02-08T13:48:31-05:00,2025-02-09T16:08:28,2025-02-08T13-48-20-05-00_vct_XaAijqfqKpoo39o5fXqNRX.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1188118811881188,0.03235670225419444,38369,36659,1710,YwMSkRakoY7JVY5gEW8AQU,2025-02-08T13:47:32-05:00,2025-02-08T13:47:32-05:00,2025-02-09T16:08:28,2025-02-08T13-47-16-05-00_vct_bMyYviec7S5NFyqRHqwx7q.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.10891089108910891,0.03115273806445995,38150,36659,1491,gDbxJXaxXbpcNmmgZpTEei,2025-02-08T13:47:45-05:00,2025-02-08T13:47:45-05:00,2025-02-09T16:08:28,2025-02-08T13-47-32-05-00_vct_GPjNcHP8qcktcVEEgX6qS3.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.15841584158415842,0.0365130473556154,37867,36659,1208,SwsuEXsMMR4gsqgfGDdnWT,2025-02-08T13:48:51-05:00,2025-02-08T13:48:51-05:00,2025-02-09T16:08:28,2025-02-08T13-48-42-05-00_vct_H5Ev3uoFEfPcLNFVoh3D77.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.12871287128712872,0.03348818717878765,38267,36659,1608,7BeBLNtxwZc5Rf2sjz7Eyc,2025-02-08T13:49:06-05:00,2025-02-08T13:49:06-05:00,2025-02-09T16:08:28,2025-02-08T13-48-52-05-00_vct_4Q8MSH46nPQcNX3bTt4ZbQ.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1485148514851485,0.035560960388253404,38330,36659,1671,cWWX8P5we5HUQU6nPCS3X9,2025-02-08T13:48:20-05:00,2025-02-08T13:48:20-05:00,2025-02-09T16:08:28,2025-02-08T13-48-07-05-00_vct_QEN9X6L5Ny6Q2bmXeiPEee.json,False
anthropic/claude-2.0,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.13861386138613863,0.03455431359725772,37869,36659,1210,RRX76nKHoWjm5rCDDk6Saq,2025-02-08T13:48:42-05:00,2025-02-08T13:48:42-05:00,2025-02-09T16:08:28,2025-02-08T13-48-31-05-00_vct_AYbyx8g7vcJQVG2hUxKkeK.json,False
