inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.26732673267326734,0.04425642898738022,36502,35867,635,A5BHmM36ucCFP2nc2wBbQ2,2025-02-08T14:20:32-05:00,2025-02-08T14:20:32-05:00,2025-02-09T16:08:33,2025-02-08T14-20-25-05-00_vct_QUychMJh8rzgobB4AQx6CU.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.24752475247524752,0.04315741528258093,36502,35867,635,Hs8CEzEoBvM7dxj6GyyDiB,2025-02-08T14:19:43-05:00,2025-02-08T14:19:43-05:00,2025-02-09T16:08:33,2025-02-08T14-19-35-05-00_vct_VUXs6Sqf6ffvzD7KH8Qdk2.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.26732673267326734,0.04425642898738022,36504,35867,637,dWCFXFeVZDZwEkXCjNCx9d,2025-02-08T14:20:48-05:00,2025-02-08T14:20:48-05:00,2025-02-09T16:08:33,2025-02-08T14-20-40-05-00_vct_5WM9STjBW59AveJLLAAqVy.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.24752475247524752,0.04315741528258093,36503,35867,636,5c4FJgqVfwnmzoGxGntirW,2025-02-08T14:20:10-05:00,2025-02-08T14:20:10-05:00,2025-02-09T16:08:33,2025-02-08T14-20-01-05-00_vct_CtS3HZjxWh7YUkuMb3PCTo.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.25742574257425743,0.04372158844716756,36506,35867,639,PM5FBepZfeF9JuNgdAzSZd,2025-02-08T14:20:00-05:00,2025-02-08T14:20:00-05:00,2025-02-09T16:08:33,2025-02-08T14-19-51-05-00_vct_8QDrX45eiBjbk72x2Pvk4q.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.2376237623762376,0.0425627430895142,36496,35867,629,iz32qD6dLvZBQZJcrAFGXp,2025-02-08T14:20:40-05:00,2025-02-08T14:20:40-05:00,2025-02-09T16:08:33,2025-02-08T14-20-32-05-00_vct_kzEptyK9GYZM8sr3ujic4R.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.25742574257425743,0.04372158844716756,36506,35867,639,RqftJkRbA5b8DNJv7PRmVs,2025-02-08T14:19:51-05:00,2025-02-08T14:19:51-05:00,2025-02-09T16:08:33,2025-02-08T14-19-44-05-00_vct_Cw5YqrNgCxHT43vNMfZHCf.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.25742574257425743,0.04372158844716756,36499,35867,632,EiqWTr55ca6RpNkwf4vCWV,2025-02-08T14:20:25-05:00,2025-02-08T14:20:25-05:00,2025-02-09T16:08:33,2025-02-08T14-20-18-05-00_vct_JBvgjCmiZS4ncF977Xv9kC.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.27722772277227725,0.044762988338444824,36504,35867,637,axm9J72JeApWSuXS3bLHms,2025-02-08T14:20:18-05:00,2025-02-08T14:20:18-05:00,2025-02-09T16:08:33,2025-02-08T14-20-10-05-00_vct_LF3bqTMQEVcMiTY6zFvTyP.json,False
openai/gpt-4-turbo-2024-04-09,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.22772277227722773,0.041936274424846286,36498,35867,631,Da2UQ2Cf4SBohEL8sxw6VJ,2025-02-08T14:19:35-05:00,2025-02-08T14:19:35-05:00,2025-02-09T16:08:33,2025-02-08T14-19-24-05-00_vct_aCmTcL9mwyGydwV4foQZhA.json,False
