inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1188118811881188,0.03235670225419444,36834,36248,586,6K3SCdVy36CBdxsijdedu3,2025-02-08T14:35:18-05:00,2025-02-08T14:35:18-05:00,2025-02-09T16:08:28,2025-02-08T14-35-13-05-00_vct_mUdn2w89FKjAVuh3NYmdJK.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.09900990099009901,0.029867530948511595,36833,36248,585,5oTWohJCcYKczJbCactMeU,2025-02-08T14:35:02-05:00,2025-02-08T14:35:02-05:00,2025-02-09T16:08:28,2025-02-08T14-34-57-05-00_vct_LuFx5wNYneaxCkum8Ff347.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.10891089108910891,0.031152738064459947,36834,36248,586,QrqPyt6A8ZACSFemynmx2k,2025-02-08T14:34:52-05:00,2025-02-08T14:34:52-05:00,2025-02-09T16:08:28,2025-02-08T14-34-47-05-00_vct_hYtPj5RPfQ9X5fKc3s6Pbx.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.09900990099009901,0.029867530948511595,36833,36248,585,aE36af29mPw5DxaeAx8sg9,2025-02-08T14:35:07-05:00,2025-02-08T14:35:07-05:00,2025-02-09T16:08:28,2025-02-08T14-35-02-05-00_vct_RGfqvyJAz4kLgFesESMPWV.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.09900990099009901,0.029867530948511595,36833,36248,585,SVd7EGGSoWmEgnenhJ2HZG,2025-02-08T14:34:37-05:00,2025-02-08T14:34:37-05:00,2025-02-09T16:08:28,2025-02-08T14-34-31-05-00_vct_HPcWLtPg5pYSKrnNsrWbge.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.10891089108910891,0.031152738064459947,36833,36248,585,FoNwYQWVgVyA8bKtKDHkb2,2025-02-08T14:34:47-05:00,2025-02-08T14:34:47-05:00,2025-02-09T16:08:28,2025-02-08T14-34-42-05-00_vct_BRRJmyMwGyuhCjKkXpCaLw.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.10891089108910891,0.031152738064459947,36835,36248,587,bCScigCYufRsjsxdFHV4Wx,2025-02-08T14:35:13-05:00,2025-02-08T14:35:13-05:00,2025-02-09T16:08:28,2025-02-08T14-35-07-05-00_vct_mewJ6i5FSbkHHfcyrmuSMU.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.0891089108910891,0.028490088257303283,36832,36248,584,MeLMKBPNiR5He3oCBs4amw,2025-02-08T14:35:23-05:00,2025-02-08T14:35:23-05:00,2025-02-09T16:08:28,2025-02-08T14-35-18-05-00_vct_iSDRvEfVCRogBvKG8hyusg.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.09900990099009901,0.029867530948511595,36835,36248,587,XSLqeEMuLfk6WaNXopdbBe,2025-02-08T14:34:57-05:00,2025-02-08T14:34:57-05:00,2025-02-09T16:08:28,2025-02-08T14-34-52-05-00_vct_JYAcpTeu6kkVisumCkkArJ.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images'}",zero_shot,101,0.1188118811881188,0.03235670225419444,36833,36248,585,APn8nBrKCNEQAgzRYkx9aw,2025-02-08T14:34:42-05:00,2025-02-08T14:34:42-05:00,2025-02-09T16:08:28,2025-02-08T14-34-37-05-00_vct_SgAP5CjbiB45TfHDdE2PAU.json,False
