inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.852317360565593,0.009947680643843453,167653,160413,7240,KMBdXo2YeLEE5kdoLZTSoS,2025-02-01T16:57:47-05:00,2025-02-01T16:57:47-05:00,2025-02-09T16:08:13,2025-02-01T16-55-48-05-00_wmdp_JTf2U9ExL5w4WG92Trwwx8.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8381775333857031,0.010326279136854381,167147,160413,6734,M49Wfui4DwxoieQXaYggWy,2025-02-01T17:10:22-05:00,2025-02-01T17:10:22-05:00,2025-02-09T16:08:13,2025-02-01T17-08-25-05-00_wmdp_SZCFfRxgQvCyZs2zSkscQS.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8405341712490181,0.010265212603210285,167385,160413,6972,jeKFw3LmiKoAvUodrhGvRW,2025-02-01T17:12:21-05:00,2025-02-01T17:12:21-05:00,2025-02-09T16:08:13,2025-02-01T17-10-24-05-00_wmdp_e5mDpLbdbTX7zN2fNkATkg.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8444619010212098,0.010161664872230063,168164,160413,7751,B9kBqP9AcaU8fU3MwqRRYn,2025-02-01T17:32:42-05:00,2025-02-01T17:32:42-05:00,2025-02-09T16:08:13,2025-02-01T17-25-45-05-00_wmdp_45QdjcidfFm9woew3exdj4.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.835820895522388,0.010386566301554576,167795,160413,7382,BcCg8uBLqW9GcfhJRZrb8R,2025-02-01T16:53:41-05:00,2025-02-01T16:53:41-05:00,2025-02-09T16:08:13,2025-02-01T16-48-19-05-00_wmdp_74dtPPBzuhMrC7dbEuakTF.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8531029065200314,0.009925759694286936,167700,160413,7287,nm6Xw4XcyS8BhC2wLL5jDK,2025-02-01T17:18:50-05:00,2025-02-01T17:18:50-05:00,2025-02-09T16:08:13,2025-02-01T17-16-55-05-00_wmdp_EKJWnsbmAcmpt4EJpcpdkM.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8421052631578947,0.010224061709023832,167364,160413,6951,WApZAVysKQnXFxdMHXrBpV,2025-02-01T17:16:53-05:00,2025-02-01T17:16:53-05:00,2025-02-09T16:08:13,2025-02-01T17-14-57-05-00_wmdp_AB2QcgmKH2AfrLxGHfxH3F.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8436763550667714,0.010182553945306212,167504,160413,7091,GecZnqj6UuBuooooNDwUCT,2025-02-01T17:14:17-05:00,2025-02-01T17:14:17-05:00,2025-02-09T16:08:13,2025-02-01T17-12-23-05-00_wmdp_PsuRHkv3JoKYhnr9fixrGt.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8476040848389631,0.010077194199135824,167105,160413,6692,34TA8b3uLKm4qyKerqaXvv,2025-02-01T17:08:23-05:00,2025-02-01T17:08:23-05:00,2025-02-09T16:08:13,2025-02-01T16-57-49-05-00_wmdp_MbCFxq4yLvMTi7tBHwZLgM.json,False
together/deepseek-ai/DeepSeek-V3,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8421052631578947,0.010224061709023832,167568,160413,7155,nbPkuvckqxYy9pYjbqhqG3,2025-02-01T16:55:46-05:00,2025-02-01T16:55:46-05:00,2025-02-09T16:08:13,2025-02-01T16-53-43-05-00_wmdp_Us3bZsoWQAcGj7zFKtXLuz.json,False
