inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8083267871170463,0.011036481540798093,183412,177023,6389,gMqq8ZHCAY8refrZHLoCfH,2025-01-21T16:59:49-05:00,2025-01-21T16:59:49-05:00,2025-01-28T12:06:51,2025-01-21T16-58-32-05-00_wmdp_oCSRUrC6DHpzD4aJL7hSMR.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.809897879025923,0.01100183320113342,183412,177023,6389,dAMeBx3VYPQAtuvRDjxEct,2025-01-21T17:07:36-05:00,2025-01-21T17:07:36-05:00,2025-01-28T12:06:52,2025-01-21T17-06-20-05-00_wmdp_PPAkm4qxJ9iWEjefQAMxFm.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.809897879025923,0.01100183320113342,183412,177023,6389,ZaaJGn2uczLkEX3r5zvAMJ,2025-01-21T17:01:05-05:00,2025-01-21T17:01:05-05:00,2025-01-28T12:06:52,2025-01-21T16-59-51-05-00_wmdp_fUAD3NLZqNPi9NsbEJznjM.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8091123330714847,0.011019193002242899,183412,177023,6389,Bpiq9T52fKXAigMKjLCNNv,2025-01-21T16:58:30-05:00,2025-01-21T16:58:30-05:00,2025-01-28T12:06:52,2025-01-21T16-57-17-05-00_wmdp_VJL3SBLuxeZBjW8jXZ9yGV.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8075412411626081,0.011053699151173607,183412,177023,6389,gzJM3E6pF85hfGgVksmJd9,2025-01-21T17:03:41-05:00,2025-01-21T17:03:41-05:00,2025-01-28T12:06:52,2025-01-21T17-02-25-05-00_wmdp_NDtiaVEuoRKS36JSCiW2HC.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8130400628436764,0.010931674560235584,183412,177023,6389,TWtY9bZmAzun7GwfG6tQKE,2025-01-21T17:05:00-05:00,2025-01-21T17:05:00-05:00,2025-01-28T12:06:52,2025-01-21T17-03-43-05-00_wmdp_foiLMA8bMzLVcp8HbMz6BY.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8091123330714847,0.011019193002242899,183412,177023,6389,QnKa8A5uoN6VW2BY8fVw8Y,2025-01-21T17:08:53-05:00,2025-01-21T17:08:53-05:00,2025-01-28T12:06:52,2025-01-21T17-07-38-05-00_wmdp_BP8SZvJCnCnFw5cY9fjtMq.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8059701492537313,0.011087922907693627,183412,177023,6389,52LVEDYFZDyDGP6TPSUA4B,2025-01-21T17:06:18-05:00,2025-01-21T17:06:18-05:00,2025-01-28T12:06:52,2025-01-21T17-05-02-05-00_wmdp_NM95pfvKUbA9Waxe2Ay48x.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,wmdp,{'subset': 'wmdp-bio'},zero_shot,1273,0.8059701492537313,0.011087922907693627,183412,177023,6389,g5NovG29PpSMRUvtzgu37Z,2025-01-21T17:02:23-05:00,2025-01-21T17:02:23-05:00,2025-01-28T12:06:52,2025-01-21T17-01-07-05-00_wmdp_PswSksrDcPHeQePQsz57Ur.json,False
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,benchmarks/run,"{'cls': 'WMDPBenchmark', 'subset': ""['wmdp-bio']""}",zero_shot,1273,0.809897879025923,0.01100183320113342,183411,177022,6389,B2HuAVnpx7hnhvZreGfGp5,2024-09-17T09:35:04-04:00,2024-09-17T09:35:04-04:00,2025-01-28T12:06:52,2024-09-17T09-32-46-04-00_benchmarks-run_eKL6cyMZKE4R8tbQF7Vi4n.json,False
