inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5897435897435898,0.05569446044588395,49581,24219,25362,HRgii8wXaxFLLTPHC4mwvo,2024-10-01T21:32:15-04:00,2024-10-01T21:32:15-04:00,2025-01-28T12:15:52,2024-10-01T21-31-21-04-00_benchmarks-gpqa_6pKDMzmhieMNxDVVV55ZBi.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5512820512820513,0.05631529272835962,51159,24218,26941,Zr7JguX4un5ugaSjWCcDog,2024-10-01T21:33:17-04:00,2024-10-01T21:33:17-04:00,2025-01-28T12:15:52,2024-10-01T21-32-19-04-00_benchmarks-gpqa_AnypGdUHkmntRUfbYPs8dU.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5256410256410257,0.05653935976482544,50036,24219,25817,mKMqjP4xZSjAqSLTgLSg9N,2024-10-01T21:30:24-04:00,2024-10-01T21:30:24-04:00,2025-01-28T12:15:52,2024-10-01T21-29-28-04-00_benchmarks-gpqa_ECSVnBGRzxSkK6QpFHpgzE.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5512820512820513,0.05631529272835962,50346,24218,26128,AKEWWoH7HXdXBXiMdxqWMa,2024-10-01T21:28:28-04:00,2024-10-01T21:28:28-04:00,2025-01-28T12:15:52,2024-10-01T21-27-32-04-00_benchmarks-gpqa_Z8jC48bPCWnDRG5gV9DTrM.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6282051282051282,0.05472113981207022,49474,24219,25255,ecNk88Zf7ruMDXCahG4RnF,2024-10-01T21:31:20-04:00,2024-10-01T21:31:20-04:00,2025-01-28T12:15:52,2024-10-01T21-30-25-04-00_benchmarks-gpqa_F2wboiQtBaxCdawwSJV78V.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5128205128205128,0.056595237913628776,50376,24216,26160,ZKQKw3hyVC8VsN7589TfHh,2024-10-01T21:34:14-04:00,2024-10-01T21:34:14-04:00,2025-01-28T12:15:52,2024-10-01T21-33-18-04-00_benchmarks-gpqa_WSaep5XsEDMEsLcrMr4FUo.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5512820512820513,0.05631529272835962,49259,24217,25042,oGH2PQ4V7UgBXG6kp85xtb,2024-10-01T21:37:04-04:00,2024-10-01T21:37:04-04:00,2025-01-28T12:15:52,2024-10-01T21-36-07-04-00_benchmarks-gpqa_5NGphYZknQwUJzor8ZPrzZ.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5769230769230769,0.05593985325795573,51359,24219,27140,CAuDUGFthYN7irfgiswRyH,2024-10-01T21:29:28-04:00,2024-10-01T21:29:28-04:00,2025-01-28T12:15:52,2024-10-01T21-28-29-04-00_benchmarks-gpqa_WGJvvofmsNxmLdjyj2peN3.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5256410256410257,0.05653935976482544,49096,24219,24877,cErtBioybnJJvfmBwHUr2s,2024-10-01T21:35:09-04:00,2024-10-01T21:35:09-04:00,2025-01-28T12:15:52,2024-10-01T21-34-15-04-00_benchmarks-gpqa_kM3tfzdEH57RtdgZjKaZKz.json,True
google/gemini-1.5-pro,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5384615384615384,0.056446106592718676,50175,24217,25958,iqq9BzAAAc567HkgZmqM9u,2024-10-01T21:36:06-04:00,2024-10-01T21:36:06-04:00,2025-01-28T12:15:52,2024-10-01T21-35-10-04-00_benchmarks-gpqa_8An2jHJpENzk5yCMeUBAfR.json,True
