inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6410256410256411,0.05431529139335406,62438,25030,37408,QJnj7nYrVsctmQ4n7FhmX7,2024-09-25T15:35:18-04:00,2024-09-25T15:35:18-04:00,2025-01-28T12:15:51,2024-09-25T15-34-10-04-00_benchmarks-gpqa_VWBkyZbY97wVBJVVkfceCu.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6538461538461539,0.05386728241429918,62611,25029,37582,ZcMY3ihcbAu5p2aBaz7G8y,2024-09-25T15:38:03-04:00,2024-09-25T15:38:03-04:00,2025-01-28T12:15:51,2024-09-25T15-36-37-04-00_benchmarks-gpqa_VoPcWNbPJq4RwgVaAWVWhK.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6538461538461539,0.05386728241429918,60765,25030,35735,K99ue2gxHGFapd7vH6q8ey,2024-09-25T15:30:35-04:00,2024-09-25T15:30:35-04:00,2025-01-28T12:15:51,2024-09-25T15-29-27-04-00_benchmarks-gpqa_Yq5QnBNX2zGJeZhRkoyaaV.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6923076923076923,0.05225894003744288,61711,25029,36682,CTbuahCVdXig3wzHDzaB5U,2024-09-25T15:32:52-04:00,2024-09-25T15:32:52-04:00,2025-01-28T12:15:51,2024-09-25T15-31-44-04-00_benchmarks-gpqa_d3QdPbgD2RfcqLXgxZ5gMd.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6794871794871795,0.05284039252359799,61928,25027,36901,GGbHaNWmDCwabLEQsmZojP,2024-09-25T15:26:52-04:00,2024-09-25T15:26:52-04:00,2025-01-28T12:15:51,2024-09-25T15-25-39-04-00_benchmarks-gpqa_EWSG9nvv8Fjysoci6wAPaw.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6153846153846154,0.05508575954149483,62770,25029,37741,V5dDrj7RgQvF85MNHvwpeG,2024-09-25T15:31:43-04:00,2024-09-25T15:31:43-04:00,2025-01-28T12:15:51,2024-09-25T15-30-36-04-00_benchmarks-gpqa_5Cnycr7LrpcU9x75QTVLaQ.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6794871794871795,0.05284039252359799,61976,25027,36949,3Qy4M4vSs7pr5V55jfoQdv,2024-09-25T15:34:09-04:00,2024-09-25T15:34:09-04:00,2025-01-28T12:15:51,2024-09-25T15-32-53-04-00_benchmarks-gpqa_UhptnP4q9ifQ8NMqtdB5Vr.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6794871794871795,0.05284039252359799,62778,25030,37748,54fftN5m2x3WqnX3wM5JXC,2024-09-25T15:36:36-04:00,2024-09-25T15:36:36-04:00,2025-01-28T12:15:51,2024-09-25T15-35-19-04-00_benchmarks-gpqa_HknbRFJawkkcGaRBMDF5X6.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6410256410256411,0.05431529139335406,64538,25028,39510,3Pi82LrGUES8Y7s9N8tUhd,2024-09-25T15:29:26-04:00,2024-09-25T15:29:26-04:00,2025-01-28T12:15:51,2024-09-25T15-28-12-04-00_benchmarks-gpqa_cgSPRtzbbiZhfZNkqy2uqA.json,True
openai/gpt-4o,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6282051282051282,0.05472113981207022,61968,25027,36941,aBUyDyV8PT7EhNFBLpGT7i,2024-09-25T15:28:10-04:00,2024-09-25T15:28:10-04:00,2025-01-28T12:15:51,2024-09-25T15-26-54-04-00_benchmarks-gpqa_no28cMZwGQVEUHXsjhitMB.json,True
