inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5769230769230769,0.05593985325795573,65912,27670,38242,jZ3cHmMY6HRDBhk4aza2NY,2024-09-25T20:31:23-04:00,2024-09-25T20:31:23-04:00,2025-01-28T12:15:51,2024-09-25T20-30-10-04-00_benchmarks-gpqa_CUoTzBxYAqLm5VCioJJsy3.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5897435897435898,0.05569446044588395,68575,27675,40900,AZ9n3WTEADWYTAMg5M7L75,2024-09-25T20:30:09-04:00,2024-09-25T20:30:09-04:00,2025-01-28T12:15:51,2024-09-25T20-28-51-04-00_benchmarks-gpqa_VNovjyoZ9zq7otFzAS562m.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6153846153846154,0.05508575954149483,68390,27673,40717,QW26p4f5KAV3GMxytSrkfx,2024-09-25T20:19:54-04:00,2024-09-25T20:19:54-04:00,2025-01-28T12:15:51,2024-09-25T17-54-55-04-00_benchmarks-gpqa_4Zcv4NbFwGiMoCnknPtyLk.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6410256410256411,0.05431529139335406,68113,27672,40441,CXUyS6xuNdD64yqw2qQe3q,2024-09-25T20:21:56-04:00,2024-09-25T20:21:56-04:00,2025-01-28T12:15:51,2024-09-25T20-20-33-04-00_benchmarks-gpqa_TokcRpkJ5kNw2HSruCbBdx.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6153846153846154,0.05508575954149483,65769,27671,38098,3xA82ESKkU3LLp3LWFxLRx,2024-09-25T20:32:37-04:00,2024-09-25T20:32:37-04:00,2025-01-28T12:15:52,2024-09-25T20-31-24-04-00_benchmarks-gpqa_Y68T2wfy2K9D2D9BQgzHQ2.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5897435897435898,0.05569446044588395,66808,27673,39135,ZSvG6HjUwiur4pVLVZDMy5,2024-09-25T20:26:09-04:00,2024-09-25T20:26:09-04:00,2025-01-28T12:15:52,2024-09-25T20-24-50-04-00_benchmarks-gpqa_nZNvoW2NQUgtZW2EK6oYC4.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5256410256410257,0.05653935976482544,69602,27671,41931,UYEQcqc8jee8xhKHG7kwse,2024-09-25T20:28:50-04:00,2024-09-25T20:28:50-04:00,2025-01-28T12:15:52,2024-09-25T20-27-30-04-00_benchmarks-gpqa_XN58ENLje2TheBR9QfJUyK.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.5512820512820513,0.05631529272835962,68657,27673,40984,KpomurzFyScF6GbNGPw7fc,2024-09-25T20:23:29-04:00,2024-09-25T20:23:29-04:00,2025-01-28T12:15:52,2024-09-25T20-21-57-04-00_benchmarks-gpqa_WDSA3UYYMgTWAGkucp2C6X.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6410256410256411,0.05431529139335406,66347,27671,38676,85k2kBCgTLURWYmuV3VoSm,2024-09-25T20:27:30-04:00,2024-09-25T20:27:30-04:00,2025-01-28T12:15:52,2024-09-25T20-26-10-04-00_benchmarks-gpqa_J7xgEAzSKHj8HVPEfCxP4h.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/gpqa,"{'subset': 'gpqa_main', 'subtasks': ""['Biology']"", 'cot': 'True'}",zero_shot_cot,78,0.6282051282051282,0.05472113981207022,67288,27676,39612,LjeW8UNpcWcRuFq49GiAH5,2024-09-25T20:24:49-04:00,2024-09-25T20:24:49-04:00,2025-01-28T12:15:52,2024-09-25T20-23-30-04-00_benchmarks-gpqa_Dk4HZtURWr3eFDnDbwbBmR.json,True
