inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.5757575757575758,0.08603395906609154,227286,215739,11547,UvhCgVxmMj2Px4KewgKQdS,2024-11-07T12:09:58-05:00,2024-11-07T12:09:58-05:00,2025-01-28T12:15:47,2024-11-07T12-07-51-05-00_lab-bench_Az2MCwKYUcdbzSvfhuPmp6.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.42424242424242425,0.08603395906609154,227479,215739,11740,TWczLvC3WxU9VUy7aoQE8J,2024-11-07T12:12:12-05:00,2024-11-07T12:12:12-05:00,2025-01-28T12:15:47,2024-11-07T12-09-59-05-00_lab-bench_RU8nXgozmURFhAuUcThyfT.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.5151515151515151,0.08699885606851798,227844,215739,12105,FKzPzfEbyLsR3ivv2935Di,2024-11-07T12:14:30-05:00,2024-11-07T12:14:30-05:00,2025-01-28T12:15:47,2024-11-07T12-12-13-05-00_lab-bench_6eD4p7aggSTRtBZvyjiCKw.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.42424242424242425,0.08603395906609154,227659,215739,11920,84hsAKpstHsjWhVe8S4cuL,2024-11-07T12:20:56-05:00,2024-11-07T12:20:56-05:00,2025-01-28T12:15:47,2024-11-07T12-18-45-05-00_lab-bench_TPALKSrJifEWELj3i2rN7J.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.5151515151515151,0.08699885606851798,227472,215739,11733,kXmgwk6zxN9onqShbPLUc8,2024-11-07T12:25:08-05:00,2024-11-07T12:25:08-05:00,2025-01-28T12:15:47,2024-11-07T12-23-01-05-00_lab-bench_daRhcWe3tGR3zagDVuF3km.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.42424242424242425,0.08603395906609154,227585,215739,11846,DVfvPJnoKEEEHhfTFvWcnk,2024-11-07T12:07:50-05:00,2024-11-07T12:07:50-05:00,2025-01-28T12:15:47,2024-11-07T12-05-43-05-00_lab-bench_komQZpMgvzYKusdbiaXoQy.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.5757575757575758,0.08603395906609154,228033,215739,12294,AnTWpuRg74mgKPzNhpFYnQ,2024-11-07T12:05:42-05:00,2024-11-07T12:05:42-05:00,2025-01-28T12:15:47,2024-11-07T12-03-34-05-00_lab-bench_KoiNdqwGNn6zgMeQVMGfGm.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.42424242424242425,0.08603395906609154,227471,215739,11732,kkSywtVgyAbktxGDzfaqJM,2024-11-07T12:16:39-05:00,2024-11-07T12:16:39-05:00,2025-01-28T12:15:47,2024-11-07T12-14-31-05-00_lab-bench_5oAKnpZNBayiyYPt9LsYg4.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.48484848484848486,0.08699885606851798,227533,215739,11794,NgrrJ3nbWg8gU8u7S6nbk5,2024-11-07T12:23:00-05:00,2024-11-07T12:23:00-05:00,2025-01-28T12:15:47,2024-11-07T12-20-57-05-00_lab-bench_PS8p29yMDBMfgXYzgzTesg.json,True
anthropic/claude-3-5-sonnet-20241022,lab_bench,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.45454545454545453,0.08667841720414475,227610,215739,11871,XmUVTzL7qekh68YCDWjmKw,2024-11-07T12:18:44-05:00,2024-11-07T12:18:44-05:00,2025-01-28T12:15:47,2024-11-07T12-16-40-05-00_lab-bench_VdQpJ8LpMrN7yGrugThztG.json,True
