inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.704,0.020414896521902825,368438,223336,145102,XGPBhMThBXoaSH4LqGQMZX,2025-01-21T16:05:22-05:00,2025-01-21T16:05:22-05:00,2025-01-28T12:15:55,2025-01-21T16-00-16-05-00_pubmedqa_hiANPYPGYjgwzy44uCu5BR.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.7,0.020493901531919198,368369,223336,145033,7japvUbLhdhFysbMJUUzgZ,2025-01-21T16:28:58-05:00,2025-01-21T16:28:58-05:00,2025-01-28T12:15:55,2025-01-21T16-24-14-05-00_pubmedqa_dcvcAvzQpT6RKe39oJTgpL.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.69,0.02068332661831747,369019,223336,145683,TwTdHLiWpEVnvYfnbFA52R,2025-01-21T16:09:57-05:00,2025-01-21T16:09:57-05:00,2025-01-28T12:15:55,2025-01-21T16-05-23-05-00_pubmedqa_mNKBNxuws9EryhiuYivsPi.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.696,0.020571047615520217,368467,223336,145131,KiB8PN7LUWHcu3exrVn7wr,2025-01-21T16:14:52-05:00,2025-01-21T16:14:52-05:00,2025-01-28T12:15:55,2025-01-21T16-09-59-05-00_pubmedqa_JmRcneYMhR4q3pHMbMvDhH.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.714,0.020209106858047932,368180,223336,144844,dQsWHSegrQfJyFJn6ftoqi,2025-01-21T16:33:47-05:00,2025-01-21T16:33:47-05:00,2025-01-28T12:15:55,2025-01-21T16-29-00-05-00_pubmedqa_Ca74jeDsb8j6ReuoBc9mtj.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.704,0.020414896521902825,367759,223336,144423,eCqN386heqZNBdNdUvmkjX,2025-01-21T16:48:01-05:00,2025-01-21T16:48:01-05:00,2025-01-28T12:15:55,2025-01-21T16-43-23-05-00_pubmedqa_2eQ8Bt2vrGimJ23wxEztPz.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.702,0.020454632727086548,367566,223336,144230,EFPFHy9cnMSSLpaZG4zez3,2025-01-21T16:24:13-05:00,2025-01-21T16:24:13-05:00,2025-01-28T12:15:55,2025-01-21T16-19-42-05-00_pubmedqa_SQm9LTP7PimHUnkSKcAck3.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.718,0.020123419192572618,367419,223336,144083,M4va4EDLmEHxufiT3eE7kg,2025-01-21T16:38:22-05:00,2025-01-21T16:38:22-05:00,2025-01-28T12:15:55,2025-01-21T16-33-48-05-00_pubmedqa_ge5v5ByLT8gqrxH5JmbZDo.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.708,0.0203340109176719,369374,223336,146038,BmTdmcSfaL2UJBeEfcSPKp,2025-01-21T16:19:40-05:00,2025-01-21T16:19:40-05:00,2025-01-28T12:15:55,2025-01-21T16-14-53-05-00_pubmedqa_ZhtRsy6pCWnT6Bjya4Xqr3.json,True
anthropic/claude-3-5-sonnet-20241022,pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': True}",zero_shot_cot,500,0.7,0.020493901531919198,368161,223336,144825,J2NNqU6CcXzBAQF9ZYkWDn,2025-01-21T16:43:22-05:00,2025-01-21T16:43:22-05:00,2025-01-28T12:15:55,2025-01-21T16-38-24-05-00_pubmedqa_WVfh4XEHZwTBtZXwseH9y5.json,True
