inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.808,0.017614539448989292,366706,214816,151890,JRvBek9R9gBhTJH9gikh3g,2024-10-02T14:55:51-04:00,2024-10-02T14:55:51-04:00,2025-01-28T12:15:53,2024-10-02T14-50-51-04-00_benchmarks-pubmedqa_kumtCFybQKYyigPrEajs9R.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.794,0.01808668018183547,366573,214816,151757,2Nk472RR3Gk8zUQrGWRdkb,2024-10-02T14:20:26-04:00,2024-10-02T14:20:26-04:00,2025-01-28T12:15:53,2024-10-02T14-15-28-04-00_benchmarks-pubmedqa_aXqw2TqYuUtnogbmGD75kN.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.794,0.01808668018183547,369634,214816,154818,YBHpfpTvZ2WAXBKiE4i4Qi,2024-10-02T14:45:09-04:00,2024-10-02T14:45:09-04:00,2025-01-28T12:15:53,2024-10-02T14-40-18-04-00_benchmarks-pubmedqa_2Unqy76Fh3yfQbxm7QDf3g.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.8,0.017888543819998316,366476,214816,151660,hhG97xjj9LhRfQtchs3UBz,2024-10-02T14:50:49-04:00,2024-10-02T14:50:49-04:00,2025-01-28T12:15:53,2024-10-02T14-45-10-04-00_benchmarks-pubmedqa_SjegQbPvp72mr6rKL5kASy.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.794,0.01808668018183547,367729,214816,152913,WuLoHXAc7UsjjgEGadcqRj,2024-10-02T14:25:14-04:00,2024-10-02T14:25:14-04:00,2025-01-28T12:15:54,2024-10-02T14-20-28-04-00_benchmarks-pubmedqa_bHsTdWbHEy5Fuqcq66FfC4.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.792,0.018151363585141474,367167,214816,152351,G5w9GRq3hHHUEiPyg44MLy,2024-10-02T14:30:08-04:00,2024-10-02T14:30:08-04:00,2025-01-28T12:15:54,2024-10-02T14-25-15-04-00_benchmarks-pubmedqa_F2etVUwxN5Kjwmb3tVpi7K.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.796,0.018021320706318945,367754,214816,152938,P93TDa9zKURqjV7pYsvu6g,2024-10-02T14:34:40-04:00,2024-10-02T14:34:40-04:00,2025-01-28T12:15:54,2024-10-02T14-30-09-04-00_benchmarks-pubmedqa_6EkS6AFNN6BQgJVtaAjWFE.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.788,0.018278730809331373,366831,214816,152015,jQLxitjW26fXFuBZkrtacj,2024-10-02T14:09:19-04:00,2024-10-02T14:09:19-04:00,2025-01-28T12:15:54,2024-10-02T14-02-40-04-00_benchmarks-pubmedqa_eBkg4NpZ58xS2L9GtneXoi.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.796,0.018021320706318945,366558,214816,151742,Z25gDrknoTuKFeUTa9EWz8,2024-10-02T14:15:26-04:00,2024-10-02T14:15:26-04:00,2025-01-28T12:15:54,2024-10-02T14-09-20-04-00_benchmarks-pubmedqa_3oqWEQNrqbvPjRBzTTZvuP.json,True
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,benchmarks/pubmedqa,"{'subset': 'pubmed_qa_labeled_fold0_bigbio_qa', 'split': 'test', 'cot': 'True'}",zero_shot_cot,500,0.794,0.01808668018183547,368113,214816,153297,gaxPL6CkW74dmsX7dNfe3C,2024-10-02T14:40:16-04:00,2024-10-02T14:40:16-04:00,2025-01-28T12:15:54,2024-10-02T14-34-41-04-00_benchmarks-pubmedqa_Pquwis5evuLJVHGi5P9Tai.json,True
