inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.24752475247524752,0.04315741528258093,86581,36933,49648,bS3PCBnt8ZRKakXKCTsyHb,2025-02-09T11:00:17-05:00,2025-02-09T11:00:17-05:00,2025-02-09T16:24:38,2025-02-09T10-58-27-05-00_vct_4Yv3PBxuEwkQdSPypcU84J.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.24752475247524752,0.04315741528258093,88596,36933,51663,VymTNUu7LL8MKATKAjzeSK,2025-02-09T11:08:58-05:00,2025-02-09T11:08:58-05:00,2025-02-09T16:24:38,2025-02-09T11-07-02-05-00_vct_oYFF7QfgRzRQhR7h68hbts.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.27722772277227725,0.044762988338444824,88230,36933,51297,gZKsmQXCVVyWGGZLEXMHwr,2025-02-09T11:03:25-05:00,2025-02-09T11:03:25-05:00,2025-02-09T16:24:38,2025-02-09T11-00-17-05-00_vct_CNsvZUjqgSAyARDVTQkZ3k.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.2376237623762376,0.04256274308951421,86963,36933,50030,KrWtLiN4vytnjYMJrnXU63,2025-02-09T10:44:45-05:00,2025-02-09T10:44:45-05:00,2025-02-09T16:24:38,2025-02-09T10-42-18-05-00_vct_YVtvJXBv2TSpnNpKXbfwsK.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.297029702970297,0.04569497330381911,86873,36933,49940,HKHgV8rcqyWYXVGqUCYZeh,2025-02-09T11:10:54-05:00,2025-02-09T11:10:54-05:00,2025-02-09T16:24:38,2025-02-09T11-08-58-05-00_vct_9XsQvYRRZvXqpN3Lhvt25n.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.24752475247524752,0.04315741528258093,87863,36933,50930,Jcr8NYoyzmqyD3yRCq4d5H,2025-02-09T11:14:35-05:00,2025-02-09T11:14:35-05:00,2025-02-09T16:24:38,2025-02-09T11-12-41-05-00_vct_cSDvXci7Y96FURLevvCzbk.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.2376237623762376,0.0425627430895142,87346,36933,50413,LtNQ9ai3Q4hgDspTpicBRH,2025-02-09T10:58:27-05:00,2025-02-09T10:58:27-05:00,2025-02-09T16:24:38,2025-02-09T10-44-45-05-00_vct_nfbxc4zLzD2mcuN8SMrLMW.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.21782178217821782,0.041276561555793734,88246,36933,51313,Ve9utvnTtDfsZShx6zoevt,2025-02-09T11:07:01-05:00,2025-02-09T11:07:01-05:00,2025-02-09T16:24:38,2025-02-09T11-05-15-05-00_vct_CiMHgv5qcLXiewCGYP8SNk.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.27722772277227725,0.044762988338444824,87645,36933,50712,AtAaRg2bzj2ZdJoKdaWci4,2025-02-09T11:05:15-05:00,2025-02-09T11:05:15-05:00,2025-02-09T16:24:38,2025-02-09T11-03-25-05-00_vct_DURECMysYyUSCg3wRTsgtF.json,False
openai/gpt-4o-2024-08-06,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.22772277227722773,0.041936274424846286,86783,36933,49850,irre2o8LbkmdhZfmuX9XpC,2025-02-09T11:12:41-05:00,2025-02-09T11:12:41-05:00,2025-02-09T16:24:38,2025-02-09T11-10-55-05-00_vct_j79Xxb9wEQ4EYBoXZJrvtV.json,False
