inspect_model_name,task,task_args,prompt_schema,total_samples,accuracy,stderr,total_tokens,input_tokens,output_tokens,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.26732673267326734,0.04425642898738023,84696,40389,44307,PwqAgdx5DDw6goEZWkdKRB,2025-02-09T09:37:34-05:00,2025-02-09T09:37:34-05:00,2025-02-09T16:25:29,2025-02-09T09-36-30-05-00_vct_KinRPiA47EHYYGpNzqtM8U.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.2871287128712871,0.045242216470478665,83574,40389,43185,jeGk5jPQvsuYQKN6aigyV4,2025-02-09T09:33:17-05:00,2025-02-09T09:33:17-05:00,2025-02-09T16:25:29,2025-02-09T09-32-14-05-00_vct_C9FPbPLEzC6kgrNuek2ZRJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.26732673267326734,0.04425642898738023,84956,40389,44567,Mtzp2cy78w6G7hQaLxUycy,2025-02-09T09:58:34-05:00,2025-02-09T09:58:34-05:00,2025-02-09T16:25:29,2025-02-09T09-57-28-05-00_vct_nD6eZJAoYpAwnMxPqxSCiJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.26732673267326734,0.04425642898738022,84374,40389,43985,ThBV78jXJBtycM5APQdD6i,2025-02-09T09:57:28-05:00,2025-02-09T09:57:28-05:00,2025-02-09T16:25:29,2025-02-09T09-40-08-05-00_vct_e8V3fxoDqZzNsUs6qHjiFw.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.2871287128712871,0.045242216470478665,84178,40389,43789,dppRDFfsdaMaEJ8gMJPSXz,2025-02-09T09:36:30-05:00,2025-02-09T09:36:30-05:00,2025-02-09T16:25:29,2025-02-09T09-35-26-05-00_vct_77reRDCLkAqdFZ8fCigkGK.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.26732673267326734,0.04425642898738023,85463,40389,45074,SaDyAJ5uGEWc7wBRp5dHnb,2025-02-09T09:38:50-05:00,2025-02-09T09:38:50-05:00,2025-02-09T16:25:29,2025-02-09T09-37-34-05-00_vct_ZnmqBo7nx2gNPZJARtmivp.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.21782178217821782,0.041276561555793734,84315,40389,43926,49qXcv3wKEycDZo5Kay9wX,2025-02-09T09:35:26-05:00,2025-02-09T09:35:26-05:00,2025-02-09T16:25:29,2025-02-09T09-34-21-05-00_vct_YnbLfRjBP4QjfNQJmGB2t6.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.2376237623762376,0.0425627430895142,84458,40389,44069,nYReFXeZkyKbmiDbctXs8t,2025-02-09T09:32:14-05:00,2025-02-09T09:32:14-05:00,2025-02-09T16:25:29,2025-02-09T09-31-05-05-00_vct_czz2fSc58HaTTriqxpsSvr.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.27722772277227725,0.044762988338444824,83449,40389,43060,HxBCJ2ZQF84CZhu7KFeuN8,2025-02-09T09:34:21-05:00,2025-02-09T09:34:21-05:00,2025-02-09T16:25:29,2025-02-09T09-33-17-05-00_vct_ksckzj44yDyAg7Y4baKEzY.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,vct,"{'mode': 'mr', 'subtasks': 'no_images', 'cot': True}",zero_shot_cot,101,0.2871287128712871,0.045242216470478665,84870,40389,44481,74eEVRGkxt6PF7ERUeRJH3,2025-02-09T09:40:07-05:00,2025-02-09T09:40:07-05:00,2025-02-09T16:25:29,2025-02-09T09-38-51-05-00_vct_EkoeWCo5QapfxzwPNcxib7.json,False
