inspect_model_name,epoch_model_name,Organization,Publication date,accuracy,stderr
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,2024-07-23,0.6410256410256411,0.054666850347592416
together/meta-llama/Llama-2-13b-chat-hf,Llama 2-13B,Meta AI,2023-07-18,0.24358974358974358,0.04891734088296383
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,Llama 3-70B,Meta AI,2024-04-18,0.6282051282051282,0.05507532564433873
openai/gpt-4,GPT-4,OpenAI,2023-03-15,0.6153846153846154,0.05544230539664977
anthropic/claude-2.1,Claude 2.1,Anthropic,2023-11-21,0.3974358974358974,0.055768608782381685
openai/gpt-4-turbo,GPT-4 Turbo,OpenAI,2023-11-06,0.6794871794871795,0.05318240510717429
anthropic/claude-instant-1.2,Claude Instant,Anthropic,2023-08-09,0.3717948717948718,0.05507532564433872
anthropic/claude-3-opus-20240229,Claude 3 Opus,Anthropic,2024-03-04,0.6153846153846154,0.055442305396649766
together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,Llama 3.1-70B,Meta AI,2024-07-23,0.6025641025641025,0.055768608782381685
together/meta-llama/Llama-2-70b-hf,Llama 2-70B,Meta AI,2023-07-18,0.0,0.0
google/gemini-1.5-flash,,,,0.5512820512820513,0.05667979681019965
anthropic/claude-3-sonnet-20240229,Claude 3 Sonnet,Anthropic,2024-03-04,0.5384615384615384,0.056811457375076646
together/meta-llama/Meta-Llama-3-8B-Instruct-Turbo,Llama 3-8B,Meta AI,2024-04-18,0.47435897435897434,0.056905314133886616
mistral/open-mixtral-8x7b,Mixtral 8x7B,Mistral AI,2023-12-11,0.3717948717948718,0.05507532564433873
anthropic/claude-2.0,Claude 2,Anthropic,2023-07-11,0.47435897435897434,0.056905314133886616
mistral/open-mistral-7b,Mistral 7B,Mistral AI,2023-10-10,0.2692307692307692,0.05054836466713622
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,2024-06-20,0.6666666666666666,0.05372153093502534
anthropic/claude-3-haiku-20240307,Claude 3 Haiku,Anthropic,2024-03-04,0.44871794871794873,0.05667979681019966
openai/gpt-4o,GPT-4o,OpenAI,2024-05-13,0.717948717948718,0.051282051282051266
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,2024-02-15,0.5641025641025641,0.056510068207111776
google/gemini-1.0-pro,Gemini 1.0 Pro,Google DeepMind,2023-12-06,0.4358974358974359,0.05651006820711177
together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,Llama 3.1-8B,Meta AI,2024-07-23,0.44871794871794873,0.05667979681019965
mistral/mistral-large-2407,Mistral Large 2,Mistral AI,2024-07-24,0.5897435897435898,0.05605494615384831
openai/gpt-3.5-turbo,GPT-3.5 Turbo,OpenAI,2022-11-30,0.3974358974358974,0.055768608782381685
