inspect_model_name,epoch_model_name,Organization,Publication date,accuracy,stderr
together/meta-llama/Llama-2-13b-chat-hf,Llama 2-13B,Meta AI,2023-07-18,0.4876923076923077,0.013868638107199549
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,Llama 3-70B,Meta AI,2024-04-18,0.8246153846153846,0.010551565235690024
mistral/mistral-large-2407,Mistral Large 2,Mistral AI,2024-07-24,0.8369230769230769,0.010250249822776015
anthropic/claude-instant-1.2,Claude Instant,Anthropic,2023-08-09,0.6876923076923077,0.01285830870969638
openai/gpt-4-turbo,GPT-4 Turbo,OpenAI,2023-11-06,0.8630769230769231,0.00953802599593588
openai/gpt-4o,GPT-4o,OpenAI,2024-05-13,0.8853846153846154,0.008838587550523094
google/gemini-1.0-pro,Gemini 1.0 Pro,Google DeepMind,2023-12-06,0.7384615384615385,0.012193465313939472
anthropic/claude-2.0,Claude 2,Anthropic,2023-07-11,0.7692307692307693,0.01168995123564548
anthropic/claude-2.1,Claude 2.1,Anthropic,2023-11-21,0.7661538461538462,0.011744067349924593
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,2024-06-20,0.8738461538461538,0.009212195838068177
together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,Llama 3.1-70B,Meta AI,2024-07-23,0.8476923076923077,0.009969547904919343
anthropic/claude-3-haiku-20240307,Claude 3 Haiku,Anthropic,2024-03-04,0.7453846153846154,0.012087262604456283
together/meta-llama/Meta-Llama-3-8B-Instruct-Turbo,Llama 3-8B,Meta AI,2024-04-18,0.7015384615384616,0.012695954406484756
google/gemini-1.5-flash,,,,0.7984615384615384,0.011130159668265622
mistral/open-mixtral-8x7b,Mixtral 8x7B,Mistral AI,2023-12-11,0.6292307692307693,0.013401463970562723
anthropic/claude-3-opus-20240229,Claude 3 Opus,Anthropic,2024-03-04,0.8561538461538462,0.009736894346972898
openai/gpt-4,GPT-4,OpenAI,2023-03-15,0.8430769230769231,0.010091888252856243
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,2024-02-15,0.8423076923076923,0.010111976747353426
openai/gpt-3.5-turbo,GPT-3.5 Turbo,OpenAI,2022-11-30,0.7107692307692308,0.012580038789743862
anthropic/claude-3-sonnet-20240229,Claude 3 Sonnet,Anthropic,2024-03-04,0.7923076923076923,0.011255183153537313
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,2024-07-23,0.8784615384615385,0.009065957265696634
