inspect_model_name,epoch_model_name,Organization,Publication date,accuracy,stderr
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,Meta AI,2024-07-23,0.8507462686567164,0.009991232596230241
anthropic/claude-2.0,Claude 2,Anthropic,2023-07-11,0.746268656716418,0.012200878561490621
google/gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,2024-02-15,0.7949725058915946,0.011319794705564528
google/gemini-1.0-pro,Gemini 1.0 Pro,Google DeepMind,2023-12-06,0.7093479968578161,0.012731300759713923
anthropic/claude-3-opus-20240229,Claude 3 Opus,Anthropic,2024-03-04,0.812254516889238,0.010949322825987706
anthropic/claude-3-haiku-20240307,Claude 3 Haiku,Anthropic,2024-03-04,0.7666928515318147,0.011858538671340466
google/gemini-1.5-flash,,,,0.7651217596229379,0.011886202183136293
anthropic/claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,Anthropic,2024-06-20,0.8483896307934015,0.010055845055312087
openai/gpt-4,GPT-4,OpenAI,2023-03-15,0.812254516889238,0.010949322825987706
together/meta-llama/Llama-2-13b-chat-hf,Llama 2-13B,Meta AI,2023-07-18,0.5553809897879026,0.013933042542991292
openai/gpt-3.5-turbo,GPT-3.5 Turbo,OpenAI,2022-11-30,0.7164179104477612,0.012638020654642004
anthropic/claude-3-sonnet-20240229,Claude 3 Sonnet,Anthropic,2024-03-04,0.7800471327572663,0.01161399622698424
mistral/mistral-large-2407,Mistral Large 2,Mistral AI,2024-07-24,0.809897879025923,0.01100183320113342
openai/gpt-4-turbo,GPT-4 Turbo,OpenAI,2023-11-06,0.8342498036135114,0.010426331445386905
openai/gpt-4o,GPT-4o,OpenAI,2024-05-13,0.8507462686567164,0.009991232596230241
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo,Llama 3-70B,Meta AI,2024-04-18,0.809897879025923,0.01100183320113342
