inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.36363636363636365,0.08503766788122594,197550,197451,99,benchmarks/lab_bench,33,33,48VNCJtTxAMqtzf8bTTvRK,2024-10-03T08:44:44-04:00,2024-10-03T08:44:44-04:00,2024-10-03T08:44:47-04:00,2024-10-03T08-44-44-04-00_benchmarks-lab-bench_Jyj6HcHPMngQcKtFaE4rbb.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.36363636363636365,0.08503766788122595,197551,197452,99,benchmarks/lab_bench,33,33,A975uH49MbSFwXTAuAdY5i,2024-10-03T08:45:06-04:00,2024-10-03T08:45:06-04:00,2024-10-03T08:45:16-04:00,2024-10-03T08-45-06-04-00_benchmarks-lab-bench_Yb27DXmeGYM8rgYiwDNkWc.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.48484848484848486,0.08834775598250455,197555,197452,103,benchmarks/lab_bench,33,33,avbBbeUZf8tB44Manrth9g,2024-10-03T08:44:35-04:00,2024-10-03T08:44:35-04:00,2024-10-03T08:44:38-04:00,2024-10-03T08-44-35-04-00_benchmarks-lab-bench_Y92wZBZY6kN2fb4xvRFtjN.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.36363636363636365,0.08503766788122594,197551,197452,99,benchmarks/lab_bench,33,33,EEyX9VnPXSumvohDv6jYJQ,2024-10-03T08:44:40-04:00,2024-10-03T08:44:40-04:00,2024-10-03T08:44:43-04:00,2024-10-03T08-44-40-04-00_benchmarks-lab-bench_GNAX9DmLbC9yE5uF4h5Gsy.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.48484848484848486,0.08834775598250455,197550,197451,99,benchmarks/lab_bench,33,33,j9xqVaNS4pTgiSkb9ko7r3,2024-10-03T08:44:49-04:00,2024-10-03T08:44:49-04:00,2024-10-03T08:44:54-04:00,2024-10-03T08-44-49-04-00_benchmarks-lab-bench_Le8R6RpE4zFJM9hFdWYJox.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.3939393939393939,0.0863769261438741,197551,197452,99,benchmarks/lab_bench,33,33,R5czF5VMrgjJ46QqgTqgEV,2024-10-03T08:44:29-04:00,2024-10-03T08:44:29-04:00,2024-10-03T08:44:32-04:00,2024-10-03T08-44-29-04-00_benchmarks-lab-bench_J6GxdAdHveHJ3KmBGPVaJK.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.3333333333333333,0.08333333333333333,197552,197453,99,benchmarks/lab_bench,33,33,WAPtrXhzqMTZnUF23Xe5Bm,2024-10-03T08:44:56-04:00,2024-10-03T08:44:56-04:00,2024-10-03T08:45:03-04:00,2024-10-03T08-44-56-04-00_benchmarks-lab-bench_dsA275zawCWqs42YwXx8Sw.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.3333333333333333,0.08333333333333333,197551,197452,99,benchmarks/lab_bench,33,33,RtYfoXfqswj832hR4cQw8K,2024-09-20T12:27:58-04:00,2024-09-20T12:27:58-04:00,2024-09-20T12:28:02-04:00,2024-09-20T12-27-58-04-00_benchmarks-lab-bench_oPgJsYsmxUtUSc4PUAA69C.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.36363636363636365,0.08503766788122595,197555,197452,103,benchmarks/lab_bench,33,33,aoGWXAE53DaMA9QGr6WeZW,2024-10-03T08:44:21-04:00,2024-10-03T08:44:21-04:00,2024-10-03T08:44:26-04:00,2024-10-03T08-44-21-04-00_benchmarks-lab-bench_gDCqEHkPUcrQ8NQCKKWit6.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.21212121212121213,0.07226812131946558,197555,197452,103,benchmarks/lab_bench,33,33,nK4R4cQUsB9tM6BEsBpdnf,2024-10-03T08:45:20-04:00,2024-10-03T08:45:20-04:00,2024-10-03T08:45:28-04:00,2024-10-03T08-45-20-04-00_benchmarks-lab-bench_5PHasQkQYdfT2UehCNaqEN.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
google/gemini-1.5-pro,0.30303030303030304,0.08124094920275461,161364,161264,100,benchmarks/lab_bench,33,33,jeKFMVzwi74xsyV8Gspd72,2024-10-03T08:43:50-04:00,2024-10-03T08:43:50-04:00,2024-10-03T08:43:54-04:00,2024-10-03T08-43-50-04-00_benchmarks-lab-bench_guHtXBKdW9NwVYCho9mdLM.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.36363636363636365,0.08503766788122594,161363,161264,99,benchmarks/lab_bench,33,33,86NMw6YWKiTWhJKgcEHS2T,2024-10-03T08:44:16-04:00,2024-10-03T08:44:16-04:00,2024-10-03T08:44:20-04:00,2024-10-03T08-44-16-04-00_benchmarks-lab-bench_ck3fP4FZascaRSidgcuXdB.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.36363636363636365,0.08503766788122595,161363,161264,99,benchmarks/lab_bench,33,33,Q2KpSo8UpuFSdXHDxsUJR2,2024-10-03T08:43:46-04:00,2024-10-03T08:43:46-04:00,2024-10-03T08:43:49-04:00,2024-10-03T08-43-46-04-00_benchmarks-lab-bench_NwkGta7w5CfmB5R3rNSxTs.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.30303030303030304,0.08124094920275461,161363,161264,99,benchmarks/lab_bench,33,33,MxP5S2ymjjXn8MmtomquKn,2024-10-03T08:43:37-04:00,2024-10-03T08:43:37-04:00,2024-10-03T08:43:41-04:00,2024-10-03T08-43-37-04-00_benchmarks-lab-bench_5iLJvNZMVxBGBsYJzkEW59.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.30303030303030304,0.08124094920275461,161364,161264,100,benchmarks/lab_bench,33,33,e7tgFZmzaXFazqKoBCtmFK,2024-10-03T08:44:05-04:00,2024-10-03T08:44:05-04:00,2024-10-03T08:44:08-04:00,2024-10-03T08-44-05-04-00_benchmarks-lab-bench_exUyMh72g44mjciK96xa8n.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.24242424242424243,0.07575757575757576,161363,161264,99,benchmarks/lab_bench,33,33,mmHUYncPshixhUeTE2phGn,2024-10-03T08:44:09-04:00,2024-10-03T08:44:09-04:00,2024-10-03T08:44:14-04:00,2024-10-03T08-44-09-04-00_benchmarks-lab-bench_6Hi4ifyLseCfRWt69kGivn.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.36363636363636365,0.08503766788122595,161363,161264,99,benchmarks/lab_bench,33,33,WhevCAW9WJBTTDeh9m3p3x,2024-10-03T08:44:00-04:00,2024-10-03T08:44:00-04:00,2024-10-03T08:44:04-04:00,2024-10-03T08-44-00-04-00_benchmarks-lab-bench_RPWpFikizVqqFf5e5h8vno.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.30303030303030304,0.08124094920275461,161363,161264,99,benchmarks/lab_bench,33,33,P4aq8DvaePmkFPPhZggXzh,2024-10-03T08:43:56-04:00,2024-10-03T08:43:56-04:00,2024-10-03T08:44:00-04:00,2024-10-03T08-43-56-04-00_benchmarks-lab-bench_6Da7zrriwa3PVhWgchji6L.json,0.57,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
