inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.4371859296482412,0.03525193544123143,21580,20947,633,benchmarks/lab_bench,199,199,cYQVpH85kDTb4RfVchihFV,2024-10-03T10:52:43-04:00,2024-10-03T10:52:43-04:00,2024-10-03T10:52:52-04:00,2024-10-03T10-52-43-04-00_benchmarks-lab-bench_i6SgDkhUFCNbFA8KNXCzyF.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.40703517587939697,0.03491385802519048,21603,20948,655,benchmarks/lab_bench,199,199,J2BR9X6gwQmBMi4p9rZyAu,2024-10-03T10:54:25-04:00,2024-10-03T10:54:25-04:00,2024-10-03T10:54:35-04:00,2024-10-03T10-54-25-04-00_benchmarks-lab-bench_JvCAn4HkvNSAYqRMaAqoGx.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.38190954773869346,0.034528179465409925,21615,20948,667,benchmarks/lab_bench,199,199,iLfJsR542puAEtLwidSMPA,2024-10-03T10:53:04-04:00,2024-10-03T10:53:04-04:00,2024-10-03T10:53:16-04:00,2024-10-03T10-53-04-04-00_benchmarks-lab-bench_aDRvES3MC7zDDsNi7f5Vn3.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.41708542713567837,0.035041474244182316,21637,20950,687,benchmarks/lab_bench,199,199,XuYmDvTwY7sQTqSgMRBLBz,2024-10-03T10:53:30-04:00,2024-10-03T10:53:30-04:00,2024-10-03T10:53:43-04:00,2024-10-03T10-53-30-04-00_benchmarks-lab-bench_8P4RpbuJBhd9rzehyvuRfM.json,0.12,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.40703517587939697,0.03491385802519048,21608,20950,658,benchmarks/lab_bench,199,199,TiLjdH3ZR4uaZNNCSQiGqU,2024-10-03T10:53:17-04:00,2024-10-03T10:53:17-04:00,2024-10-03T10:53:26-04:00,2024-10-03T10-53-17-04-00_benchmarks-lab-bench_gVySKS5Mp2NzrRDJtqoZtN.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.41708542713567837,0.035041474244182316,21609,20948,661,benchmarks/lab_bench,199,199,YdFPtGFkaCJgRC6UyVbUFm,2024-10-03T10:54:03-04:00,2024-10-03T10:54:03-04:00,2024-10-03T10:54:14-04:00,2024-10-03T10-54-03-04-00_benchmarks-lab-bench_duPNNBkuR83Z2jRFEETT2J.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.4271356783919598,0.03515411887563423,21593,20949,644,benchmarks/lab_bench,199,199,Tnw4hqHwdFb4PuP6prxVuy,2024-10-03T10:52:53-04:00,2024-10-03T10:52:53-04:00,2024-10-03T10:53:03-04:00,2024-10-03T10-52-53-04-00_benchmarks-lab-bench_AkFxt9KSjCLWGPpJikP6bt.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.4120603015075377,0.034979547374003786,21611,20950,661,benchmarks/lab_bench,199,199,fcXRQj9hf5XBKBhBAqoNwT,2024-10-03T10:53:47-04:00,2024-10-03T10:53:47-04:00,2024-10-03T10:53:59-04:00,2024-10-03T10-53-47-04-00_benchmarks-lab-bench_KPjjdHyKahuEgcMX93d2Vs.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.3768844221105528,0.03443941793177597,21621,20948,673,benchmarks/lab_bench,199,199,cSXjF5Ty9gFpLaaxttZLF2,2024-10-03T10:54:14-04:00,2024-10-03T10:54:14-04:00,2024-10-03T10:54:24-04:00,2024-10-03T10-54-14-04-00_benchmarks-lab-bench_bH8uKQgHfrntAvXijjdgYe.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.4271356783919598,0.03515411887563423,21546,20949,597,benchmarks/run,199,199,HXYuRU3JsL4ziUvCXaZYU4,2024-09-11T21:15:47-04:00,2024-09-11T21:15:47-04:00,2024-09-11T21:15:55-04:00,2024-09-11T21-15-47-04-00_benchmarks-run_HNgfQgTzwxvP5FsomuwUFS.json,0.11,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
