inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.6111111111111112,0.04712821257426773,198103,197779,324,benchmarks/lab_bench,108,108,TNafc7rqPN38dSjd5kKhAE,2024-09-26T21:59:09-04:00,2024-09-26T21:59:09-04:00,2024-09-26T21:59:14-04:00,2024-09-26T21-59-09-04-00_benchmarks-lab-bench_izzGBhpdokLnQ4ghMNfuH8.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5555555555555556,0.04803752235190188,198099,197775,324,benchmarks/lab_bench,108,108,EgmoWzXxhbog3oteKtqrhk,2024-09-26T21:58:50-04:00,2024-09-26T21:58:50-04:00,2024-09-26T21:58:55-04:00,2024-09-26T21-58-50-04-00_benchmarks-lab-bench_QfWNMLivmjJK3W5ZsNapVL.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5740740740740741,0.04780343626936791,198097,197773,324,benchmarks/lab_bench,108,108,WxHbAPc4eKyhiR5hm5hUzz,2024-09-26T21:58:56-04:00,2024-09-26T21:58:56-04:00,2024-09-26T21:59:02-04:00,2024-09-26T21-58-56-04-00_benchmarks-lab-bench_EsRZQyqV7P9UPeNJV8nHXb.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5740740740740741,0.04780343626936791,198095,197771,324,benchmarks/lab_bench,108,108,Fuz5qBpFxeAuAUte5RVfyr,2024-09-26T21:59:31-04:00,2024-09-26T21:59:31-04:00,2024-09-26T21:59:46-04:00,2024-09-26T21-59-31-04-00_benchmarks-lab-bench_YmVpcWSiUHe7zehkVSGVoT.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5833333333333334,0.04766075165356461,198099,197775,324,benchmarks/lab_bench,108,108,e3BwiA6xEvSazit87FszTc,2024-09-26T21:58:29-04:00,2024-09-26T21:58:29-04:00,2024-09-26T21:58:35-04:00,2024-09-26T21-58-29-04-00_benchmarks-lab-bench_4etnnVfes9wZ2Adr2doQBF.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5648148148148148,0.04792898170907059,198103,197779,324,benchmarks/lab_bench,108,108,LL7AkRwW93SzssjpnKTvvD,2024-09-20T13:18:06-04:00,2024-09-20T13:18:06-04:00,2024-09-20T13:18:14-04:00,2024-09-20T13-18-06-04-00_benchmarks-lab-bench_b4hag2Bh2dNSQbw7FAjWfD.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.6111111111111112,0.04712821257426773,198106,197782,324,benchmarks/lab_bench,108,108,ddh6pv8nApJAti3ztsvtup,2024-09-26T21:59:15-04:00,2024-09-26T21:59:15-04:00,2024-09-26T21:59:30-04:00,2024-09-26T21-59-15-04-00_benchmarks-lab-bench_k6S2JoKPtVKoxqDyMwtnnS.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5925925925925926,0.04750077341199985,198097,197773,324,benchmarks/lab_bench,108,108,jkboAhpTQYVoW7yjRdsFHo,2024-09-26T21:59:02-04:00,2024-09-26T21:59:02-04:00,2024-09-26T21:59:08-04:00,2024-09-26T21-59-02-04-00_benchmarks-lab-bench_akRzYcvVvCBUPcKbFkfcsi.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5833333333333334,0.04766075165356461,198099,197775,324,benchmarks/lab_bench,108,108,39uUBDzncytjpJKpDNM3Vq,2024-09-26T21:58:43-04:00,2024-09-26T21:58:43-04:00,2024-09-26T21:58:49-04:00,2024-09-26T21-58-43-04-00_benchmarks-lab-bench_MxcPTCHUc9YHGAdZi9as2J.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.5555555555555556,0.04803752235190188,198101,197777,324,benchmarks/lab_bench,108,108,UTYweq5J4QorqVEfKRthXW,2024-09-26T21:58:37-04:00,2024-09-26T21:58:37-04:00,2024-09-26T21:58:42-04:00,2024-09-26T21-58-37-04-00_benchmarks-lab-bench_LJkJsj4T93qekamNwr5WMb.json,0.99,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
