inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
openai/gpt-4o,0.734,0.019780559675655396,189952,188452,1500,benchmarks/pubmedqa,500,500,5RmUuQfRGiFy2FEBfdYsK4,2024-10-02T20:43:56-04:00,2024-10-02T20:43:56-04:00,2024-10-02T20:44:20-04:00,2024-10-02T20-43-56-04-00_benchmarks-pubmedqa_YGVuk99XK3zpb5Xqe9KTqS.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.724,0.020011219298073545,189954,188452,1502,benchmarks/pubmedqa,500,500,eiKdZpgdQ9eb9XMMH2ULk9,2024-10-02T20:45:56-04:00,2024-10-02T20:45:56-04:00,2024-10-02T20:46:17-04:00,2024-10-02T20-45-56-04-00_benchmarks-pubmedqa_Uiiaar3y55mPtcdqZzUzBE.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.716,0.020186703693570774,189952,188452,1500,benchmarks/pubmedqa,500,500,mwV9pK3EVpt73v2zpAyUk8,2024-10-02T20:44:46-04:00,2024-10-02T20:44:46-04:00,2024-10-02T20:45:08-04:00,2024-10-02T20-44-46-04-00_benchmarks-pubmedqa_AB5VpUQKiAXptFcP22fazg.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.72,0.020099950647503192,189952,188452,1500,benchmarks/pubmedqa,500,500,dF8bSpYSB5bnRNjmtPp7Ra,2024-10-02T20:43:34-04:00,2024-10-02T20:43:34-04:00,2024-10-02T20:43:55-04:00,2024-10-02T20-43-34-04-00_benchmarks-pubmedqa_JzCY6iNheQSdPp6BoPfVCB.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.718,0.020143572847290726,189952,188452,1500,benchmarks/pubmedqa,500,500,eVe8bVEuWXJtnuJupXPs2h,2024-10-02T20:44:21-04:00,2024-10-02T20:44:21-04:00,2024-10-02T20:44:45-04:00,2024-10-02T20-44-21-04-00_benchmarks-pubmedqa_jTEccKcywffuet3gBUimTD.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.724,0.020011219298073545,189952,188452,1500,benchmarks/pubmedqa,500,500,Qdatw7boNxaVCSFh7ZxUHZ,2024-10-02T20:43:09-04:00,2024-10-02T20:43:09-04:00,2024-10-02T20:43:33-04:00,2024-10-02T20-43-09-04-00_benchmarks-pubmedqa_mjtA3gvDVj2QA4pH24wHoM.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.734,0.019780559675655396,189952,188452,1500,benchmarks/pubmedqa,500,500,SFtp9ycGQ6C6CRrTSKrgLZ,2024-10-02T20:45:09-04:00,2024-10-02T20:45:09-04:00,2024-10-02T20:45:31-04:00,2024-10-02T20-45-09-04-00_benchmarks-pubmedqa_HDdFz9iD8yXuGvNJqCPZJ6.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.754,0.019279819056352458,189952,188452,1500,benchmarks/pubmedqa,500,500,UdNuDuaoJv4gsry7FZhdBB,2024-09-19T17:05:08-04:00,2024-09-19T17:05:08-04:00,2024-09-19T17:05:34-04:00,2024-09-19T17-05-08-04-00_benchmarks-pubmedqa_k6VzVHBEHMfDGdZkFzzMCk.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.732,0.019827714859587477,189952,188452,1500,benchmarks/pubmedqa,500,500,gQc54JraZa5g38AiapYj2H,2024-10-02T20:42:41-04:00,2024-10-02T20:42:41-04:00,2024-10-02T20:43:08-04:00,2024-10-02T20-42-41-04-00_benchmarks-pubmedqa_fF4LNFtdAHZnmJCBs9q9kZ.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
openai/gpt-4o,0.728,0.019920483209566107,189952,188452,1500,benchmarks/pubmedqa,500,500,ej5GfyYrwtXxhBfEWqKne2,2024-10-02T20:45:32-04:00,2024-10-02T20:45:32-04:00,2024-10-02T20:45:55-04:00,2024-10-02T20-45-32-04-00_benchmarks-pubmedqa_Uk9SLbAJiJSZxgaBuHVkwt.json,0.96,GPT-4o,1,,$5.00,$15.00,https://openai.com/api/pricing/,"https://platform.openai.com/docs/models, https://openai.com/api/pricing/",2024-09-03
